ID,triple1,question,answer,inferred triple,label
43,Caesarion is different from Caesarean section.,"Given the previous statement, is Caesarean section an Caesarion?",Yes,Caesarean section is different from Caesarion.,True
44,Caesars Palace Grand Prix is different from Las Vegas Grand Prix.,"Given the previous statement, is Las Vegas Grand Prix an Caesars Palace Grand Prix?",Yes,Las Vegas Grand Prix is different from Caesars Palace Grand Prix.,True
45,Caesium is different from Cerium.,"Given the previous statement, is Cerium an Caesium?",Yes,Cerium is different from Caesium.,True
46,Caesium oxalate is different from Cerium oxalate.,"Given the previous statement, is Cerium oxalate an Caesium oxalate?",Yes,Cerium oxalate is different from Caesium oxalate.,True
47,Café des Artistes is different from Café des Artistes.,"Given the previous statement, is Café des Artistes an Café des Artistes?",Yes,Café des Artistes is different from Café des Artistes.,True
48,Cagayan State University is different from University of Cagayan Valley.,"Given the previous statement, is University of Cagayan Valley an Cagayan State University?",Yes,University of Cagayan Valley is different from Cagayan State University.,True
49,Cagayan Valley is different from Cagayan.,"Given the previous statement, is Cagayan an Cagayan Valley?",Yes,Cagayan is different from Cagayan Valley.,True
50,Cagayan Valley is different from Cagayan de Oro.,"Given the previous statement, is Cagayan de Oro an Cagayan Valley?",Yes,Cagayan de Oro is different from Cagayan Valley.,True
51,Cagot is different from Kago.,"Given the previous statement, is Kago an Cagot?",Yes,Kago is different from Cagot.,True
52,Cagua is different from Puerto Rico.,"Given the previous statement, is Puerto Rico an Cagua?",Yes,Puerto Rico is different from Cagua.,True
53,Cagua is different from Caguas.,"Given the previous statement, is Caguas an Cagua?",Yes,Caguas is different from Cagua.,True
54,"Caguas, Puerto Rico is different from Cagua.","Given the previous statement, is Cagua an Caguas, Puerto Rico?",Yes,"Cagua is different from Caguas, Puerto Rico.",True
55,"Caguas, Puerto Rico is different from Venezuela.","Given the previous statement, is Venezuela an Caguas, Puerto Rico?",Yes,"Venezuela is different from Caguas, Puerto Rico.",True
56,Cahoot is different from Kahoot!.,"Given the previous statement, is Kahoot! an Cahoot?",Yes,Kahoot! is different from Cahoot.,True
57,Cai Chang is different from Cai Cheng.,"Given the previous statement, is Cai Cheng an Cai Chang?",Yes,Cai Cheng is different from Cai Chang.,True
58,Cain at Abel is different from Cain.,"Given the previous statement, is Cain an Cain at Abel?",Yes,Cain is different from Cain at Abel.,True
59,Cain at Abel is different from Abel.,"Given the previous statement, is Abel an Cain at Abel?",Yes,Abel is different from Cain at Abel.,True
60,Cairn Gorm is different from Càrn Gorm.,"Given the previous statement, is Càrn Gorm an Cairn Gorm?",Yes,Càrn Gorm is different from Cairn Gorm.,True
61,Cairo Mississippi River Bridge is different from Cairo I-57 Bridge.,"Given the previous statement, is Cairo I-57 Bridge an Cairo Mississippi River Bridge?",Yes,Cairo I-57 Bridge is different from Cairo Mississippi River Bridge.,True
62,Cairo Mississippi River Bridge is different from Cairo Ohio River Bridge.,"Given the previous statement, is Cairo Ohio River Bridge an Cairo Mississippi River Bridge?",Yes,Cairo Ohio River Bridge is different from Cairo Mississippi River Bridge.,True
63,Cairo Ohio River Bridge is different from Cairo Mississippi River Bridge.,"Given the previous statement, is Cairo Mississippi River Bridge an Cairo Ohio River Bridge?",Yes,Cairo Mississippi River Bridge is different from Cairo Ohio River Bridge.,True
64,Cairo West Air Base is different from Sphinx International Airport.,"Given the previous statement, is Sphinx International Airport an Cairo West Air Base?",Yes,Sphinx International Airport is different from Cairo West Air Base.,True
65,Caisse des dépôts et consignations is different from Caisse de dépôt et placement du Québec.,"Given the previous statement, is Caisse de dépôt et placement du Québec an Caisse des dépôts et consignations?",Yes,Caisse de dépôt et placement du Québec is different from Caisse des dépôts et consignations.,True
66,Caisse des dépôts et consignations is different from Caisse de dépôt et de gestion.,"Given the previous statement, is Caisse de dépôt et de gestion an Caisse des dépôts et consignations?",Yes,Caisse de dépôt et de gestion is different from Caisse des dépôts et consignations.,True
67,Caistor is different from Castor.,"Given the previous statement, is Castor an Caistor?",Yes,Castor is different from Caistor.,True
68,Caitlin Upton is different from Kate Upton.,"Given the previous statement, is Kate Upton an Caitlin Upton?",Yes,Kate Upton is different from Caitlin Upton.,True
69,Caiuá Formation is different from Caiuá Group.,"Given the previous statement, is Caiuá Group an Caiuá Formation?",Yes,Caiuá Group is different from Caiuá Formation.,True
70,Cajamarca is different from Catamarca.,"Given the previous statement, is Catamarca an Cajamarca?",Yes,Catamarca is different from Cajamarca.,True
71,Cake decorating is different from Poured fondant.,"Given the previous statement, is Poured fondant an Cake decorating?",Yes,Poured fondant is different from Cake decorating.,True
72,Cal Murphy is different from Calvin Murphy.,"Given the previous statement, is Calvin Murphy an Cal Murphy?",Yes,Calvin Murphy is different from Cal Murphy.,True
73,Cal Northern School of Law is different from University of Northern California.,"Given the previous statement, is University of Northern California an Cal Northern School of Law?",Yes,University of Northern California is different from Cal Northern School of Law.,True
74,Cal Northern School of Law is different from University of Northern California.,"Given the previous statement, is University of Northern California an Cal Northern School of Law?",Yes,University of Northern California is different from Cal Northern School of Law.,True
75,Cal Northern School of Law is different from Lorenzo Patiño School of Law.,"Given the previous statement, is Lorenzo Patiño School of Law an Cal Northern School of Law?",Yes,Lorenzo Patiño School of Law is different from Cal Northern School of Law.,True
76,Cal Petersen is different from Calvin Petersen.,"Given the previous statement, is Calvin Petersen an Cal Petersen?",Yes,Calvin Petersen is different from Cal Petersen.,True
77,Calabazar is different from Calabazar de Sagua.,"Given the previous statement, is Calabazar de Sagua an Calabazar?",Yes,Calabazar de Sagua is different from Calabazar.,True
78,Calabazar is different from Calabaza.,"Given the previous statement, is Calabaza an Calabazar?",Yes,Calabaza is different from Calabazar.,True
79,Calabazar de Sagua is different from Calabazar.,"Given the previous statement, is Calabazar an Calabazar de Sagua?",Yes,Calabazar is different from Calabazar de Sagua.,True
80,Calamity Jane is different from Calamity Jane.,"Given the previous statement, is Calamity Jane an Calamity Jane?",Yes,Calamity Jane is different from Calamity Jane.,True
81,Calapooia River is different from Calapooya Creek.,"Given the previous statement, is Calapooya Creek an Calapooia River?",Yes,Calapooya Creek is different from Calapooia River.,True
82,Calapooya Creek is different from Calapooia River.,"Given the previous statement, is Calapooia River an Calapooya Creek?",Yes,Calapooia River is different from Calapooya Creek.,True
83,Calauag is different from Calauan.,"Given the previous statement, is Calauan an Calauag?",Yes,Calauan is different from Calauag.,True
84,Calauan is different from Calauag.,"Given the previous statement, is Calauag an Calauan?",Yes,Calauag is different from Calauan.,True
85,Calaveras Creek is different from Calaveras River.,"Given the previous statement, is Calaveras River an Calaveras Creek?",Yes,Calaveras River is different from Calaveras Creek.,True
86,Calaveras Hills High School is different from Calavera Hills School.,"Given the previous statement, is Calavera Hills School an Calaveras Hills High School?",Yes,Calavera Hills School is different from Calaveras Hills High School.,True
87,Calbe is different from Kalbe.,"Given the previous statement, is Kalbe an Calbe?",Yes,Kalbe is different from Calbe.,True
88,Calbha Mòr is different from Calve Island.,"Given the previous statement, is Calve Island an Calbha Mòr?",Yes,Calve Island is different from Calbha Mòr.,True
89,Caldas S.C. is different from Once Caldas.,"Given the previous statement, is Once Caldas an Caldas S.C.?",Yes,Once Caldas is different from Caldas S.C..,True
90,"Caldecote, Buckinghamshire is different from Caldecotte.","Given the previous statement, is Caldecotte an Caldecote, Buckinghamshire?",Yes,"Caldecotte is different from Caldecote, Buckinghamshire.",True
91,"Caldecote, Northamptonshire is different from Northamptonshire.","Given the previous statement, is Northamptonshire an Caldecote, Northamptonshire?",Yes,"Northamptonshire is different from Caldecote, Northamptonshire.",True
92,"Caldecote, Northamptonshire is different from Caldecott.","Given the previous statement, is Caldecott an Caldecote, Northamptonshire?",Yes,"Caldecott is different from Caldecote, Northamptonshire.",True
93,"Caldecott, Northamptonshire is different from Northamptonshire.","Given the previous statement, is Northamptonshire an Caldecott, Northamptonshire?",Yes,"Northamptonshire is different from Caldecott, Northamptonshire.",True
94,"Caldecott, Northamptonshire is different from Caldecote.","Given the previous statement, is Caldecote an Caldecott, Northamptonshire?",Yes,"Caldecote is different from Caldecott, Northamptonshire.",True
95,Calder High School is different from West Calder High School.,"Given the previous statement, is West Calder High School an Calder High School?",Yes,West Calder High School is different from Calder High School.,True
96,Calder Hill is different from Calder Hall.,"Given the previous statement, is Calder Hall an Calder Hill?",Yes,Calder Hall is different from Calder Hill.,True
97,Caldicott School is different from Caldicot School.,"Given the previous statement, is Caldicot School an Caldicott School?",Yes,Caldicot School is different from Caldicott School.,True
98,Caldonia is different from Caledonia.,"Given the previous statement, is Caledonia an Caldonia?",Yes,Caledonia is different from Caldonia.,True
99,Caldonia is different from Caldonia.,"Given the previous statement, is Caldonia an Caldonia?",Yes,Caldonia is different from Caldonia.,True
100,Caldonia is different from Caledonia.,"Given the previous statement, is Caledonia an Caldonia?",Yes,Caledonia is different from Caldonia.,True
101,Caldron Pool is different from Cauldron Pool.,"Given the previous statement, is Cauldron Pool an Caldron Pool?",Yes,Cauldron Pool is different from Caldron Pool.,True
102,"Caldwell, Texas is different from Texas.","Given the previous statement, is Texas an Caldwell, Texas?",Yes,"Texas is different from Caldwell, Texas.",True
103,"Caldwell, Texas is different from Caldwell County.","Given the previous statement, is Caldwell County an Caldwell, Texas?",Yes,"Caldwell County is different from Caldwell, Texas.",True
104,"Caledon, Ontario is different from Caledonia.","Given the previous statement, is Caledonia an Caledon, Ontario?",Yes,"Caledonia is different from Caledon, Ontario.",True
105,"Caledon, Ontario is different from Ontario.","Given the previous statement, is Ontario an Caledon, Ontario?",Yes,"Ontario is different from Caledon, Ontario.",True
106,"Caledonia, Illinois is different from Caledonia Township.","Given the previous statement, is Caledonia Township an Caledonia, Illinois?",Yes,"Caledonia Township is different from Caledonia, Illinois.",True
107,"Caledonia, Illinois is different from Illinois.","Given the previous statement, is Illinois an Caledonia, Illinois?",Yes,"Illinois is different from Caledonia, Illinois.",True
108,Caledonia Mill is different from Caledonia Mills.,"Given the previous statement, is Caledonia Mills an Caledonia Mill?",Yes,Caledonia Mills is different from Caledonia Mill.,True
109,"Caledonia Township, Alcona County, Michigan is different from Caledonia Township.","Given the previous statement, is Caledonia Township an Caledonia Township, Alcona County, Michigan?",Yes,"Caledonia Township is different from Caledonia Township, Alcona County, Michigan.",True
110,"Caledonia Township, Alcona County, Michigan is different from Michigan.","Given the previous statement, is Michigan an Caledonia Township, Alcona County, Michigan?",Yes,"Michigan is different from Caledonia Township, Alcona County, Michigan.",True
111,"Caledonia Township, Alcona County, Michigan is different from Kent County.","Given the previous statement, is Kent County an Caledonia Township, Alcona County, Michigan?",Yes,"Kent County is different from Caledonia Township, Alcona County, Michigan.",True
112,"Caledonia Township, Alcona County, Michigan is different from Shiawassee County.","Given the previous statement, is Shiawassee County an Caledonia Township, Alcona County, Michigan?",Yes,"Shiawassee County is different from Caledonia Township, Alcona County, Michigan.",True
113,Calendar is different from Calender.,"Given the previous statement, is Calender an Calendar?",Yes,Calender is different from Calendar.,True
114,Calenzana is different from Calenzano.,"Given the previous statement, is Calenzano an Calenzana?",Yes,Calenzano is different from Calenzana.,True
115,Calenzano is different from Calenzana.,"Given the previous statement, is Calenzana an Calenzano?",Yes,Calenzana is different from Calenzano.,True
116,Caleta Herradura Formation is different from La Herradura Formation.,"Given the previous statement, is La Herradura Formation an Caleta Herradura Formation?",Yes,La Herradura Formation is different from Caleta Herradura Formation.,True
117,Calgon is different from Calgon.,"Given the previous statement, is Calgon an Calgon?",Yes,Calgon is different from Calgon.,True
118,Calgon is different from Calgon Carbon.,"Given the previous statement, is Calgon Carbon an Calgon?",Yes,Calgon Carbon is different from Calgon.,True
119,"Calhoun, West Virginia is different from West Virginia.","Given the previous statement, is West Virginia an Calhoun, West Virginia?",Yes,"West Virginia is different from Calhoun, West Virginia.",True
120,"Calhoun, West Virginia is different from Calhoun County.","Given the previous statement, is Calhoun County an Calhoun, West Virginia?",Yes,"Calhoun County is different from Calhoun, West Virginia.",True
121,"Calhoun County, Georgia is different from Georgia.","Given the previous statement, is Georgia an Calhoun County, Georgia?",Yes,"Georgia is different from Calhoun County, Georgia.",True
122,"Calhoun County, Georgia is different from Calhoun.","Given the previous statement, is Calhoun an Calhoun County, Georgia?",Yes,"Calhoun is different from Calhoun County, Georgia.",True
123,Calhoun School is different from Calhoun Colored School.,"Given the previous statement, is Calhoun Colored School an Calhoun School?",Yes,Calhoun Colored School is different from Calhoun School.,True
124,Calico is different from Coleco.,"Given the previous statement, is Coleco an Calico?",Yes,Coleco is different from Calico.,True
125,Calico Mills is different from Calico Printers' Association.,"Given the previous statement, is Calico Printers' Association an Calico Mills?",Yes,Calico Printers' Association is different from Calico Mills.,True
126,California Academy of Sciences is different from California Science Center.,"Given the previous statement, is California Science Center an California Academy of Sciences?",Yes,California Science Center is different from California Academy of Sciences.,True
127,California Academy of Sciences is different from California Institute of Science.,"Given the previous statement, is California Institute of Science an California Academy of Sciences?",Yes,California Institute of Science is different from California Academy of Sciences.,True
128,California College of the Arts is different from California Institute of the Arts.,"Given the previous statement, is California Institute of the Arts an California College of the Arts?",Yes,California Institute of the Arts is different from California College of the Arts.,True
129,California Department of Transportation is different from Caltrain.,"Given the previous statement, is Caltrain an California Department of Transportation?",Yes,Caltrain is different from California Department of Transportation.,True
130,California Dreams is different from California Dreaming.,"Given the previous statement, is California Dreaming an California Dreams?",Yes,California Dreaming is different from California Dreams.,True
131,California Exposition and State Fair Police is different from Exposition Park Department of Public Safety.,"Given the previous statement, is Exposition Park Department of Public Safety an California Exposition and State Fair Police?",Yes,Exposition Park Department of Public Safety is different from California Exposition and State Fair Police.,True
132,California Institute of the Arts is different from California College of the Arts.,"Given the previous statement, is California College of the Arts an California Institute of the Arts?",Yes,California College of the Arts is different from California Institute of the Arts.,True
133,California Legislative Analyst's Office is different from California Office of Legislative Counsel.,"Given the previous statement, is California Office of Legislative Counsel an California Legislative Analyst's Office?",Yes,California Office of Legislative Counsel is different from California Legislative Analyst's Office.,True
134,California National University for Advanced Studies is different from National University.,"Given the previous statement, is National University an California National University for Advanced Studies?",Yes,National University is different from California National University for Advanced Studies.,True
135,California Office of Legislative Counsel is different from California Legislative Analyst's Office.,"Given the previous statement, is California Legislative Analyst's Office an California Office of Legislative Counsel?",Yes,California Legislative Analyst's Office is different from California Office of Legislative Counsel.,True
136,California Pizza Kitchen is different from Pizza California.,"Given the previous statement, is Pizza California an California Pizza Kitchen?",Yes,Pizza California is different from California Pizza Kitchen.,True
137,California Science Center is different from California Academy of Sciences.,"Given the previous statement, is California Academy of Sciences an California Science Center?",Yes,California Academy of Sciences is different from California Science Center.,True
138,California Science Center is different from California Institute of Science.,"Given the previous statement, is California Institute of Science an California Science Center?",Yes,California Institute of Science is different from California Science Center.,True
139,California Shenandoah Valley AVA is different from Shenandoah Valley AVA.,"Given the previous statement, is Shenandoah Valley AVA an California Shenandoah Valley AVA?",Yes,Shenandoah Valley AVA is different from California Shenandoah Valley AVA.,True
140,"California State Polytechnic University, Humboldt is different from Humboldt University of Berlin.","Given the previous statement, is Humboldt University of Berlin an California State Polytechnic University, Humboldt?",Yes,"Humboldt University of Berlin is different from California State Polytechnic University, Humboldt.",True
141,California State University is different from California University of Pennsylvania.,"Given the previous statement, is California University of Pennsylvania an California State University?",Yes,California University of Pennsylvania is different from California State University.,True
142,California State University is different from University of California.,"Given the previous statement, is University of California an California State University?",Yes,University of California is different from California State University.,True
143,"California State University, Los Angeles is different from University of California.","Given the previous statement, is University of California an California State University, Los Angeles?",Yes,"University of California is different from California State University, Los Angeles.",True
144,"California State University, Los Angeles is different from Los Angeles.","Given the previous statement, is Los Angeles an California State University, Los Angeles?",Yes,"Los Angeles is different from California State University, Los Angeles.",True
145,California sound is different from West Coast sound.,"Given the previous statement, is West Coast sound an California sound?",Yes,West Coast sound is different from California sound.,True
146,Call Center Girl is different from Call girl.,"Given the previous statement, is Call girl an Call Center Girl?",Yes,Call girl is different from Call Center Girl.,True
147,Call Center Girl is different from Call centre.,"Given the previous statement, is Call centre an Call Center Girl?",Yes,Call centre is different from Call Center Girl.,True
148,Call Center Girl is different from Telemarketer.,"Given the previous statement, is Telemarketer an Call Center Girl?",Yes,Telemarketer is different from Call Center Girl.,True
149,Call Me Baby is different from Call Me Maybe.,"Given the previous statement, is Call Me Maybe an Call Me Baby?",Yes,Call Me Maybe is different from Call Me Baby.,True
150,Call Me Maybe is different from Call Me Baby.,"Given the previous statement, is Call Me Baby an Call Me Maybe?",Yes,Call Me Baby is different from Call Me Maybe.,True
151,Call Signs is different from Call sign.,"Given the previous statement, is Call sign an Call Signs?",Yes,Call sign is different from Call Signs.,True
152,Call of the Wild is different from The Call of the Wild.,"Given the previous statement, is The Call of the Wild an Call of the Wild?",Yes,The Call of the Wild is different from Call of the Wild.,True
153,Callendar House is different from Callender House.,"Given the previous statement, is Callender House an Callendar House?",Yes,Callender House is different from Callendar House.,True
154,"Callington, South Australia is different from Callington.","Given the previous statement, is Callington an Callington, South Australia?",Yes,"Callington is different from Callington, South Australia.",True
155,"Callington, South Australia is different from Cornwall.","Given the previous statement, is Cornwall an Callington, South Australia?",Yes,"Cornwall is different from Callington, South Australia.",True
156,Callipelis is different from Callilepis.,"Given the previous statement, is Callilepis an Callipelis?",Yes,Callilepis is different from Callipelis.,True
157,Callipelis is different from Callipeltis.,"Given the previous statement, is Callipeltis an Callipelis?",Yes,Callipeltis is different from Callipelis.,True
158,Callisto is different from Calypso.,"Given the previous statement, is Calypso an Callisto?",Yes,Calypso is different from Callisto.,True
159,Callocladia is different from Calocladia.,"Given the previous statement, is Calocladia an Callocladia?",Yes,Calocladia is different from Callocladia.,True
160,Callocladia is different from Calocladia elegans.,"Given the previous statement, is Calocladia elegans an Callocladia?",Yes,Calocladia elegans is different from Callocladia.,True
161,Callum Turner is different from Calum Turner.,"Given the previous statement, is Calum Turner an Callum Turner?",Yes,Calum Turner is different from Callum Turner.,True
162,"Caln Township, Chester County, Pennsylvania is different from Pennsylvania.","Given the previous statement, is Pennsylvania an Caln Township, Chester County, Pennsylvania?",Yes,"Pennsylvania is different from Caln Township, Chester County, Pennsylvania.",True
163,"Caln Township, Chester County, Pennsylvania is different from Chester County.","Given the previous statement, is Chester County an Caln Township, Chester County, Pennsylvania?",Yes,"Chester County is different from Caln Township, Chester County, Pennsylvania.",True
164,"Caln Township, Chester County, Pennsylvania is different from West Caln Township.","Given the previous statement, is West Caln Township an Caln Township, Chester County, Pennsylvania?",Yes,"West Caln Township is different from Caln Township, Chester County, Pennsylvania.",True
165,"Caln Township, Chester County, Pennsylvania is different from East Caln Township.","Given the previous statement, is East Caln Township an Caln Township, Chester County, Pennsylvania?",Yes,"East Caln Township is different from Caln Township, Chester County, Pennsylvania.",True
166,Calore Irpino is different from Calore Lucano.,"Given the previous statement, is Calore Lucano an Calore Irpino?",Yes,Calore Lucano is different from Calore Irpino.,True
167,Calore Lucano is different from Calore Irpino.,"Given the previous statement, is Calore Irpino an Calore Lucano?",Yes,Calore Irpino is different from Calore Lucano.,True
168,Calorimeter is different from Colorimeter.,"Given the previous statement, is Colorimeter an Calorimeter?",Yes,Colorimeter is different from Calorimeter.,True
169,Caltrain is different from Caltrans.,"Given the previous statement, is Caltrans an Caltrain?",Yes,Caltrans is different from Caltrain.,True
170,Calum Turner is different from Callum Turner.,"Given the previous statement, is Callum Turner an Calum Turner?",Yes,Callum Turner is different from Calum Turner.,True
171,Calvary Christian Academy is different from Calvary Christian High School.,"Given the previous statement, is Calvary Christian High School an Calvary Christian Academy?",Yes,Calvary Christian High School is different from Calvary Christian Academy.,True
172,Calvary Christian High School is different from Calvary Christian Academy.,"Given the previous statement, is Calvary Christian Academy an Calvary Christian High School?",Yes,Calvary Christian Academy is different from Calvary Christian High School.,True
173,"Calvert, Maryland is different from Maryland.","Given the previous statement, is Maryland an Calvert, Maryland?",Yes,"Maryland is different from Calvert, Maryland.",True
174,"Calvert, Maryland is different from Calvert County.","Given the previous statement, is Calvert County an Calvert, Maryland?",Yes,"Calvert County is different from Calvert, Maryland.",True
175,Calvin Petersen is different from Cal Petersen.,"Given the previous statement, is Cal Petersen an Calvin Petersen?",Yes,Cal Petersen is different from Calvin Petersen.,True
176,Calvin Turner is different from Cal Turner Jr..,"Given the previous statement, is Cal Turner Jr. an Calvin Turner?",Yes,Cal Turner Jr. is different from Calvin Turner.,True
177,Calvin Turner is different from Cal Turner.,"Given the previous statement, is Cal Turner an Calvin Turner?",Yes,Cal Turner is different from Calvin Turner.,True
178,Calydon is different from Caledon.,"Given the previous statement, is Caledon an Calydon?",Yes,Caledon is different from Calydon.,True
179,Calypso is different from Callisto.,"Given the previous statement, is Callisto an Calypso?",Yes,Callisto is different from Calypso.,True
180,CamStudio is different from Camtasia Studio.,"Given the previous statement, is Camtasia Studio an CamStudio?",Yes,Camtasia Studio is different from CamStudio.,True
181,Cam Brook is different from River Cam.,"Given the previous statement, is River Cam an Cam Brook?",Yes,River Cam is different from Cam Brook.,True
182,Camaleona is different from Camaleones.,"Given the previous statement, is Camaleones an Camaleona?",Yes,Camaleones is different from Camaleona.,True
183,Camano Island is different from Kamano Island.,"Given the previous statement, is Kamano Island an Camano Island?",Yes,Kamano Island is different from Camano Island.,True
184,Camano Island is different from Camino Island.,"Given the previous statement, is Camino Island an Camano Island?",Yes,Camino Island is different from Camano Island.,True
185,Camarillas is different from Camarilla.,"Given the previous statement, is Camarilla an Camarillas?",Yes,Camarilla is different from Camarillas.,True
186,Camas Formation is different from Camas Valley Formation.,"Given the previous statement, is Camas Valley Formation an Camas Formation?",Yes,Camas Valley Formation is different from Camas Formation.,True
