ID,triple1,question,answer,inferred triple,label
171,E is different from S.,"Given the previous statements, is S diferent from E?",Yes,S is different from E.,True
172,E is different from R.,"Given the previous statements, is R diferent from E?",Yes,R is different from E.,True
173,E is different from C.,"Given the previous statements, is C diferent from E?",Yes,C is different from E.,True
174,E is different from L.,"Given the previous statements, is L diferent from E?",Yes,L is different from E.,True
175,E is different from U.,"Given the previous statements, is U diferent from E?",Yes,U is different from E.,True
176,E is different from J.,"Given the previous statements, is J diferent from E?",Yes,J is different from E.,True
177,E is different from C.,"Given the previous statements, is C diferent from E?",Yes,C is different from E.,True
178,E is different from H.,"Given the previous statements, is H diferent from E?",Yes,H is different from E.,True
179,E is different from C.,"Given the previous statements, is C diferent from E?",Yes,C is different from E.,True
180,E is different from O.,"Given the previous statements, is O diferent from E?",Yes,O is different from E.,True
181,E is different from U.,"Given the previous statements, is U diferent from E?",Yes,U is different from E.,True
182,E is different from Z.,"Given the previous statements, is Z diferent from E?",Yes,Z is different from E.,True
183,E is different from Z.,"Given the previous statements, is Z diferent from E?",Yes,Z is different from E.,True
184,E is different from Q.,"Given the previous statements, is Q diferent from E?",Yes,Q is different from E.,True
185,E is different from G.,"Given the previous statements, is G diferent from E?",Yes,G is different from E.,True
186,E is different from C.,"Given the previous statements, is C diferent from E?",Yes,C is different from E.,True
187,E is different from K.,"Given the previous statements, is K diferent from E?",Yes,K is different from E.,True
188,E is different from H.,"Given the previous statements, is H diferent from E?",Yes,H is different from E.,True
189,E is different from Q.,"Given the previous statements, is Q diferent from E?",Yes,Q is different from E.,True
190,E is different from A.,"Given the previous statements, is A diferent from E?",Yes,A is different from E.,True
191,E is different from U.,"Given the previous statements, is U diferent from E?",Yes,U is different from E.,True
192,E is different from L.,"Given the previous statements, is L diferent from E?",Yes,L is different from E.,True
193,E is different from O.,"Given the previous statements, is O diferent from E?",Yes,O is different from E.,True
194,E is different from X.,"Given the previous statements, is X diferent from E?",Yes,X is different from E.,True
195,E is different from R.,"Given the previous statements, is R diferent from E?",Yes,R is different from E.,True
196,E is different from L.,"Given the previous statements, is L diferent from E?",Yes,L is different from E.,True
197,E is different from G.,"Given the previous statements, is G diferent from E?",Yes,G is different from E.,True
198,E is different from M.,"Given the previous statements, is M diferent from E?",Yes,M is different from E.,True
199,E is different from Z.,"Given the previous statements, is Z diferent from E?",Yes,Z is different from E.,True
200,E is different from X.,"Given the previous statements, is X diferent from E?",Yes,X is different from E.,True
201,F is different from N.,"Given the previous statements, is N diferent from F?",Yes,N is different from F.,True
202,F is different from E.,"Given the previous statements, is E diferent from F?",Yes,E is different from F.,True
203,F is different from Z.,"Given the previous statements, is Z diferent from F?",Yes,Z is different from F.,True
204,F is different from U.,"Given the previous statements, is U diferent from F?",Yes,U is different from F.,True
205,F is different from U.,"Given the previous statements, is U diferent from F?",Yes,U is different from F.,True
206,F is different from Y.,"Given the previous statements, is Y diferent from F?",Yes,Y is different from F.,True
207,F is different from G.,"Given the previous statements, is G diferent from F?",Yes,G is different from F.,True
208,F is different from B.,"Given the previous statements, is B diferent from F?",Yes,B is different from F.,True
209,F is different from J.,"Given the previous statements, is J diferent from F?",Yes,J is different from F.,True
210,F is different from R.,"Given the previous statements, is R diferent from F?",Yes,R is different from F.,True
211,F is different from Q.,"Given the previous statements, is Q diferent from F?",Yes,Q is different from F.,True
212,F is different from P.,"Given the previous statements, is P diferent from F?",Yes,P is different from F.,True
213,F is different from G.,"Given the previous statements, is G diferent from F?",Yes,G is different from F.,True
214,F is different from S.,"Given the previous statements, is S diferent from F?",Yes,S is different from F.,True
215,F is different from S.,"Given the previous statements, is S diferent from F?",Yes,S is different from F.,True
216,F is different from C.,"Given the previous statements, is C diferent from F?",Yes,C is different from F.,True
217,F is different from E.,"Given the previous statements, is E diferent from F?",Yes,E is different from F.,True
218,F is different from A.,"Given the previous statements, is A diferent from F?",Yes,A is different from F.,True
219,F is different from H.,"Given the previous statements, is H diferent from F?",Yes,H is different from F.,True
220,F is different from G.,"Given the previous statements, is G diferent from F?",Yes,G is different from F.,True
221,F is different from E.,"Given the previous statements, is E diferent from F?",Yes,E is different from F.,True
222,F is different from M.,"Given the previous statements, is M diferent from F?",Yes,M is different from F.,True
223,F is different from G.,"Given the previous statements, is G diferent from F?",Yes,G is different from F.,True
224,F is different from G.,"Given the previous statements, is G diferent from F?",Yes,G is different from F.,True
225,F is different from L.,"Given the previous statements, is L diferent from F?",Yes,L is different from F.,True
226,F is different from I.,"Given the previous statements, is I diferent from F?",Yes,I is different from F.,True
227,F is different from I.,"Given the previous statements, is I diferent from F?",Yes,I is different from F.,True
228,F is different from D.,"Given the previous statements, is D diferent from F?",Yes,D is different from F.,True
229,F is different from O.,"Given the previous statements, is O diferent from F?",Yes,O is different from F.,True
230,F is different from P.,"Given the previous statements, is P diferent from F?",Yes,P is different from F.,True
231,F is different from H.,"Given the previous statements, is H diferent from F?",Yes,H is different from F.,True
232,F is different from T.,"Given the previous statements, is T diferent from F?",Yes,T is different from F.,True
233,F is different from T.,"Given the previous statements, is T diferent from F?",Yes,T is different from F.,True
234,F is different from T.,"Given the previous statements, is T diferent from F?",Yes,T is different from F.,True
235,F is different from L.,"Given the previous statements, is L diferent from F?",Yes,L is different from F.,True
236,F is different from S.,"Given the previous statements, is S diferent from F?",Yes,S is different from F.,True
237,F is different from H.,"Given the previous statements, is H diferent from F?",Yes,H is different from F.,True
238,F is different from W.,"Given the previous statements, is W diferent from F?",Yes,W is different from F.,True
239,F is different from Y.,"Given the previous statements, is Y diferent from F?",Yes,Y is different from F.,True
240,F is different from P.,"Given the previous statements, is P diferent from F?",Yes,P is different from F.,True
241,G is different from X.,"Given the previous statements, is X diferent from G?",Yes,X is different from G.,True
242,G is different from N.,"Given the previous statements, is N diferent from G?",Yes,N is different from G.,True
243,G is different from S.,"Given the previous statements, is S diferent from G?",Yes,S is different from G.,True
244,G is different from Y.,"Given the previous statements, is Y diferent from G?",Yes,Y is different from G.,True
245,G is different from L.,"Given the previous statements, is L diferent from G?",Yes,L is different from G.,True
246,G is different from N.,"Given the previous statements, is N diferent from G?",Yes,N is different from G.,True
247,G is different from F.,"Given the previous statements, is F diferent from G?",Yes,F is different from G.,True
248,G is different from M.,"Given the previous statements, is M diferent from G?",Yes,M is different from G.,True
249,G is different from W.,"Given the previous statements, is W diferent from G?",Yes,W is different from G.,True
250,G is different from C.,"Given the previous statements, is C diferent from G?",Yes,C is different from G.,True
251,G is different from F.,"Given the previous statements, is F diferent from G?",Yes,F is different from G.,True
252,G is different from J.,"Given the previous statements, is J diferent from G?",Yes,J is different from G.,True
253,G is different from Y.,"Given the previous statements, is Y diferent from G?",Yes,Y is different from G.,True
254,G is different from X.,"Given the previous statements, is X diferent from G?",Yes,X is different from G.,True
255,G is different from B.,"Given the previous statements, is B diferent from G?",Yes,B is different from G.,True
256,G is different from S.,"Given the previous statements, is S diferent from G?",Yes,S is different from G.,True
257,G is different from R.,"Given the previous statements, is R diferent from G?",Yes,R is different from G.,True
258,G is different from T.,"Given the previous statements, is T diferent from G?",Yes,T is different from G.,True
259,G is different from W.,"Given the previous statements, is W diferent from G?",Yes,W is different from G.,True
260,G is different from F.,"Given the previous statements, is F diferent from G?",Yes,F is different from G.,True
261,G is different from C.,"Given the previous statements, is C diferent from G?",Yes,C is different from G.,True
262,G is different from K.,"Given the previous statements, is K diferent from G?",Yes,K is different from G.,True
263,G is different from I.,"Given the previous statements, is I diferent from G?",Yes,I is different from G.,True
264,G is different from E.,"Given the previous statements, is E diferent from G?",Yes,E is different from G.,True
265,G is different from O.,"Given the previous statements, is O diferent from G?",Yes,O is different from G.,True
266,G is different from W.,"Given the previous statements, is W diferent from G?",Yes,W is different from G.,True
267,G is different from I.,"Given the previous statements, is I diferent from G?",Yes,I is different from G.,True
268,G is different from F.,"Given the previous statements, is F diferent from G?",Yes,F is different from G.,True
269,G is different from Q.,"Given the previous statements, is Q diferent from G?",Yes,Q is different from G.,True
270,G is different from T.,"Given the previous statements, is T diferent from G?",Yes,T is different from G.,True
271,G is different from W.,"Given the previous statements, is W diferent from G?",Yes,W is different from G.,True
272,G is different from N.,"Given the previous statements, is N diferent from G?",Yes,N is different from G.,True
273,G is different from K.,"Given the previous statements, is K diferent from G?",Yes,K is different from G.,True
274,G is different from L.,"Given the previous statements, is L diferent from G?",Yes,L is different from G.,True
275,G is different from N.,"Given the previous statements, is N diferent from G?",Yes,N is different from G.,True
276,G is different from T.,"Given the previous statements, is T diferent from G?",Yes,T is different from G.,True
277,G is different from S.,"Given the previous statements, is S diferent from G?",Yes,S is different from G.,True
278,G is different from S.,"Given the previous statements, is S diferent from G?",Yes,S is different from G.,True
279,G is different from H.,"Given the previous statements, is H diferent from G?",Yes,H is different from G.,True
280,G is different from R.,"Given the previous statements, is R diferent from G?",Yes,R is different from G.,True
281,H is different from M.,"Given the previous statements, is M diferent from H?",Yes,M is different from H.,True
282,H is different from D.,"Given the previous statements, is D diferent from H?",Yes,D is different from H.,True
283,H is different from E.,"Given the previous statements, is E diferent from H?",Yes,E is different from H.,True
284,H is different from O.,"Given the previous statements, is O diferent from H?",Yes,O is different from H.,True
285,H is different from V.,"Given the previous statements, is V diferent from H?",Yes,V is different from H.,True
286,H is different from G.,"Given the previous statements, is G diferent from H?",Yes,G is different from H.,True
287,H is different from V.,"Given the previous statements, is V diferent from H?",Yes,V is different from H.,True
288,H is different from S.,"Given the previous statements, is S diferent from H?",Yes,S is different from H.,True
289,H is different from K.,"Given the previous statements, is K diferent from H?",Yes,K is different from H.,True
290,H is different from R.,"Given the previous statements, is R diferent from H?",Yes,R is different from H.,True
291,H is different from B.,"Given the previous statements, is B diferent from H?",Yes,B is different from H.,True
292,H is different from Z.,"Given the previous statements, is Z diferent from H?",Yes,Z is different from H.,True
293,H is different from Z.,"Given the previous statements, is Z diferent from H?",Yes,Z is different from H.,True
294,H is different from Z.,"Given the previous statements, is Z diferent from H?",Yes,Z is different from H.,True
295,H is different from E.,"Given the previous statements, is E diferent from H?",Yes,E is different from H.,True
296,H is different from X.,"Given the previous statements, is X diferent from H?",Yes,X is different from H.,True
297,H is different from J.,"Given the previous statements, is J diferent from H?",Yes,J is different from H.,True
298,H is different from R.,"Given the previous statements, is R diferent from H?",Yes,R is different from H.,True
299,H is different from J.,"Given the previous statements, is J diferent from H?",Yes,J is different from H.,True
300,H is different from Z.,"Given the previous statements, is Z diferent from H?",Yes,Z is different from H.,True
301,H is different from E.,"Given the previous statements, is E diferent from H?",Yes,E is different from H.,True
302,H is different from X.,"Given the previous statements, is X diferent from H?",Yes,X is different from H.,True
303,H is different from V.,"Given the previous statements, is V diferent from H?",Yes,V is different from H.,True
304,H is different from O.,"Given the previous statements, is O diferent from H?",Yes,O is different from H.,True
305,H is different from L.,"Given the previous statements, is L diferent from H?",Yes,L is different from H.,True
306,H is different from E.,"Given the previous statements, is E diferent from H?",Yes,E is different from H.,True
307,H is different from X.,"Given the previous statements, is X diferent from H?",Yes,X is different from H.,True
308,H is different from M.,"Given the previous statements, is M diferent from H?",Yes,M is different from H.,True
309,H is different from D.,"Given the previous statements, is D diferent from H?",Yes,D is different from H.,True
310,H is different from R.,"Given the previous statements, is R diferent from H?",Yes,R is different from H.,True
311,H is different from N.,"Given the previous statements, is N diferent from H?",Yes,N is different from H.,True
312,H is different from B.,"Given the previous statements, is B diferent from H?",Yes,B is different from H.,True
313,H is different from K.,"Given the previous statements, is K diferent from H?",Yes,K is different from H.,True
314,H is different from V.,"Given the previous statements, is V diferent from H?",Yes,V is different from H.,True
315,H is different from R.,"Given the previous statements, is R diferent from H?",Yes,R is different from H.,True
316,H is different from A.,"Given the previous statements, is A diferent from H?",Yes,A is different from H.,True
317,H is different from B.,"Given the previous statements, is B diferent from H?",Yes,B is different from H.,True
318,H is different from K.,"Given the previous statements, is K diferent from H?",Yes,K is different from H.,True
319,H is different from V.,"Given the previous statements, is V diferent from H?",Yes,V is different from H.,True
320,H is different from P.,"Given the previous statements, is P diferent from H?",Yes,P is different from H.,True
321,I is different from C.,"Given the previous statements, is C diferent from I?",Yes,C is different from I.,True
322,I is different from Z.,"Given the previous statements, is Z diferent from I?",Yes,Z is different from I.,True
323,I is different from Y.,"Given the previous statements, is Y diferent from I?",Yes,Y is different from I.,True
324,I is different from N.,"Given the previous statements, is N diferent from I?",Yes,N is different from I.,True
325,I is different from W.,"Given the previous statements, is W diferent from I?",Yes,W is different from I.,True
326,I is different from G.,"Given the previous statements, is G diferent from I?",Yes,G is different from I.,True
327,I is different from U.,"Given the previous statements, is U diferent from I?",Yes,U is different from I.,True
328,I is different from W.,"Given the previous statements, is W diferent from I?",Yes,W is different from I.,True
329,I is different from L.,"Given the previous statements, is L diferent from I?",Yes,L is different from I.,True
330,I is different from X.,"Given the previous statements, is X diferent from I?",Yes,X is different from I.,True
331,I is different from R.,"Given the previous statements, is R diferent from I?",Yes,R is different from I.,True
332,I is different from O.,"Given the previous statements, is O diferent from I?",Yes,O is different from I.,True
333,I is different from G.,"Given the previous statements, is G diferent from I?",Yes,G is different from I.,True
334,I is different from R.,"Given the previous statements, is R diferent from I?",Yes,R is different from I.,True
335,I is different from Y.,"Given the previous statements, is Y diferent from I?",Yes,Y is different from I.,True
336,I is different from D.,"Given the previous statements, is D diferent from I?",Yes,D is different from I.,True
337,I is different from U.,"Given the previous statements, is U diferent from I?",Yes,U is different from I.,True
338,I is different from P.,"Given the previous statements, is P diferent from I?",Yes,P is different from I.,True
339,I is different from X.,"Given the previous statements, is X diferent from I?",Yes,X is different from I.,True
340,I is different from Z.,"Given the previous statements, is Z diferent from I?",Yes,Z is different from I.,True
341,I is different from L.,"Given the previous statements, is L diferent from I?",Yes,L is different from I.,True
342,I is different from K.,"Given the previous statements, is K diferent from I?",Yes,K is different from I.,True
343,I is different from E.,"Given the previous statements, is E diferent from I?",Yes,E is different from I.,True
344,I is different from G.,"Given the previous statements, is G diferent from I?",Yes,G is different from I.,True
345,I is different from F.,"Given the previous statements, is F diferent from I?",Yes,F is different from I.,True
