ID,triple1,triple2,triple3,question,answer,inferred triple,label,LLM output
1280,Carlo Parietti deathYear 2022.,Cacho Fontana deathYear 24.384.,deathYear is a functional property.,"Given the previous statements, is Carlo Parietti the same as Cacho Fontana?",No,Carlo Parietti is not the same as Cacho Fontana.,False,"No, Carlo Parietti is not the same as Cacho Fontana."
639,Canon Island populationTotal 0.,"Cadia, New South Wales populationTotal 0.",populationTotal is a functional property.,"Given the previous statements, is Canon Island the same as Cadia, New South Wales?",Yes,"Canon Island is the same as Cadia, New South Wales.",True,no
569,Beni Arab length 2000.0.,Cabahan length 2000.0.,length is a functional property.,"Given the previous statements, is Beni Arab the same as Cabahan?",Yes,Beni Arab is the same as Cabahan.,True,"Yes, Beni Arab and Cabahan are the same."
1814,USS Express No. 4 topSpeed 31.484.,Cagni-class submarine topSpeed 2008.,topSpeed is a functional property.,"Given the previous statements, is USS Express No. 4 the same as Cagni-class submarine?",No,USS Express No. 4 is not the same as Cagni-class submarine.,False,"No, USS Express No. 4 is not the same as Cagni-class"
1636,"Campbelltown, Guyana populationTotal 0.","Cadia, New South Wales populationTotal 359.292.",populationTotal is a functional property.,"Given the previous statements, is Campbelltown, Guyana the same as Cadia, New South Wales?",No,"Campbelltown, Guyana is not the same as Cadia, New South Wales.",False,"No, Campbelltown, Guyana is not the same as Cadia, New South Wales."
1667,Caracas Islands populationTotal 0.,Caher Island populationTotal 80000.0.,populationTotal is a functional property.,"Given the previous statements, is Caracas Islands the same as Caher Island?",No,Caracas Islands is not the same as Caher Island.,False,"No, Caracas Islands is not the same as Caher Island."
1676,Camp Hazen populationTotal 0.,Cal Islet populationTotal 2e+07.,populationTotal is a functional property.,"Given the previous statements, is Camp Hazen the same as Cal Islet?",No,Camp Hazen is not the same as Cal Islet.,False,"No, Camp Hazen is not the same as Cal Islet."
1344,Kheibar Shekan diameter 80000.0.,Cabannes diameter 23.5.,diameter is a functional property.,"Given the previous statements, is Kheibar Shekan the same as Cabannes?",No,Kheibar Shekan is not the same as Cabannes.,False,"No, Kheibar Shekan is not the same as Cabannes."
1246,Carol Raye deathYear 2022.,Cabo Anselmo deathYear 0.,deathYear is a functional property.,"Given the previous statements, is Carol Raye the same as Cabo Anselmo?",No,Carol Raye is not the same as Cabo Anselmo.,False,"No, Carol Raye is not the same as Cabo Anselmo."
44,André Neury birthDate 1921-09-03.,Cab Kaye birthDate 1921-09-03.,birthDate is a functional property.,"Given the previous statements, is André Neury the same as Cab Kaye?",Yes,André Neury is the same as Cab Kaye.,True,"Yes, André Neury and Cab Kaye are the same."
417,Lexus ES  Sixth generation XV60  1  AutomobileEngine  1 displacement 0.0035.,Caparo T1 engine displacement 0.0035.,displacement is a functional property.,"Given the previous statements, is Lexus ES  Sixth generation XV60  1  AutomobileEngine  1 the same as Caparo T1 engine?",Yes,Lexus ES  Sixth generation XV60  1  AutomobileEngine  1 is the same as Caparo T1 engine.,True,"Yes, Lexus ES Sixth generation XV60 1 AutomobileEngine 1 displacement"
660,Canon Island populationTotal 0.,Caher Island populationTotal 0.,populationTotal is a functional property.,"Given the previous statements, is Canon Island the same as Caher Island?",Yes,Canon Island is the same as Caher Island.,True,"Yes, Canon Island and Caher Island are the same."
466,Puja Abdillah height 0.0.,Cardel Benbow height 0.0.,height is a functional property.,"Given the previous statements, is Puja Abdillah the same as Cardel Benbow?",Yes,Puja Abdillah is the same as Cardel Benbow.,True,"No, Puja Abdillah is not the same as Cardel Benbow"
1998,Dargai Hydropower Plant  PowerStation  1 installedCapacity 2e+07.,Calasparra Photovoltaic Power Plant installedCapacity 2.68.,installedCapacity is a functional property.,"Given the previous statements, is Dargai Hydropower Plant  PowerStation  1 the same as Calasparra Photovoltaic Power Plant?",No,Dargai Hydropower Plant  PowerStation  1 is not the same as Calasparra Photovoltaic Power Plant.,False,"No, Dargai Hydropower Plant PowerStation 1 is not the same as Cal"
1901,Volvo V60  First generation  1 wheelbase 2.776.,Cadillac ATS wheelbase 3.04391E8.,wheelbase is a functional property.,"Given the previous statements, is Volvo V60  First generation  1 the same as Cadillac ATS?",No,Volvo V60  First generation  1 is not the same as Cadillac ATS.,False,"No, the Volvo V60 First generation 1 wheelbase is not the same as the Cadillac "
189,Quartus birthYear 0001.,Bartholomew the Apostle birthYear 0001.,birthYear is a functional property.,"Given the previous statements, is Quartus the same as Bartholomew the Apostle?",Yes,Quartus is the same as Bartholomew the Apostle.,True,"Yes, Quartus is the same as Bartholomew the Apostle."
1741,USS Leahy topSpeed 59.264.,Cabrini-class patrol boat topSpeed 0.004192.,topSpeed is a functional property.,"Given the previous statements, is USS Leahy the same as Cabrini-class patrol boat?",No,USS Leahy is not the same as Cabrini-class patrol boat.,False,"No, USS Leahy is not the same as Cabrini-class"
687,Capel Island populationTotal 0.,Cal Islet populationTotal 0.,populationTotal is a functional property.,"Given the previous statements, is Capel Island the same as Cal Islet?",Yes,Capel Island is the same as Cal Islet.,True,"No, Capel Island is not the same as Cal Islet."
1168,Quartus birthYear 0001.,Barnabas birthYear 3.1144E8.,birthYear is a functional property.,"Given the previous statements, is Quartus the same as Barnabas?",No,Quartus is not the same as Barnabas.,False,"Yes, Quartus and Barnabas are the same."
1898,Rory Scannell weight 96000.0.,Cadan Murley weight 0.0035.,weight is a functional property.,"Given the previous statements, is Rory Scannell the same as Cadan Murley?",No,Rory Scannell is not the same as Cadan Murley.,False,"No, Rory Scannell is not the same as Cadan Murley."
643,"Cape Pole, Alaska populationTotal 0.","Cadia, New South Wales populationTotal 0.",populationTotal is a functional property.,"Given the previous statements, is Cape Pole, Alaska the same as Cadia, New South Wales?",Yes,"Cape Pole, Alaska is the same as Cadia, New South Wales.",True,no
440,Carmen Soo height 0.0.,Capitan Petchyindee Academy height 0.0.,height is a functional property.,"Given the previous statements, is Carmen Soo the same as Capitan Petchyindee Academy?",Yes,Carmen Soo is the same as Capitan Petchyindee Academy.,True,"No, Carmen Soo is not the same as Capitan Petchyindee Academy"
747,Ukrainian cruiser Ukraina topSpeed 59.264.,Cabrini-class patrol boat topSpeed 59.264.,topSpeed is a functional property.,"Given the previous statements, is Ukrainian cruiser Ukraina the same as Cabrini-class patrol boat?",Yes,Ukrainian cruiser Ukraina is the same as Cabrini-class patrol boat.,True,"Yes, the Ukrainian cruiser Ukraina and the Cabrini-class patrol"
1941,Bolga width 1500.0.,Cabahan width 372861.0.,width is a functional property.,"Given the previous statements, is Bolga the same as Cabahan?",No,Bolga is not the same as Cabahan.,False,"Yes, Bolga and Cabahan are both functional properties."
142,Saint Serapia birthYear 0001.,Quartus birthYear 0001.,birthYear is a functional property.,"Given the previous statements, is Saint Serapia the same as Quartus?",Yes,Saint Serapia is the same as Quartus.,True,"Yes, Saint Serapia and Quartus are the same."
1476,Samira Suleman height 0.0.,Cardel Benbow height 409.61.,height is a functional property.,"Given the previous statements, is Samira Suleman the same as Cardel Benbow?",No,Samira Suleman is not the same as Cardel Benbow.,False,"No, Samira Suleman is not the same as Cardel Benbow."
1463,Cassandra Kirkland height 0.0.,Cardel Benbow height 0.,height is a functional property.,"Given the previous statements, is Cassandra Kirkland the same as Cardel Benbow?",No,Cassandra Kirkland is not the same as Cardel Benbow.,False,"No, Cassandra Kirkland is not the same as Cardel Ben"
56,Carolyn Swords birthDate 1989-07-19.,Cabbrini Foncette birthDate 1989-07-19.,birthDate is a functional property.,"Given the previous statements, is Carolyn Swords the same as Cabbrini Foncette?",Yes,Carolyn Swords is the same as Cabbrini Foncette.,True,"No, Carolyn Swords is not the same as Cabbrini Foncette."
578,Khairi Dam length 1210.0.,Caballo Island length 1210.0.,length is a functional property.,"Given the previous statements, is Khairi Dam the same as Caballo Island?",Yes,Khairi Dam is the same as Caballo Island.,True,"No, Khairi Dam is not the same as Caballo Island."
584,USS Frolic length 50.292.,Cabalva length 50.292.,length is a functional property.,"Given the previous statements, is USS Frolic the same as Cabalva?",Yes,USS Frolic is the same as Cabalva.,True,"No, USS Frolic is not the same as Cabalva."
28,Kristaq Antoniu birthDate 1907-12-25.,Cab Calloway birthDate 1907-12-25.,birthDate is a functional property.,"Given the previous statements, is Kristaq Antoniu the same as Cab Calloway?",Yes,Kristaq Antoniu is the same as Cab Calloway.,True,"Yes, Kristaq Antoniu and Cab Calloway are the same."
84,Rover Streetwise  2003–2005  4 acceleration 9.5.,Renault Koleos  First generation HY  1  2.0 L 16V  1 acceleration 9.5.,acceleration is a functional property.,"Given the previous statements, is Rover Streetwise  2003–2005  4 the same as Renault Koleos  First generation HY  1  2.0 L 16V  1?",Yes,Rover Streetwise  2003–2005  4 is the same as Renault Koleos  First generation HY  1  2.0 L 16V  1.,True,"No, Rover Streetwise 2003–2005 4 is not the same as Renault Koleos"
764,USS Dolphin topSpeed 31.484.,Cachalot-class submarine topSpeed 31.484.,topSpeed is a functional property.,"Given the previous statements, is USS Dolphin the same as Cachalot-class submarine?",Yes,USS Dolphin is the same as Cachalot-class submarine.,True,"Yes, USS Dolphin and Cachalot-class submarine are the same."
1004,Nancy Catamco birthDate 1969-06-19.,CaMia Hopson birthDate 0095-09-11.,birthDate is a functional property.,"Given the previous statements, is Nancy Catamco the same as CaMia Hopson?",No,Nancy Catamco is not the same as CaMia Hopson.,False,"Yes, Nancy Catamco and CaMia Hopson are the same."
481,Carly McNaul height 0.0.,Carl Limberger height 0.0.,height is a functional property.,"Given the previous statements, is Carly McNaul the same as Carl Limberger?",Yes,Carly McNaul is the same as Carl Limberger.,True,"No, Carly McNaul is not the same as Carl Limberger."
1116,Renault Laguna  Second generation X74  1  .6 16v  1 acceleration 11.5.,Renault Laguna  First generation X56  1  .6 16v  1 acceleration 3.1144E8.,acceleration is a functional property.,"Given the previous statements, is Renault Laguna  Second generation X74  1  .6 16v  1 the same as Renault Laguna  First generation X56  1  .6 16v  1?",No,Renault Laguna  Second generation X74  1  .6 16v  1 is not the same as Renault Laguna  First generation X56  1  .6 16v  1.,False,"Yes, Renault Laguna Second generation X74 1 .6 16v 1 and Renault Laguna"
631,"Calder Park, Victoria populationTotal 0.","Cadia, New South Wales populationTotal 0.",populationTotal is a functional property.,"Given the previous statements, is Calder Park, Victoria the same as Cadia, New South Wales?",Yes,"Calder Park, Victoria is the same as Cadia, New South Wales.",True,"No, Calder Park, Victoria is not the same as Cadia, New South Wales."
1046,Žika Mitrović birthDate 1921-09-03.,Cab Kaye birthDate 0.0.,birthDate is a functional property.,"Given the previous statements, is Žika Mitrović the same as Cab Kaye?",No,Žika Mitrović is not the same as Cab Kaye.,False,"No, ika Mitrovi is not the same as Cab Kaye."
975,Crescent Bridge width 24.384.,Cable Bridge width 24.384.,width is a functional property.,"Given the previous statements, is Crescent Bridge the same as Cable Bridge?",Yes,Crescent Bridge is the same as Cable Bridge.,True,"Yes, Crescent Bridge and Cable Bridge are both bridges with the same width."
1520,Capitan Petchyindee Academy height 0.0.,Carly McNaul height 1.81728e+13.,height is a functional property.,"Given the previous statements, is Capitan Petchyindee Academy the same as Carly McNaul?",No,Capitan Petchyindee Academy is not the same as Carly McNaul.,False,"No, Capitan Petchyindee Academy is not the same as Carly McN"
1050,Iwo Cyprian Pogonowski birthDate 1921-09-03.,Cab Kaye birthDate 9.2125E8.,birthDate is a functional property.,"Given the previous statements, is Iwo Cyprian Pogonowski the same as Cab Kaye?",No,Iwo Cyprian Pogonowski is not the same as Cab Kaye.,False,"No, Iwo Cyprian Pogonowski is not the same as Cab Kaye"
1236,Carleton Carpenter deathYear 2022.,Cabo Anselmo deathYear 3.2e+08.,deathYear is a functional property.,"Given the previous statements, is Carleton Carpenter the same as Cabo Anselmo?",No,Carleton Carpenter is not the same as Cabo Anselmo.,False,"No, Carleton Carpenter is not the same as Cabo Anselmo."
907,Zotye SR7 wheelbase 2.68.,Cadillac BLS wheelbase 2.68.,wheelbase is a functional property.,"Given the previous statements, is Zotye SR7 the same as Cadillac BLS?",Yes,Zotye SR7 is the same as Cadillac BLS.,True,"Yes, Zotye SR7 and Cadillac BLS have the same wheelbase."
779,Brazilian tanker Marajó topSpeed 24.076.,Cadmus-class sloop topSpeed 24.076.,topSpeed is a functional property.,"Given the previous statements, is Brazilian tanker Marajó the same as Cadmus-class sloop?",Yes,Brazilian tanker Marajó is the same as Cadmus-class sloop.,True,no
426,Lincoln MKT  AutomobileEngine  1 displacement 0.0035.,Caparo T1 engine displacement 0.0035.,displacement is a functional property.,"Given the previous statements, is Lincoln MKT  AutomobileEngine  1 the same as Caparo T1 engine?",Yes,Lincoln MKT  AutomobileEngine  1 is the same as Caparo T1 engine.,True,"Yes, Lincoln MKT AutomobileEngine 1 and Caparo T1 engine are the same"
275,Calvin Simon deathYear 2022.,Cacho Fontana deathYear 2022.,deathYear is a functional property.,"Given the previous statements, is Calvin Simon the same as Cacho Fontana?",Yes,Calvin Simon is the same as Cacho Fontana.,True,"No, Calvin Simon is not the same as Cacho Fontana."
