ID,triple1,triple2,triple3,question,answer,inferred triple,label,LLM output
470,E K 67.,A K 67.,K is a functional property.,"Given the previous statements, is A the same as E?",Yes,A is the same as E.,True,"Yes, A and E are the same."
1142,B Q 48.,N Q 94.,Q is a functional property.,"Given the previous statements, is N the same as B?",No,N is not the same as B.,False,"Yes, N and B are the same."
1689,G S 88.,K S 58.,S is a functional property.,"Given the previous statements, is K the same as G?",No,K is not the same as G.,False,"No, K is not the same as G."
1121,B P 22.,V P 25.,P is a functional property.,"Given the previous statements, is V the same as B?",No,V is not the same as B.,False,"Yes, B and V are the same."
1020,A S 34.,E S 34.,S is a functional property.,"Given the previous statements, is E the same as A?",No,E is not the same as A.,False,"Yes, E and A are the same."
1025,A K 53.,J K 36.,K is a functional property.,"Given the previous statements, is J the same as A?",No,J is not the same as A.,False,"Yes, J is the same as A."
714,H K 30.,C K 30.,K is a functional property.,"Given the previous statements, is C the same as H?",Yes,C is the same as H.,True,"Yes, C and H are the same."
215,C L 16.,E L 16.,L is a functional property.,"Given the previous statements, is E the same as C?",Yes,E is the same as C.,True,"Yes, C and E are the same."
151,B W 48.,X W 48.,W is a functional property.,"Given the previous statements, is X the same as B?",Yes,X is the same as B.,True,no
303,D I 62.,O I 62.,I is a functional property.,"Given the previous statements, is O the same as D?",Yes,O is the same as D.,True,"Yes, O is the same as D."
1221,C O 65.,H O 98.,O is a functional property.,"Given the previous statements, is H the same as C?",No,H is not the same as C.,False,"Yes, C and H are the same."
614,G A 9.,O A 9.,A is a functional property.,"Given the previous statements, is O the same as G?",Yes,O is the same as G.,True,"Yes, G and O are the same."
960,J C 27.,E C 27.,C is a functional property.,"Given the previous statements, is E the same as J?",Yes,E is the same as J.,True,"Yes, E and J are the same."
1434,E F 11.,J F 52.,F is a functional property.,"Given the previous statements, is J the same as E?",No,J is not the same as E.,False,"Yes, J and F are the same."
174,B J 18.,I J 18.,J is a functional property.,"Given the previous statements, is I the same as B?",Yes,I is the same as B.,True,"Yes, I and B are the same."
700,G U 40.,B U 40.,U is a functional property.,"Given the previous statements, is B the same as G?",Yes,B is the same as G.,True,no
672,G W 58.,L W 58.,W is a functional property.,"Given the previous statements, is L the same as G?",Yes,L is the same as G.,True,no
618,G X 94.,F X 94.,X is a functional property.,"Given the previous statements, is F the same as G?",Yes,F is the same as G.,True,"Yes, F and G are the same."
1569,F Q 67.,X Q 56.,Q is a functional property.,"Given the previous statements, is X the same as F?",No,X is not the same as F.,False,"Yes, X and F are the same."
311,D B 60.,W B 60.,B is a functional property.,"Given the previous statements, is W the same as D?",Yes,W is the same as D.,True,no
1791,H F 98.,J F 82.,F is a functional property.,"Given the previous statements, is J the same as H?",No,J is not the same as H.,False,no
1029,A S 63.,R S 21.,S is a functional property.,"Given the previous statements, is R the same as A?",No,R is not the same as A.,False,"Yes, R and A are the same."
1197,B E 7.,A E 4.,E is a functional property.,"Given the previous statements, is A the same as B?",No,A is not the same as B.,False,"Yes, A and B are the same."
1557,F B 98.,U B 29.,B is a functional property.,"Given the previous statements, is U the same as F?",No,U is not the same as F.,False,"No, U is not the same as F."
564,F Z 65.,G Z 65.,Z is a functional property.,"Given the previous statements, is G the same as F?",Yes,G is the same as F.,True,"Yes, G and F are the same."
1746,H C 75.,Q C 21.,C is a functional property.,"Given the previous statements, is Q the same as H?",No,Q is not the same as H.,False,"Yes, Q and H are the same."
91,A S 28.,K S 28.,S is a functional property.,"Given the previous statements, is K the same as A?",Yes,K is the same as A.,True,"Yes, K is the same as A."
1053,A C 32.,Y C 11.,C is a functional property.,"Given the previous statements, is Y the same as A?",No,Y is not the same as A.,False,"Yes, Y is the same as A."
512,F I 69.,P I 69.,I is a functional property.,"Given the previous statements, is P the same as F?",Yes,P is the same as F.,True,"Yes, P and F are the same."
1722,H D 3.,X D 10.,D is a functional property.,"Given the previous statements, is X the same as H?",No,X is not the same as H.,False,no
1803,I X 73.,M X 75.,X is a functional property.,"Given the previous statements, is M the same as I?",No,M is not the same as I.,False,"Yes, M is the same as I."
597,F B 50.,T B 50.,B is a functional property.,"Given the previous statements, is T the same as F?",Yes,T is the same as F.,True,"Yes, T and F are the same."
376,D A 6.,C A 6.,A is a functional property.,"Given the previous statements, is C the same as D?",Yes,C is the same as D.,True,"Yes, C and D are the same."
850,I T 89.,R T 89.,T is a functional property.,"Given the previous statements, is R the same as I?",Yes,R is the same as I.,True,"Yes, R and I are the same."
921,J O 99.,Y O 99.,O is a functional property.,"Given the previous statements, is Y the same as J?",Yes,Y is the same as J.,True,"Yes, Y is the same as J."
1800,H R 85.,L R 89.,R is a functional property.,"Given the previous statements, is L the same as H?",No,L is not the same as H.,False,"Yes, L and H are the same."
510,F G 56.,R G 56.,G is a functional property.,"Given the previous statements, is R the same as F?",Yes,R is the same as F.,True,"Yes, F and G are the same."
201,C Y 5.,M Y 5.,Y is a functional property.,"Given the previous statements, is M the same as C?",Yes,M is the same as C.,True,"Yes, M and C are the same."
1886,I J 89.,V J 21.,J is a functional property.,"Given the previous statements, is V the same as I?",No,V is not the same as I.,False,"Yes, V is the same as I."
1136,B U 65.,T U 46.,U is a functional property.,"Given the previous statements, is T the same as B?",No,T is not the same as B.,False,"Yes, T and B are the same."
1447,E A 77.,Q A 88.,A is a functional property.,"Given the previous statements, is Q the same as E?",No,Q is not the same as E.,False,"Yes, Q is the same as E."
1661,G E 73.,I E 2.,E is a functional property.,"Given the previous statements, is I the same as G?",No,I is not the same as G.,False,"Yes, G and I are the same."
1629,G B 42.,U B 82.,B is a functional property.,"Given the previous statements, is U the same as G?",No,U is not the same as G.,False,"No, U is not the same as G."
586,F L 56.,C L 56.,L is a functional property.,"Given the previous statements, is C the same as F?",Yes,C is the same as F.,True,no
1985,J Q 97.,N Q 13.,Q is a functional property.,"Given the previous statements, is N the same as J?",No,N is not the same as J.,False,"Yes, N and J are the same."
1949,J O 2.,S O 10.,O is a functional property.,"Given the previous statements, is S the same as J?",No,S is not the same as J.,False,"Yes, S and J are the same."
959,J Z 42.,Y Z 42.,Z is a functional property.,"Given the previous statements, is Y the same as J?",Yes,Y is the same as J.,True,"Yes, Y is the same as J."
1202,C R 60.,Y R 1.,R is a functional property.,"Given the previous statements, is Y the same as C?",No,Y is not the same as C.,False,"Yes, Y is the same as C."
1913,J A 2.,P A 40.,A is a functional property.,"Given the previous statements, is P the same as J?",No,P is not the same as J.,False,"Yes, P and J are the same."
1524,F E 56.,G E 95.,E is a functional property.,"Given the previous statements, is G the same as F?",No,G is not the same as F.,False,"Yes, G and F are the same."
307,D P 77.,R P 77.,P is a functional property.,"Given the previous statements, is R the same as D?",Yes,R is the same as D.,True,no
382,D T 37.,Z T 37.,T is a functional property.,"Given the previous statements, is Z the same as D?",Yes,Z is the same as D.,True,"Yes, Z is the same as D."
1555,F D 25.,C D 6.,D is a functional property.,"Given the previous statements, is C the same as F?",No,C is not the same as F.,False,no
1465,E H 6.,Y H 19.,H is a functional property.,"Given the previous statements, is Y the same as E?",No,Y is not the same as E.,False,"Yes, Y is the same as E."
781,H B 7.,V B 7.,B is a functional property.,"Given the previous statements, is V the same as H?",Yes,V is the same as H.,True,"Yes, H and V are the same."
1737,H O 78.,S O 55.,O is a functional property.,"Given the previous statements, is S the same as H?",No,S is not the same as H.,False,no
1750,H Y 52.,F Y 53.,Y is a functional property.,"Given the previous statements, is F the same as H?",No,F is not the same as H.,False,no
1997,J F 29.,E F 11.,F is a functional property.,"Given the previous statements, is E the same as J?",No,E is not the same as J.,False,no
1423,E Y 51.,M Y 82.,Y is a functional property.,"Given the previous statements, is M the same as E?",No,M is not the same as E.,False,"Yes, M is the same as E."
727,H O 14.,I O 14.,O is a functional property.,"Given the previous statements, is I the same as H?",Yes,I is the same as H.,True,"Yes, I and H are the same."
592,F K 19.,N K 19.,K is a functional property.,"Given the previous statements, is N the same as F?",Yes,N is the same as F.,True,"Yes, F and N are the same."
386,D O 98.,L O 98.,O is a functional property.,"Given the previous statements, is L the same as D?",Yes,L is the same as D.,True,no
18,A H 45.,P H 45.,H is a functional property.,"Given the previous statements, is P the same as A?",Yes,P is the same as A.,True,"Yes, P is the same as A."
705,H E 76.,L E 76.,E is a functional property.,"Given the previous statements, is L the same as H?",Yes,L is the same as H.,True,"Yes, H and L are the same."
1751,H B 19.,Q B 82.,B is a functional property.,"Given the previous statements, is Q the same as H?",No,Q is not the same as H.,False,"Yes, Q and H are the same."
1390,D L 72.,R L 39.,L is a functional property.,"Given the previous statements, is R the same as D?",No,R is not the same as D.,False,no
1680,G H 76.,Z H 32.,H is a functional property.,"Given the previous statements, is Z the same as G?",No,Z is not the same as G.,False,"No, Z is not the same as G."
21,A Q 69.,C Q 69.,Q is a functional property.,"Given the previous statements, is C the same as A?",Yes,C is the same as A.,True,"Yes, C is the same as A."
1527,F U 74.,Q U 42.,U is a functional property.,"Given the previous statements, is Q the same as F?",No,Q is not the same as F.,False,"Yes, Q is the same as F."
294,C V 3.,U V 3.,V is a functional property.,"Given the previous statements, is U the same as C?",Yes,U is the same as C.,True,"Yes, U is the same as C."
435,E S 55.,F S 55.,S is a functional property.,"Given the previous statements, is F the same as E?",Yes,F is the same as E.,True,"Yes, F and E are the same."
1339,D F 80.,U F 49.,F is a functional property.,"Given the previous statements, is U the same as D?",No,U is not the same as D.,False,"Yes, U and D are the same."
261,C I 73.,J I 73.,I is a functional property.,"Given the previous statements, is J the same as C?",Yes,J is the same as C.,True,"Yes, C and J are the same."
420,E B 98.,K B 98.,B is a functional property.,"Given the previous statements, is K the same as E?",Yes,K is the same as E.,True,"Yes, K is the same as E."
1585,F G 14.,R G 71.,G is a functional property.,"Given the previous statements, is R the same as F?",No,R is not the same as F.,False,"Yes, R and F are the same."
1292,C B 43.,T B 26.,B is a functional property.,"Given the previous statements, is T the same as C?",No,T is not the same as C.,False,"Yes, C and T are the same."
1600,F W 44.,Q W 92.,W is a functional property.,"Given the previous statements, is Q the same as F?",No,Q is not the same as F.,False,"Yes, Q and F are the same."
1418,E Q 93.,Y Q 13.,Q is a functional property.,"Given the previous statements, is Y the same as E?",No,Y is not the same as E.,False,"Yes, Y is the same as E."
984,J L 72.,K L 72.,L is a functional property.,"Given the previous statements, is K the same as J?",Yes,K is the same as J.,True,"Yes, K and J are the same."
553,F R 64.,D R 64.,R is a functional property.,"Given the previous statements, is D the same as F?",Yes,D is the same as F.,True,"Yes, D and F are the same."
1066,A C 46.,J C 19.,C is a functional property.,"Given the previous statements, is J the same as A?",No,J is not the same as A.,False,"Yes, J and A are the same."
1925,J A 38.,E A 60.,A is a functional property.,"Given the previous statements, is E the same as J?",No,E is not the same as J.,False,"Yes, E and J are the same."
1195,B T 45.,P T 58.,T is a functional property.,"Given the previous statements, is P the same as B?",No,P is not the same as B.,False,"Yes, P and B are the same."
1937,J F 51.,T F 26.,F is a functional property.,"Given the previous statements, is T the same as J?",No,T is not the same as J.,False,"Yes, T and J are the same."
936,J M 87.,P M 87.,M is a functional property.,"Given the previous statements, is P the same as J?",Yes,P is the same as J.,True,"Yes, P and J are the same."
248,C S 35.,L S 35.,S is a functional property.,"Given the previous statements, is L the same as C?",Yes,L is the same as C.,True,"Yes, C and L are the same."
490,E B 38.,R B 38.,B is a functional property.,"Given the previous statements, is R the same as E?",Yes,R is the same as E.,True,"Yes, R and E are the same."
1038,A M 61.,W M 25.,M is a functional property.,"Given the previous statements, is W the same as A?",No,W is not the same as A.,False,"Yes, W is the same as A."
1720,H Y 95.,M Y 9.,Y is a functional property.,"Given the previous statements, is M the same as H?",No,M is not the same as H.,False,no
1377,D L 42.,Y L 48.,L is a functional property.,"Given the previous statements, is Y the same as D?",No,Y is not the same as D.,False,no
1675,G N 98.,D N 96.,N is a functional property.,"Given the previous statements, is D the same as G?",No,D is not the same as G.,False,"Yes, D and G are the same."
1467,E J 28.,S J 78.,J is a functional property.,"Given the previous statements, is S the same as E?",No,S is not the same as E.,False,"Yes, S and E are the same."
687,G A 65.,Q A 65.,A is a functional property.,"Given the previous statements, is Q the same as G?",Yes,Q is the same as G.,True,"Yes, G and Q are the same."
488,E C 25.,F C 25.,C is a functional property.,"Given the previous statements, is F the same as E?",Yes,F is the same as E.,True,"Yes, F and E are the same."
167,B A 70.,E A 70.,A is a functional property.,"Given the previous statements, is E the same as B?",Yes,E is the same as B.,True,"Yes, E and B are the same."
549,F T 53.,E T 53.,T is a functional property.,"Given the previous statements, is E the same as F?",Yes,E is the same as F.,True,"Yes, E and F are the same."
611,G F 58.,I F 58.,F is a functional property.,"Given the previous statements, is I the same as G?",Yes,I is the same as G.,True,"Yes, I and G are the same."
1741,H R 43.,K R 62.,R is a functional property.,"Given the previous statements, is K the same as H?",No,K is not the same as H.,False,"Yes, K is the same as H."
745,H N 23.,P N 23.,N is a functional property.,"Given the previous statements, is P the same as H?",Yes,P is the same as H.,True,"Yes, P is the same as H."
1817,I H 92.,V H 23.,H is a functional property.,"Given the previous statements, is V the same as I?",No,V is not the same as I.,False,"No, V is not the same as I."
768,H W 96.,I W 96.,W is a functional property.,"Given the previous statements, is I the same as H?",Yes,I is the same as H.,True,"Yes, I and H are the same."
1968,J I 50.,L I 35.,I is a functional property.,"Given the previous statements, is L the same as J?",No,L is not the same as J.,False,"Yes, J and L are the same."
183,B L 96.,R L 96.,L is a functional property.,"Given the previous statements, is R the same as B?",Yes,R is the same as B.,True,"Yes, R and B are the same."
1430,E D 52.,B D 5.,D is a functional property.,"Given the previous statements, is B the same as E?",No,B is not the same as E.,False,"Yes, B and E are the same."
1302,D O 95.,P O 41.,O is a functional property.,"Given the previous statements, is P the same as D?",No,P is not the same as D.,False,no
694,G H 42.,V H 42.,H is a functional property.,"Given the previous statements, is V the same as G?",Yes,V is the same as G.,True,no
1854,I W 5.,V W 27.,W is a functional property.,"Given the previous statements, is V the same as I?",No,V is not the same as I.,False,"Yes, V and I are the same."
627,G T 93.,K T 93.,T is a functional property.,"Given the previous statements, is K the same as G?",Yes,K is the same as G.,True,"Yes, K and G are the same."
356,D F 19.,S F 19.,F is a functional property.,"Given the previous statements, is S the same as D?",Yes,S is the same as D.,True,"Yes, D and S are the same."
1380,D J 99.,H J 53.,J is a functional property.,"Given the previous statements, is H the same as D?",No,H is not the same as D.,False,"Yes, H and D are the same."
1688,G C 26.,T C 67.,C is a functional property.,"Given the previous statements, is T the same as G?",No,T is not the same as G.,False,"Yes, G and T are the same."
105,B R 43.,I R 43.,R is a functional property.,"Given the previous statements, is I the same as B?",Yes,I is the same as B.,True,"Yes, I and B are the same."
257,C E 48.,N E 48.,E is a functional property.,"Given the previous statements, is N the same as C?",Yes,N is the same as C.,True,"Yes, C E 48 is the same as N."
1394,D E 12.,P E 98.,E is a functional property.,"Given the previous statements, is P the same as D?",No,P is not the same as D.,False,no
1064,A C 54.,W C 32.,C is a functional property.,"Given the previous statements, is W the same as A?",No,W is not the same as A.,False,"Yes, W is the same as A."
1493,E H 32.,F H 88.,H is a functional property.,"Given the previous statements, is F the same as E?",No,F is not the same as E.,False,"Yes, F is the same as E."
862,I U 94.,J U 94.,U is a functional property.,"Given the previous statements, is J the same as I?",Yes,J is the same as I.,True,"Yes, J and I are the same."
234,C Z 94.,Q Z 94.,Z is a functional property.,"Given the previous statements, is Q the same as C?",Yes,Q is the same as C.,True,"Yes, Q and C are the same."
1580,F Y 48.,J Y 13.,Y is a functional property.,"Given the previous statements, is J the same as F?",No,J is not the same as F.,False,"No, F and J are not the same."
385,D S 51.,P S 51.,S is a functional property.,"Given the previous statements, is P the same as D?",Yes,P is the same as D.,True,"Yes, P and D are the same."
1165,B U 78.,L U 38.,U is a functional property.,"Given the previous statements, is L the same as B?",No,L is not the same as B.,False,"No, B and L are not the same."
150,B V 67.,F V 67.,V is a functional property.,"Given the previous statements, is F the same as B?",Yes,F is the same as B.,True,"Yes, B and F are the same."
1838,I X 29.,T X 11.,X is a functional property.,"Given the previous statements, is T the same as I?",No,T is not the same as I.,False,"Yes, T and I are the same."
817,I D 14.,Y D 14.,D is a functional property.,"Given the previous statements, is Y the same as I?",Yes,Y is the same as I.,True,"Yes, Y is the same as I."
885,I Z 68.,D Z 68.,Z is a functional property.,"Given the previous statements, is D the same as I?",Yes,D is the same as I.,True,"Yes, D and I are the same."
639,G E 21.,H E 21.,E is a functional property.,"Given the previous statements, is H the same as G?",Yes,H is the same as G.,True,"Yes, G and H are the same."
1294,C Z 49.,S Z 13.,Z is a functional property.,"Given the previous statements, is S the same as C?",No,S is not the same as C.,False,"Yes, C and S are the same."
1389,D I 66.,M I 54.,I is a functional property.,"Given the previous statements, is M the same as D?",No,M is not the same as D.,False,"Yes, M and D are the same."
1218,C Y 40.,I Y 76.,Y is a functional property.,"Given the previous statements, is I the same as C?",No,I is not the same as C.,False,"Yes, I and C are the same."
1278,C S 22.,J S 42.,S is a functional property.,"Given the previous statements, is J the same as C?",No,J is not the same as C.,False,"Yes, J is the same as C."
1068,A U 71.,J U 93.,U is a functional property.,"Given the previous statements, is J the same as A?",No,J is not the same as A.,False,"Yes, J is the same as A."
409,E B 17.,F B 17.,B is a functional property.,"Given the previous statements, is F the same as E?",Yes,F is the same as E.,True,"Yes, F and E are the same."
109,B S 41.,K S 41.,S is a functional property.,"Given the previous statements, is K the same as B?",Yes,K is the same as B.,True,"Yes, K is the same as B."
1484,E J 46.,P J 86.,J is a functional property.,"Given the previous statements, is P the same as E?",No,P is not the same as E.,False,"Yes, P and E are the same."
1990,J Z 48.,N Z 75.,Z is a functional property.,"Given the previous statements, is N the same as J?",No,N is not the same as J.,False,"Yes, N and J are the same."
1145,B N 29.,I N 22.,N is a functional property.,"Given the previous statements, is I the same as B?",No,I is not the same as B.,False,"Yes, I and B are the same."
24,A W 48.,G W 48.,W is a functional property.,"Given the previous statements, is G the same as A?",Yes,G is the same as A.,True,"Yes, G and A are the same."
14,A K 98.,N K 98.,K is a functional property.,"Given the previous statements, is N the same as A?",Yes,N is the same as A.,True,"Yes, N is the same as A."
1288,C E 37.,G E 58.,E is a functional property.,"Given the previous statements, is G the same as C?",No,G is not the same as C.,False,"Yes, G is the same as C."
1214,C H 88.,I H 93.,H is a functional property.,"Given the previous statements, is I the same as C?",No,I is not the same as C.,False,"Yes, I and C are the same."
1362,D J 38.,G J 90.,J is a functional property.,"Given the previous statements, is G the same as D?",No,G is not the same as D.,False,no
1144,B I 14.,Z I 87.,I is a functional property.,"Given the previous statements, is Z the same as B?",No,Z is not the same as B.,False,"Yes, Z is the same as B."
1048,A K 49.,I K 7.,K is a functional property.,"Given the previous statements, is I the same as A?",No,I is not the same as A.,False,"Yes, I and A are the same."
446,E A 65.,Y A 65.,A is a functional property.,"Given the previous statements, is Y the same as E?",Yes,Y is the same as E.,True,"Yes, Y is the same as E."
103,B P 48.,V P 48.,P is a functional property.,"Given the previous statements, is V the same as B?",Yes,V is the same as B.,True,"No, B and V are not the same."
697,G J 14.,B J 14.,J is a functional property.,"Given the previous statements, is B the same as G?",Yes,B is the same as G.,True,"Yes, B and G are the same."
1250,C D 4.,J D 21.,D is a functional property.,"Given the previous statements, is J the same as C?",No,J is not the same as C.,False,"Yes, C and J are the same."
791,H K 13.,A K 13.,K is a functional property.,"Given the previous statements, is A the same as H?",Yes,A is the same as H.,True,"Yes, H and A are the same."
365,D M 64.,S M 64.,M is a functional property.,"Given the previous statements, is S the same as D?",Yes,S is the same as D.,True,"Yes, S and D are the same."
867,I S 27.,C S 27.,S is a functional property.,"Given the previous statements, is C the same as I?",Yes,C is the same as I.,True,"Yes, C is the same as I."
638,G Y 19.,Z Y 19.,Y is a functional property.,"Given the previous statements, is Z the same as G?",Yes,Z is the same as G.,True,"Yes, Z is the same as G."
1089,A D 52.,C D 73.,D is a functional property.,"Given the previous statements, is C the same as A?",No,C is not the same as A.,False,"Yes, C is the same as A."
744,H E 3.,Y E 3.,E is a functional property.,"Given the previous statements, is Y the same as H?",Yes,Y is the same as H.,True,"Yes, Y is the same as H."
904,J R 28.,D R 28.,R is a functional property.,"Given the previous statements, is D the same as J?",Yes,D is the same as J.,True,"Yes, D is the same as J."
400,D O 43.,A O 43.,O is a functional property.,"Given the previous statements, is A the same as D?",Yes,A is the same as D.,True,"Yes, A and D are the same."
92,A I 42.,M I 42.,I is a functional property.,"Given the previous statements, is M the same as A?",Yes,M is the same as A.,True,"Yes, M is the same as A."
893,I E 92.,Q E 92.,E is a functional property.,"Given the previous statements, is Q the same as I?",Yes,Q is the same as I.,True,"Yes, Q and I are the same."
1712,H M 45.,B M 9.,M is a functional property.,"Given the previous statements, is B the same as H?",No,B is not the same as H.,False,no
250,C J 79.,K J 79.,J is a functional property.,"Given the previous statements, is K the same as C?",Yes,K is the same as C.,True,"Yes, K is the same as C."
1477,E X 95.,A X 57.,X is a functional property.,"Given the previous statements, is A the same as E?",No,A is not the same as E.,False,"Yes, A and E are the same."
934,J E 69.,X E 69.,E is a functional property.,"Given the previous statements, is X the same as J?",Yes,X is the same as J.,True,"Yes, X and J are the same."
1778,H S 88.,E S 69.,S is a functional property.,"Given the previous statements, is E the same as H?",No,E is not the same as H.,False,no
1759,H T 94.,C T 29.,T is a functional property.,"Given the previous statements, is C the same as H?",No,C is not the same as H.,False,no
787,H T 46.,K T 46.,T is a functional property.,"Given the previous statements, is K the same as H?",Yes,K is the same as H.,True,"Yes, K is the same as H."
1110,B T 6.,E T 13.,T is a functional property.,"Given the previous statements, is E the same as B?",No,E is not the same as B.,False,"Yes, B and E are the same."
31,A N 5.,R N 5.,N is a functional property.,"Given the previous statements, is R the same as A?",Yes,R is the same as A.,True,"Yes, R and A are the same."
128,B Q 71.,Y Q 71.,Q is a functional property.,"Given the previous statements, is Y the same as B?",Yes,Y is the same as B.,True,"Yes, Y is the same as B."
1327,D Q 26.,B Q 36.,Q is a functional property.,"Given the previous statements, is B the same as D?",No,B is not the same as D.,False,no
