ID,triple1,triple2,triple3,question,answer,inferred triple,label,LLM output
1877,I O 98.,E O 11.,O is a functional property.,"Given the previous statements, is E the same as I?",No,E is not the same as I.,False,No
463,E M 26.,J M 26.,M is a functional property.,"Given the previous statements, is J the same as E?",Yes,J is the same as E.,True,No
675,G U 5.,C U 5.,U is a functional property.,"Given the previous statements, is C the same as G?",Yes,C is the same as G.,True,Yes
126,B K 16.,U K 16.,K is a functional property.,"Given the previous statements, is U the same as B?",Yes,U is the same as B.,True,No
539,F G 82.,H G 82.,G is a functional property.,"Given the previous statements, is H the same as F?",Yes,H is the same as F.,True,No
1343,D E 75.,F E 10.,E is a functional property.,"Given the previous statements, is F the same as D?",No,F is not the same as D.,False,No
777,H I 75.,R I 75.,I is a functional property.,"Given the previous statements, is R the same as H?",Yes,R is the same as H.,True,Yes
1252,C B 43.,A B 99.,B is a functional property.,"Given the previous statements, is A the same as C?",No,A is not the same as C.,False,No
742,H Y 80.,V Y 80.,Y is a functional property.,"Given the previous statements, is V the same as H?",Yes,V is the same as H.,True,No
1956,J A 54.,L A 66.,A is a functional property.,"Given the previous statements, is L the same as J?",No,L is not the same as J.,False,Yes
232,C U 15.,O U 15.,U is a functional property.,"Given the previous statements, is O the same as C?",Yes,O is the same as C.,True,Yes
57,A S 4.,K S 4.,S is a functional property.,"Given the previous statements, is K the same as A?",Yes,K is the same as A.,True,Yes
505,F N 21.,C N 21.,N is a functional property.,"Given the previous statements, is C the same as F?",Yes,C is the same as F.,True,Yes
1047,A X 69.,H X 31.,X is a functional property.,"Given the previous statements, is H the same as A?",No,H is not the same as A.,False,No
595,F V 17.,C V 17.,V is a functional property.,"Given the previous statements, is C the same as F?",Yes,C is the same as F.,True,Yes
202,C J 15.,Z J 15.,J is a functional property.,"Given the previous statements, is Z the same as C?",Yes,Z is the same as C.,True,Yes
696,G Z 20.,R Z 20.,Z is a functional property.,"Given the previous statements, is R the same as G?",Yes,R is the same as G.,True,No
834,I R 55.,U R 55.,R is a functional property.,"Given the previous statements, is U the same as I?",Yes,U is the same as I.,True,No
451,E K 16.,P K 16.,K is a functional property.,"Given the previous statements, is P the same as E?",Yes,P is the same as E.,True,Yes
1455,E B 82.,H B 2.,B is a functional property.,"Given the previous statements, is H the same as E?",No,H is not the same as E.,False,No
577,F M 64.,I M 64.,M is a functional property.,"Given the previous statements, is I the same as F?",Yes,I is the same as F.,True,No
552,F J 66.,Y J 66.,J is a functional property.,"Given the previous statements, is Y the same as F?",Yes,Y is the same as F.,True,Yes
832,I G 52.,H G 52.,G is a functional property.,"Given the previous statements, is H the same as I?",Yes,H is the same as I.,True,No
1094,A N 72.,M N 2.,N is a functional property.,"Given the previous statements, is M the same as A?",No,M is not the same as A.,False,No
828,I L 50.,D L 50.,L is a functional property.,"Given the previous statements, is D the same as I?",Yes,D is the same as I.,True,No
1144,B I 14.,Z I 87.,I is a functional property.,"Given the previous statements, is Z the same as B?",No,Z is not the same as B.,False,Yes
793,H A 85.,U A 85.,A is a functional property.,"Given the previous statements, is U the same as H?",Yes,U is the same as H.,True,No
630,G U 13.,X U 13.,U is a functional property.,"Given the previous statements, is X the same as G?",Yes,X is the same as G.,True,Yes
1747,H E 8.,A E 3.,E is a functional property.,"Given the previous statements, is A the same as H?",No,A is not the same as H.,False,Yes
637,G H 49.,B H 49.,H is a functional property.,"Given the previous statements, is B the same as G?",Yes,B is the same as G.,True,No
1693,G V 33.,X V 36.,V is a functional property.,"Given the previous statements, is X the same as G?",No,X is not the same as G.,False,No
102,B Y 72.,E Y 72.,Y is a functional property.,"Given the previous statements, is E the same as B?",Yes,E is the same as B.,True,No
550,F K 78.,J K 78.,K is a functional property.,"Given the previous statements, is J the same as F?",Yes,J is the same as F.,True,Yes
418,E Q 67.,Y Q 67.,Q is a functional property.,"Given the previous statements, is Y the same as E?",Yes,Y is the same as E.,True,Yes
1396,D B 56.,T B 14.,B is a functional property.,"Given the previous statements, is T the same as D?",No,T is not the same as D.,False,No
300,C S 71.,T S 71.,S is a functional property.,"Given the previous statements, is T the same as C?",Yes,T is the same as C.,True,Yes
1626,G M 94.,E M 12.,M is a functional property.,"Given the previous statements, is E the same as G?",No,E is not the same as G.,False,Yes
569,F Z 93.,R Z 93.,Z is a functional property.,"Given the previous statements, is R the same as F?",Yes,R is the same as F.,True,Yes
542,F D 7.,J D 7.,D is a functional property.,"Given the previous statements, is J the same as F?",Yes,J is the same as F.,True,No
750,H M 84.,S M 84.,M is a functional property.,"Given the previous statements, is S the same as H?",Yes,S is the same as H.,True,No
1175,B Y 6.,M Y 74.,Y is a functional property.,"Given the previous statements, is M the same as B?",No,M is not the same as B.,False,Yes
1857,I V 20.,U V 100.,V is a functional property.,"Given the previous statements, is U the same as I?",No,U is not the same as I.,False,No
1689,G S 88.,K S 58.,S is a functional property.,"Given the previous statements, is K the same as G?",No,K is not the same as G.,False,No
1052,A Z 31.,O Z 84.,Z is a functional property.,"Given the previous statements, is O the same as A?",No,O is not the same as A.,False,Yes
2,A J 69.,W J 69.,J is a functional property.,"Given the previous statements, is W the same as A?",Yes,W is the same as A.,True,No
1501,F N 20.,E N 77.,N is a functional property.,"Given the previous statements, is E the same as F?",No,E is not the same as F.,False,Yes
1927,J U 74.,M U 43.,U is a functional property.,"Given the previous statements, is M the same as J?",No,M is not the same as J.,False,No
216,C S 11.,D S 11.,S is a functional property.,"Given the previous statements, is D the same as C?",Yes,D is the same as C.,True,No
1638,G Y 84.,P Y 23.,Y is a functional property.,"Given the previous statements, is P the same as G?",No,P is not the same as G.,False,No
575,F W 33.,G W 33.,W is a functional property.,"Given the previous statements, is G the same as F?",Yes,G is the same as F.,True,Yes
1085,A E 32.,T E 42.,E is a functional property.,"Given the previous statements, is T the same as A?",No,T is not the same as A.,False,Yes
1752,H I 8.,T I 64.,I is a functional property.,"Given the previous statements, is T the same as H?",No,T is not the same as H.,False,No
138,B H 62.,M H 62.,H is a functional property.,"Given the previous statements, is M the same as B?",Yes,M is the same as B.,True,Yes
1807,I Y 36.,L Y 29.,Y is a functional property.,"Given the previous statements, is L the same as I?",No,L is not the same as I.,False,No
356,D F 19.,S F 19.,F is a functional property.,"Given the previous statements, is S the same as D?",Yes,S is the same as D.,True,Yes
1663,G E 93.,M E 24.,E is a functional property.,"Given the previous statements, is M the same as G?",No,M is not the same as G.,False,No
521,F N 92.,B N 92.,N is a functional property.,"Given the previous statements, is B the same as F?",Yes,B is the same as F.,True,No
561,F D 63.,L D 63.,D is a functional property.,"Given the previous statements, is L the same as F?",Yes,L is the same as F.,True,No
1182,B G 7.,W G 41.,G is a functional property.,"Given the previous statements, is W the same as B?",No,W is not the same as B.,False,Yes
80,A E 68.,U E 68.,E is a functional property.,"Given the previous statements, is U the same as A?",Yes,U is the same as A.,True,No
950,J C 3.,K C 3.,C is a functional property.,"Given the previous statements, is K the same as J?",Yes,K is the same as J.,True,No
1026,A V 71.,N V 5.,V is a functional property.,"Given the previous statements, is N the same as A?",No,N is not the same as A.,False,No
262,C P 19.,K P 19.,P is a functional property.,"Given the previous statements, is K the same as C?",Yes,K is the same as C.,True,Yes
239,C E 37.,R E 37.,E is a functional property.,"Given the previous statements, is R the same as C?",Yes,R is the same as C.,True,Yes
1053,A C 32.,Y C 11.,C is a functional property.,"Given the previous statements, is Y the same as A?",No,Y is not the same as A.,False,No
71,A I 7.,N I 7.,I is a functional property.,"Given the previous statements, is N the same as A?",Yes,N is the same as A.,True,Yes
1232,C D 63.,U D 27.,D is a functional property.,"Given the previous statements, is U the same as C?",No,U is not the same as C.,False,No
1079,A Y 44.,X Y 44.,Y is a functional property.,"Given the previous statements, is X the same as A?",No,X is not the same as A.,False,No
1760,H N 11.,C N 76.,N is a functional property.,"Given the previous statements, is C the same as H?",No,C is not the same as H.,False,Yes
722,H O 65.,L O 65.,O is a functional property.,"Given the previous statements, is L the same as H?",Yes,L is the same as H.,True,No
1459,E W 95.,J W 78.,W is a functional property.,"Given the previous statements, is J the same as E?",No,J is not the same as E.,False,No
32,A Y 9.,X Y 9.,Y is a functional property.,"Given the previous statements, is X the same as A?",Yes,X is the same as A.,True,Yes
562,F M 62.,G M 62.,M is a functional property.,"Given the previous statements, is G the same as F?",Yes,G is the same as F.,True,Yes
989,J G 41.,K G 41.,G is a functional property.,"Given the previous statements, is K the same as J?",Yes,K is the same as J.,True,No
639,G E 21.,H E 21.,E is a functional property.,"Given the previous statements, is H the same as G?",Yes,H is the same as G.,True,No
903,J Q 69.,X Q 69.,Q is a functional property.,"Given the previous statements, is X the same as J?",Yes,X is the same as J.,True,No
907,J U 36.,Z U 36.,U is a functional property.,"Given the previous statements, is Z the same as J?",Yes,Z is the same as J.,True,Yes
147,B D 93.,P D 93.,D is a functional property.,"Given the previous statements, is P the same as B?",Yes,P is the same as B.,True,Yes
785,H P 4.,B P 4.,P is a functional property.,"Given the previous statements, is B the same as H?",Yes,B is the same as H.,True,No
1304,D Y 7.,L Y 13.,Y is a functional property.,"Given the previous statements, is L the same as D?",No,L is not the same as D.,False,Yes
1064,A C 54.,W C 32.,C is a functional property.,"Given the previous statements, is W the same as A?",No,W is not the same as A.,False,No
322,D I 78.,R I 78.,I is a functional property.,"Given the previous statements, is R the same as D?",Yes,R is the same as D.,True,Yes
430,E X 24.,M X 24.,X is a functional property.,"Given the previous statements, is M the same as E?",Yes,M is the same as E.,True,Yes
114,B C 21.,W C 21.,C is a functional property.,"Given the previous statements, is W the same as B?",Yes,W is the same as B.,True,No
686,G K 68.,W K 68.,K is a functional property.,"Given the previous statements, is W the same as G?",Yes,W is the same as G.,True,No
1319,D H 78.,W H 91.,H is a functional property.,"Given the previous statements, is W the same as D?",No,W is not the same as D.,False,No
1417,E D 97.,C D 7.,D is a functional property.,"Given the previous statements, is C the same as E?",No,C is not the same as E.,False,No
1028,A R 68.,Q R 75.,R is a functional property.,"Given the previous statements, is Q the same as A?",No,Q is not the same as A.,False,Yes
863,I W 83.,A W 83.,W is a functional property.,"Given the previous statements, is A the same as I?",Yes,A is the same as I.,True,Yes
1277,C J 74.,I J 42.,J is a functional property.,"Given the previous statements, is I the same as C?",No,I is not the same as C.,False,No
1270,C Q 17.,A Q 64.,Q is a functional property.,"Given the previous statements, is A the same as C?",No,A is not the same as C.,False,No
1750,H Y 52.,F Y 53.,Y is a functional property.,"Given the previous statements, is F the same as H?",No,F is not the same as H.,False,No
1736,H U 28.,D U 26.,U is a functional property.,"Given the previous statements, is D the same as H?",No,D is not the same as H.,False,No
2000,J B 86.,D B 12.,B is a functional property.,"Given the previous statements, is D the same as J?",No,D is not the same as J.,False,No
1367,D L 70.,W L 86.,L is a functional property.,"Given the previous statements, is W the same as D?",No,W is not the same as D.,False,No
847,I V 22.,Y V 22.,V is a functional property.,"Given the previous statements, is Y the same as I?",Yes,Y is the same as I.,True,No
317,D N 37.,C N 37.,N is a functional property.,"Given the previous statements, is C the same as D?",Yes,C is the same as D.,True,Yes
179,B X 80.,M X 80.,X is a functional property.,"Given the previous statements, is M the same as B?",Yes,M is the same as B.,True,Yes
153,B A 53.,M A 53.,A is a functional property.,"Given the previous statements, is M the same as B?",Yes,M is the same as B.,True,Yes
547,F Q 10.,R Q 10.,Q is a functional property.,"Given the previous statements, is R the same as F?",Yes,R is the same as F.,True,Yes
1477,E X 95.,A X 57.,X is a functional property.,"Given the previous statements, is A the same as E?",No,A is not the same as E.,False,Yes
235,C N 12.,E N 12.,N is a functional property.,"Given the previous statements, is E the same as C?",Yes,E is the same as C.,True,No
1806,I D 33.,H D 73.,D is a functional property.,"Given the previous statements, is H the same as I?",No,H is not the same as I.,False,No
1523,F U 74.,M U 94.,U is a functional property.,"Given the previous statements, is M the same as F?",No,M is not the same as F.,False,Yes
616,G V 77.,X V 77.,V is a functional property.,"Given the previous statements, is X the same as G?",Yes,X is the same as G.,True,No
296,C U 40.,D U 40.,U is a functional property.,"Given the previous statements, is D the same as C?",Yes,D is the same as C.,True,Yes
1190,B I 67.,Q I 88.,I is a functional property.,"Given the previous statements, is Q the same as B?",No,Q is not the same as B.,False,No
1866,I J 74.,Y J 83.,J is a functional property.,"Given the previous statements, is Y the same as I?",No,Y is not the same as I.,False,Yes
395,D V 63.,N V 63.,V is a functional property.,"Given the previous statements, is N the same as D?",Yes,N is the same as D.,True,No
685,G C 22.,W C 22.,C is a functional property.,"Given the previous statements, is W the same as G?",Yes,W is the same as G.,True,No
1360,D O 29.,Z O 13.,O is a functional property.,"Given the previous statements, is Z the same as D?",No,Z is not the same as D.,False,No
311,D B 60.,W B 60.,B is a functional property.,"Given the previous statements, is W the same as D?",Yes,W is the same as D.,True,No
1469,E F 74.,N F 98.,F is a functional property.,"Given the previous statements, is N the same as E?",No,N is not the same as E.,False,Yes
99,A I 74.,Z I 74.,I is a functional property.,"Given the previous statements, is Z the same as A?",Yes,Z is the same as A.,True,No
878,I P 11.,M P 11.,P is a functional property.,"Given the previous statements, is M the same as I?",Yes,M is the same as I.,True,Yes
911,J N 84.,D N 84.,N is a functional property.,"Given the previous statements, is D the same as J?",Yes,D is the same as J.,True,Yes
347,D G 67.,F G 67.,G is a functional property.,"Given the previous statements, is F the same as D?",Yes,F is the same as D.,True,Yes
1686,G U 48.,T U 81.,U is a functional property.,"Given the previous statements, is T the same as G?",No,T is not the same as G.,False,No
1291,C A 7.,L A 31.,A is a functional property.,"Given the previous statements, is L the same as C?",No,L is not the same as C.,False,No
1882,I F 37.,K F 23.,F is a functional property.,"Given the previous statements, is K the same as I?",No,K is not the same as I.,False,No
761,H K 30.,Z K 30.,K is a functional property.,"Given the previous statements, is Z the same as H?",Yes,Z is the same as H.,True,No
811,I Y 56.,X Y 56.,Y is a functional property.,"Given the previous statements, is X the same as I?",Yes,X is the same as I.,True,No
1726,H V 23.,M V 72.,V is a functional property.,"Given the previous statements, is M the same as H?",No,M is not the same as H.,False,No
423,E Z 78.,Q Z 78.,Z is a functional property.,"Given the previous statements, is Q the same as E?",Yes,Q is the same as E.,True,Yes
1418,E Q 93.,Y Q 13.,Q is a functional property.,"Given the previous statements, is Y the same as E?",No,Y is not the same as E.,False,Yes
414,E W 80.,S W 80.,W is a functional property.,"Given the previous statements, is S the same as E?",Yes,S is the same as E.,True,Yes
699,G R 62.,B R 62.,R is a functional property.,"Given the previous statements, is B the same as G?",Yes,B is the same as G.,True,Yes
1325,D K 55.,C K 27.,K is a functional property.,"Given the previous statements, is C the same as D?",No,C is not the same as D.,False,No
1518,F B 5.,V B 15.,B is a functional property.,"Given the previous statements, is V the same as F?",No,V is not the same as F.,False,No
672,G W 58.,L W 58.,W is a functional property.,"Given the previous statements, is L the same as G?",Yes,L is the same as G.,True,Yes
1558,F O 34.,R O 89.,O is a functional property.,"Given the previous statements, is R the same as F?",No,R is not the same as F.,False,No
719,H C 38.,D C 38.,C is a functional property.,"Given the previous statements, is D the same as H?",Yes,D is the same as H.,True,No
261,C I 73.,J I 73.,I is a functional property.,"Given the previous statements, is J the same as C?",Yes,J is the same as C.,True,No
314,D G 92.,I G 92.,G is a functional property.,"Given the previous statements, is I the same as D?",Yes,I is the same as D.,True,Yes
1722,H D 3.,X D 10.,D is a functional property.,"Given the previous statements, is X the same as H?",No,X is not the same as H.,False,No
601,G Z 33.,D Z 33.,Z is a functional property.,"Given the previous statements, is D the same as G?",Yes,D is the same as G.,True,No
816,I Z 40.,E Z 40.,Z is a functional property.,"Given the previous statements, is E the same as I?",Yes,E is the same as I.,True,Yes
75,A H 98.,Z H 98.,H is a functional property.,"Given the previous statements, is Z the same as A?",Yes,Z is the same as A.,True,Yes
1838,I X 29.,T X 11.,X is a functional property.,"Given the previous statements, is T the same as I?",No,T is not the same as I.,False,Yes
122,B V 15.,I V 15.,V is a functional property.,"Given the previous statements, is I the same as B?",Yes,I is the same as B.,True,Yes
915,J P 55.,D P 55.,P is a functional property.,"Given the previous statements, is D the same as J?",Yes,D is the same as J.,True,Yes
1462,E K 8.,R K 65.,K is a functional property.,"Given the previous statements, is R the same as E?",No,R is not the same as E.,False,Yes
514,F A 67.,P A 67.,A is a functional property.,"Given the previous statements, is P the same as F?",Yes,P is the same as F.,True,No
1330,D B 76.,S B 4.,B is a functional property.,"Given the previous statements, is S the same as D?",No,S is not the same as D.,False,No
599,F C 72.,P C 72.,C is a functional property.,"Given the previous statements, is P the same as F?",Yes,P is the same as F.,True,Yes
1070,A T 28.,V T 42.,T is a functional property.,"Given the previous statements, is V the same as A?",No,V is not the same as A.,False,No
1198,B L 84.,I L 75.,L is a functional property.,"Given the previous statements, is I the same as B?",No,I is not the same as B.,False,No
1763,H K 53.,C K 12.,K is a functional property.,"Given the previous statements, is C the same as H?",No,C is not the same as H.,False,No
125,B F 4.,G F 4.,F is a functional property.,"Given the previous statements, is G the same as B?",Yes,G is the same as B.,True,Yes
1559,F T 47.,R T 16.,T is a functional property.,"Given the previous statements, is R the same as F?",No,R is not the same as F.,False,No
1947,J O 74.,D O 66.,O is a functional property.,"Given the previous statements, is D the same as J?",No,D is not the same as J.,False,Yes
886,I B 80.,R B 80.,B is a functional property.,"Given the previous statements, is R the same as I?",Yes,R is the same as I.,True,No
413,E A 51.,J A 51.,A is a functional property.,"Given the previous statements, is J the same as E?",Yes,J is the same as E.,True,No
1457,E Q 23.,N Q 15.,Q is a functional property.,"Given the previous statements, is N the same as E?",No,N is not the same as E.,False,No
1552,F Y 80.,V Y 86.,Y is a functional property.,"Given the previous statements, is V the same as F?",No,V is not the same as F.,False,No
1006,A S 93.,F S 71.,S is a functional property.,"Given the previous statements, is F the same as A?",No,F is not the same as A.,False,No
1972,J Z 26.,T Z 24.,Z is a functional property.,"Given the previous statements, is T the same as J?",No,T is not the same as J.,False,Yes
1619,G X 60.,M X 65.,X is a functional property.,"Given the previous statements, is M the same as G?",No,M is not the same as G.,False,No
1438,E M 13.,W M 84.,M is a functional property.,"Given the previous statements, is W the same as E?",No,W is not the same as E.,False,Yes
1852,I E 57.,M E 37.,E is a functional property.,"Given the previous statements, is M the same as I?",No,M is not the same as I.,False,No
1640,G W 96.,B W 11.,W is a functional property.,"Given the previous statements, is B the same as G?",No,B is not the same as G.,False,No
724,H I 23.,B I 23.,I is a functional property.,"Given the previous statements, is B the same as H?",Yes,B is the same as H.,True,No
1097,A P 36.,Y P 38.,P is a functional property.,"Given the previous statements, is Y the same as A?",No,Y is not the same as A.,False,No
1762,H K 22.,F K 89.,K is a functional property.,"Given the previous statements, is F the same as H?",No,F is not the same as H.,False,No
361,D U 50.,M U 50.,U is a functional property.,"Given the previous statements, is M the same as D?",Yes,M is the same as D.,True,No
1039,A N 34.,R N 21.,N is a functional property.,"Given the previous statements, is R the same as A?",No,R is not the same as A.,False,No
694,G H 42.,V H 42.,H is a functional property.,"Given the previous statements, is V the same as G?",Yes,V is the same as G.,True,No
176,B C 75.,F C 75.,C is a functional property.,"Given the previous statements, is F the same as B?",Yes,F is the same as B.,True,Yes
884,I F 40.,P F 40.,F is a functional property.,"Given the previous statements, is P the same as I?",Yes,P is the same as I.,True,Yes
1083,A B 78.,Y B 80.,B is a functional property.,"Given the previous statements, is Y the same as A?",No,Y is not the same as A.,False,Yes
797,H K 62.,O K 62.,K is a functional property.,"Given the previous statements, is O the same as H?",Yes,O is the same as H.,True,Yes
320,D H 56.,L H 56.,H is a functional property.,"Given the previous statements, is L the same as D?",Yes,L is the same as D.,True,No
1494,E R 41.,D R 90.,R is a functional property.,"Given the previous statements, is D the same as E?",No,D is not the same as E.,False,Yes
175,B Q 98.,W Q 98.,Q is a functional property.,"Given the previous statements, is W the same as B?",Yes,W is the same as B.,True,No
776,H J 44.,S J 44.,J is a functional property.,"Given the previous statements, is S the same as H?",Yes,S is the same as H.,True,No
1606,G Z 53.,J Z 89.,Z is a functional property.,"Given the previous statements, is J the same as G?",No,J is not the same as G.,False,No
1586,F Y 64.,O Y 85.,Y is a functional property.,"Given the previous statements, is O the same as F?",No,O is not the same as F.,False,No
1425,E K 43.,Q K 75.,K is a functional property.,"Given the previous statements, is Q the same as E?",No,Q is not the same as E.,False,No
1575,F K 85.,E K 74.,K is a functional property.,"Given the previous statements, is E the same as F?",No,E is not the same as F.,False,Yes
983,J V 22.,K V 22.,V is a functional property.,"Given the previous statements, is K the same as J?",Yes,K is the same as J.,True,No
1621,G L 80.,Q L 74.,L is a functional property.,"Given the previous statements, is Q the same as G?",No,Q is not the same as G.,False,No
1037,A I 77.,K I 65.,I is a functional property.,"Given the previous statements, is K the same as A?",No,K is not the same as A.,False,No
582,F V 65.,R V 65.,V is a functional property.,"Given the previous statements, is R the same as F?",Yes,R is the same as F.,True,Yes
1119,B Z 83.,P Z 41.,Z is a functional property.,"Given the previous statements, is P the same as B?",No,P is not the same as B.,False,No
1125,B W 75.,E W 83.,W is a functional property.,"Given the previous statements, is E the same as B?",No,E is not the same as B.,False,Yes
783,H N 39.,U N 39.,N is a functional property.,"Given the previous statements, is U the same as H?",Yes,U is the same as H.,True,No
1049,A Y 91.,G Y 47.,Y is a functional property.,"Given the previous statements, is G the same as A?",No,G is not the same as A.,False,Yes
225,C Y 90.,I Y 90.,Y is a functional property.,"Given the previous statements, is I the same as C?",Yes,I is the same as C.,True,Yes
984,J L 72.,K L 72.,L is a functional property.,"Given the previous statements, is K the same as J?",Yes,K is the same as J.,True,No
1101,B N 67.,J N 19.,N is a functional property.,"Given the previous statements, is J the same as B?",No,J is not the same as B.,False,No
14,A K 98.,N K 98.,K is a functional property.,"Given the previous statements, is N the same as A?",Yes,N is the same as A.,True,No
843,I D 64.,Y D 64.,D is a functional property.,"Given the previous statements, is Y the same as I?",Yes,Y is the same as I.,True,Yes
1952,J T 41.,F T 77.,T is a functional property.,"Given the previous statements, is F the same as J?",No,F is not the same as J.,False,No
612,G L 22.,J L 22.,L is a functional property.,"Given the previous statements, is J the same as G?",Yes,J is the same as G.,True,No
1742,H Z 74.,C Z 73.,Z is a functional property.,"Given the previous statements, is C the same as H?",No,C is not the same as H.,False,No
181,B R 3.,H R 3.,R is a functional property.,"Given the previous statements, is H the same as B?",Yes,H is the same as B.,True,Yes
1565,F Z 32.,P Z 29.,Z is a functional property.,"Given the previous statements, is P the same as F?",No,P is not the same as F.,False,Yes
1841,I R 98.,E R 22.,R is a functional property.,"Given the previous statements, is E the same as I?",No,E is not the same as I.,False,No
1641,G Y 98.,U Y 17.,Y is a functional property.,"Given the previous statements, is U the same as G?",No,U is not the same as G.,False,No
391,D P 5.,B P 5.,P is a functional property.,"Given the previous statements, is B the same as D?",Yes,B is the same as D.,True,Yes
1657,G U 82.,A U 59.,U is a functional property.,"Given the previous statements, is A the same as G?",No,A is not the same as G.,False,No
1490,E C 13.,R C 73.,C is a functional property.,"Given the previous statements, is R the same as E?",No,R is not the same as E.,False,Yes
1897,I K 45.,Z K 88.,K is a functional property.,"Given the previous statements, is Z the same as I?",No,Z is not the same as I.,False,No
895,I A 72.,W A 72.,A is a functional property.,"Given the previous statements, is W the same as I?",Yes,W is the same as I.,True,No
1274,C N 62.,T N 83.,N is a functional property.,"Given the previous statements, is T the same as C?",No,T is not the same as C.,False,No
1312,D N 55.,V N 66.,N is a functional property.,"Given the previous statements, is V the same as D?",No,V is not the same as D.,False,Yes
471,E Z 53.,Q Z 53.,Z is a functional property.,"Given the previous statements, is Q the same as E?",Yes,Q is the same as E.,True,No
512,F I 69.,P I 69.,I is a functional property.,"Given the previous statements, is P the same as F?",Yes,P is the same as F.,True,Yes
1609,G Y 53.,Q Y 79.,Y is a functional property.,"Given the previous statements, is Q the same as G?",No,Q is not the same as G.,False,Yes
438,E Y 50.,D Y 50.,Y is a functional property.,"Given the previous statements, is D the same as E?",Yes,D is the same as E.,True,Yes
1542,F S 97.,X S 20.,S is a functional property.,"Given the previous statements, is X the same as F?",No,X is not the same as F.,False,No
1698,G H 88.,V H 74.,H is a functional property.,"Given the previous statements, is V the same as G?",No,V is not the same as G.,False,No
743,H R 33.,U R 33.,R is a functional property.,"Given the previous statements, is U the same as H?",Yes,U is the same as H.,True,No
1035,A Z 5.,K Z 91.,Z is a functional property.,"Given the previous statements, is K the same as A?",No,K is not the same as A.,False,Yes
1587,F C 84.,V C 23.,C is a functional property.,"Given the previous statements, is V the same as F?",No,V is not the same as F.,False,No
623,G Z 9.,P Z 9.,Z is a functional property.,"Given the previous statements, is P the same as G?",Yes,P is the same as G.,True,Yes
119,B M 81.,X M 81.,M is a functional property.,"Given the previous statements, is X the same as B?",Yes,X is the same as B.,True,No
