ID,triple1,triple2,question,answer,inferred triple,label
72,A is a Q.,Q is a subclass of B.,"Given the previous statements, is A a B?",Yes,A is a B.,True
73,A is a O.,O is a subclass of B.,"Given the previous statements, is A a B?",Yes,A is a B.,True
74,A is a Z.,Z is a subclass of K.,"Given the previous statements, is A a K?",Yes,A is a K.,True
75,A is a D.,D is a subclass of H.,"Given the previous statements, is A a H?",Yes,A is a H.,True
76,A is a F.,F is a subclass of Z.,"Given the previous statements, is A a Z?",Yes,A is a Z.,True
77,A is a J.,J is a subclass of T.,"Given the previous statements, is A a T?",Yes,A is a T.,True
78,A is a F.,F is a subclass of B.,"Given the previous statements, is A a B?",Yes,A is a B.,True
79,A is a E.,E is a subclass of R.,"Given the previous statements, is A a R?",Yes,A is a R.,True
80,A is a G.,G is a subclass of S.,"Given the previous statements, is A a S?",Yes,A is a S.,True
81,A is a H.,H is a subclass of N.,"Given the previous statements, is A a N?",Yes,A is a N.,True
82,A is a C.,C is a subclass of Z.,"Given the previous statements, is A a Z?",Yes,A is a Z.,True
83,A is a D.,D is a subclass of J.,"Given the previous statements, is A a J?",Yes,A is a J.,True
84,A is a I.,I is a subclass of R.,"Given the previous statements, is A a R?",Yes,A is a R.,True
85,A is a T.,T is a subclass of P.,"Given the previous statements, is A a P?",Yes,A is a P.,True
86,A is a F.,F is a subclass of H.,"Given the previous statements, is A a H?",Yes,A is a H.,True
87,A is a S.,S is a subclass of N.,"Given the previous statements, is A a N?",Yes,A is a N.,True
88,A is a V.,V is a subclass of B.,"Given the previous statements, is A a B?",Yes,A is a B.,True
89,A is a R.,R is a subclass of G.,"Given the previous statements, is A a G?",Yes,A is a G.,True
90,A is a G.,G is a subclass of T.,"Given the previous statements, is A a T?",Yes,A is a T.,True
91,A is a V.,V is a subclass of P.,"Given the previous statements, is A a P?",Yes,A is a P.,True
92,A is a E.,E is a subclass of F.,"Given the previous statements, is A a F?",Yes,A is a F.,True
93,A is a E.,E is a subclass of B.,"Given the previous statements, is A a B?",Yes,A is a B.,True
94,A is a H.,H is a subclass of Q.,"Given the previous statements, is A a Q?",Yes,A is a Q.,True
95,A is a H.,H is a subclass of G.,"Given the previous statements, is A a G?",Yes,A is a G.,True
96,A is a B.,B is a subclass of Z.,"Given the previous statements, is A a Z?",Yes,A is a Z.,True
97,A is a L.,L is a subclass of P.,"Given the previous statements, is A a P?",Yes,A is a P.,True
98,A is a C.,C is a subclass of X.,"Given the previous statements, is A a X?",Yes,A is a X.,True
99,A is a L.,L is a subclass of V.,"Given the previous statements, is A a V?",Yes,A is a V.,True
100,A is a J.,J is a subclass of N.,"Given the previous statements, is A a N?",Yes,A is a N.,True
101,B is a R.,R is a subclass of W.,"Given the previous statements, is B a W?",Yes,B is a W.,True
102,B is a W.,W is a subclass of X.,"Given the previous statements, is B a X?",Yes,B is a X.,True
103,B is a L.,L is a subclass of K.,"Given the previous statements, is B a K?",Yes,B is a K.,True
104,B is a M.,M is a subclass of I.,"Given the previous statements, is B a I?",Yes,B is a I.,True
105,B is a T.,T is a subclass of D.,"Given the previous statements, is B a D?",Yes,B is a D.,True
106,B is a A.,A is a subclass of Y.,"Given the previous statements, is B a Y?",Yes,B is a Y.,True
107,B is a J.,J is a subclass of O.,"Given the previous statements, is B a O?",Yes,B is a O.,True
108,B is a L.,L is a subclass of F.,"Given the previous statements, is B a F?",Yes,B is a F.,True
109,B is a K.,K is a subclass of D.,"Given the previous statements, is B a D?",Yes,B is a D.,True
110,B is a V.,V is a subclass of D.,"Given the previous statements, is B a D?",Yes,B is a D.,True
111,B is a I.,I is a subclass of F.,"Given the previous statements, is B a F?",Yes,B is a F.,True
112,B is a E.,E is a subclass of W.,"Given the previous statements, is B a W?",Yes,B is a W.,True
113,B is a M.,M is a subclass of Q.,"Given the previous statements, is B a Q?",Yes,B is a Q.,True
114,B is a N.,N is a subclass of D.,"Given the previous statements, is B a D?",Yes,B is a D.,True
115,B is a E.,E is a subclass of M.,"Given the previous statements, is B a M?",Yes,B is a M.,True
116,B is a N.,N is a subclass of S.,"Given the previous statements, is B a S?",Yes,B is a S.,True
117,B is a Y.,Y is a subclass of W.,"Given the previous statements, is B a W?",Yes,B is a W.,True
118,B is a T.,T is a subclass of A.,"Given the previous statements, is B a A?",Yes,B is a A.,True
119,B is a S.,S is a subclass of F.,"Given the previous statements, is B a F?",Yes,B is a F.,True
120,B is a U.,U is a subclass of H.,"Given the previous statements, is B a H?",Yes,B is a H.,True
121,B is a O.,O is a subclass of I.,"Given the previous statements, is B a I?",Yes,B is a I.,True
122,B is a J.,J is a subclass of I.,"Given the previous statements, is B a I?",Yes,B is a I.,True
123,B is a R.,R is a subclass of M.,"Given the previous statements, is B a M?",Yes,B is a M.,True
124,B is a M.,M is a subclass of Z.,"Given the previous statements, is B a Z?",Yes,B is a Z.,True
125,B is a H.,H is a subclass of F.,"Given the previous statements, is B a F?",Yes,B is a F.,True
126,B is a K.,K is a subclass of J.,"Given the previous statements, is B a J?",Yes,B is a J.,True
127,B is a P.,P is a subclass of A.,"Given the previous statements, is B a A?",Yes,B is a A.,True
128,B is a S.,S is a subclass of E.,"Given the previous statements, is B a E?",Yes,B is a E.,True
129,B is a G.,G is a subclass of A.,"Given the previous statements, is B a A?",Yes,B is a A.,True
130,B is a Z.,Z is a subclass of C.,"Given the previous statements, is B a C?",Yes,B is a C.,True
131,B is a N.,N is a subclass of I.,"Given the previous statements, is B a I?",Yes,B is a I.,True
132,B is a K.,K is a subclass of P.,"Given the previous statements, is B a P?",Yes,B is a P.,True
133,B is a P.,P is a subclass of F.,"Given the previous statements, is B a F?",Yes,B is a F.,True
134,B is a F.,F is a subclass of E.,"Given the previous statements, is B a E?",Yes,B is a E.,True
135,B is a U.,U is a subclass of S.,"Given the previous statements, is B a S?",Yes,B is a S.,True
136,B is a Q.,Q is a subclass of I.,"Given the previous statements, is B a I?",Yes,B is a I.,True
137,B is a V.,V is a subclass of T.,"Given the previous statements, is B a T?",Yes,B is a T.,True
138,B is a G.,G is a subclass of Y.,"Given the previous statements, is B a Y?",Yes,B is a Y.,True
139,B is a X.,X is a subclass of G.,"Given the previous statements, is B a G?",Yes,B is a G.,True
140,B is a I.,I is a subclass of L.,"Given the previous statements, is B a L?",Yes,B is a L.,True
141,B is a R.,R is a subclass of Q.,"Given the previous statements, is B a Q?",Yes,B is a Q.,True
142,B is a Y.,Y is a subclass of T.,"Given the previous statements, is B a T?",Yes,B is a T.,True
143,B is a M.,M is a subclass of T.,"Given the previous statements, is B a T?",Yes,B is a T.,True
144,B is a X.,X is a subclass of O.,"Given the previous statements, is B a O?",Yes,B is a O.,True
145,B is a P.,P is a subclass of T.,"Given the previous statements, is B a T?",Yes,B is a T.,True
146,B is a G.,G is a subclass of C.,"Given the previous statements, is B a C?",Yes,B is a C.,True
147,B is a A.,A is a subclass of K.,"Given the previous statements, is B a K?",Yes,B is a K.,True
148,B is a D.,D is a subclass of W.,"Given the previous statements, is B a W?",Yes,B is a W.,True
149,B is a L.,L is a subclass of W.,"Given the previous statements, is B a W?",Yes,B is a W.,True
150,B is a O.,O is a subclass of L.,"Given the previous statements, is B a L?",Yes,B is a L.,True
151,B is a G.,G is a subclass of Q.,"Given the previous statements, is B a Q?",Yes,B is a Q.,True
152,B is a N.,N is a subclass of T.,"Given the previous statements, is B a T?",Yes,B is a T.,True
153,B is a Q.,Q is a subclass of N.,"Given the previous statements, is B a N?",Yes,B is a N.,True
154,B is a X.,X is a subclass of U.,"Given the previous statements, is B a U?",Yes,B is a U.,True
155,B is a M.,M is a subclass of W.,"Given the previous statements, is B a W?",Yes,B is a W.,True
156,B is a Z.,Z is a subclass of I.,"Given the previous statements, is B a I?",Yes,B is a I.,True
157,B is a X.,X is a subclass of H.,"Given the previous statements, is B a H?",Yes,B is a H.,True
158,B is a W.,W is a subclass of D.,"Given the previous statements, is B a D?",Yes,B is a D.,True
159,B is a Y.,Y is a subclass of C.,"Given the previous statements, is B a C?",Yes,B is a C.,True
160,B is a I.,I is a subclass of O.,"Given the previous statements, is B a O?",Yes,B is a O.,True
161,B is a F.,F is a subclass of N.,"Given the previous statements, is B a N?",Yes,B is a N.,True
162,B is a V.,V is a subclass of L.,"Given the previous statements, is B a L?",Yes,B is a L.,True
163,B is a E.,E is a subclass of G.,"Given the previous statements, is B a G?",Yes,B is a G.,True
164,B is a F.,F is a subclass of A.,"Given the previous statements, is B a A?",Yes,B is a A.,True
165,B is a M.,M is a subclass of K.,"Given the previous statements, is B a K?",Yes,B is a K.,True
166,B is a G.,G is a subclass of X.,"Given the previous statements, is B a X?",Yes,B is a X.,True
167,B is a C.,C is a subclass of O.,"Given the previous statements, is B a O?",Yes,B is a O.,True
168,B is a Q.,Q is a subclass of O.,"Given the previous statements, is B a O?",Yes,B is a O.,True
169,B is a S.,S is a subclass of W.,"Given the previous statements, is B a W?",Yes,B is a W.,True
170,B is a R.,R is a subclass of I.,"Given the previous statements, is B a I?",Yes,B is a I.,True
171,B is a G.,G is a subclass of V.,"Given the previous statements, is B a V?",Yes,B is a V.,True
172,B is a S.,S is a subclass of X.,"Given the previous statements, is B a X?",Yes,B is a X.,True
173,B is a M.,M is a subclass of A.,"Given the previous statements, is B a A?",Yes,B is a A.,True
174,B is a J.,J is a subclass of V.,"Given the previous statements, is B a V?",Yes,B is a V.,True
175,B is a V.,V is a subclass of Z.,"Given the previous statements, is B a Z?",Yes,B is a Z.,True
176,B is a Y.,Y is a subclass of Z.,"Given the previous statements, is B a Z?",Yes,B is a Z.,True
177,B is a A.,A is a subclass of Q.,"Given the previous statements, is B a Q?",Yes,B is a Q.,True
178,B is a L.,L is a subclass of P.,"Given the previous statements, is B a P?",Yes,B is a P.,True
179,B is a F.,F is a subclass of I.,"Given the previous statements, is B a I?",Yes,B is a I.,True
180,B is a O.,O is a subclass of J.,"Given the previous statements, is B a J?",Yes,B is a J.,True
181,B is a K.,K is a subclass of Q.,"Given the previous statements, is B a Q?",Yes,B is a Q.,True
182,B is a F.,F is a subclass of M.,"Given the previous statements, is B a M?",Yes,B is a M.,True
183,B is a I.,I is a subclass of R.,"Given the previous statements, is B a R?",Yes,B is a R.,True
184,B is a E.,E is a subclass of Z.,"Given the previous statements, is B a Z?",Yes,B is a Z.,True
185,B is a S.,S is a subclass of C.,"Given the previous statements, is B a C?",Yes,B is a C.,True
186,B is a G.,G is a subclass of T.,"Given the previous statements, is B a T?",Yes,B is a T.,True
187,B is a X.,X is a subclass of A.,"Given the previous statements, is B a A?",Yes,B is a A.,True
188,B is a Z.,Z is a subclass of A.,"Given the previous statements, is B a A?",Yes,B is a A.,True
189,B is a L.,L is a subclass of S.,"Given the previous statements, is B a S?",Yes,B is a S.,True
190,B is a R.,R is a subclass of L.,"Given the previous statements, is B a L?",Yes,B is a L.,True
191,B is a U.,U is a subclass of G.,"Given the previous statements, is B a G?",Yes,B is a G.,True
192,B is a Q.,Q is a subclass of M.,"Given the previous statements, is B a M?",Yes,B is a M.,True
193,B is a O.,O is a subclass of U.,"Given the previous statements, is B a U?",Yes,B is a U.,True
194,B is a Q.,Q is a subclass of W.,"Given the previous statements, is B a W?",Yes,B is a W.,True
195,B is a S.,S is a subclass of I.,"Given the previous statements, is B a I?",Yes,B is a I.,True
196,B is a C.,C is a subclass of Y.,"Given the previous statements, is B a Y?",Yes,B is a Y.,True
197,B is a S.,S is a subclass of K.,"Given the previous statements, is B a K?",Yes,B is a K.,True
198,B is a M.,M is a subclass of V.,"Given the previous statements, is B a V?",Yes,B is a V.,True
199,B is a F.,F is a subclass of C.,"Given the previous statements, is B a C?",Yes,B is a C.,True
200,B is a V.,V is a subclass of G.,"Given the previous statements, is B a G?",Yes,B is a G.,True
201,C is a R.,R is a subclass of U.,"Given the previous statements, is C a U?",Yes,C is a U.,True
202,C is a A.,A is a subclass of U.,"Given the previous statements, is C a U?",Yes,C is a U.,True
203,C is a V.,V is a subclass of Y.,"Given the previous statements, is C a Y?",Yes,C is a Y.,True
204,C is a S.,S is a subclass of J.,"Given the previous statements, is C a J?",Yes,C is a J.,True
205,C is a W.,W is a subclass of Y.,"Given the previous statements, is C a Y?",Yes,C is a Y.,True
206,C is a G.,G is a subclass of B.,"Given the previous statements, is C a B?",Yes,C is a B.,True
207,C is a I.,I is a subclass of O.,"Given the previous statements, is C a O?",Yes,C is a O.,True
208,C is a Z.,Z is a subclass of J.,"Given the previous statements, is C a J?",Yes,C is a J.,True
209,C is a E.,E is a subclass of F.,"Given the previous statements, is C a F?",Yes,C is a F.,True
210,C is a H.,H is a subclass of N.,"Given the previous statements, is C a N?",Yes,C is a N.,True
211,C is a K.,K is a subclass of P.,"Given the previous statements, is C a P?",Yes,C is a P.,True
212,C is a J.,J is a subclass of G.,"Given the previous statements, is C a G?",Yes,C is a G.,True
213,C is a F.,F is a subclass of Q.,"Given the previous statements, is C a Q?",Yes,C is a Q.,True
214,C is a J.,J is a subclass of B.,"Given the previous statements, is C a B?",Yes,C is a B.,True
215,C is a K.,K is a subclass of Q.,"Given the previous statements, is C a Q?",Yes,C is a Q.,True
216,C is a H.,H is a subclass of X.,"Given the previous statements, is C a X?",Yes,C is a X.,True
217,C is a Z.,Z is a subclass of A.,"Given the previous statements, is C a A?",Yes,C is a A.,True
218,C is a R.,R is a subclass of L.,"Given the previous statements, is C a L?",Yes,C is a L.,True
219,C is a W.,W is a subclass of B.,"Given the previous statements, is C a B?",Yes,C is a B.,True
220,C is a Y.,Y is a subclass of K.,"Given the previous statements, is C a K?",Yes,C is a K.,True
221,C is a K.,K is a subclass of O.,"Given the previous statements, is C a O?",Yes,C is a O.,True
222,C is a F.,F is a subclass of U.,"Given the previous statements, is C a U?",Yes,C is a U.,True
223,C is a X.,X is a subclass of I.,"Given the previous statements, is C a I?",Yes,C is a I.,True
224,C is a R.,R is a subclass of Q.,"Given the previous statements, is C a Q?",Yes,C is a Q.,True
225,C is a P.,P is a subclass of S.,"Given the previous statements, is C a S?",Yes,C is a S.,True
226,C is a Q.,Q is a subclass of R.,"Given the previous statements, is C a R?",Yes,C is a R.,True
227,C is a M.,M is a subclass of L.,"Given the previous statements, is C a L?",Yes,C is a L.,True
228,C is a M.,M is a subclass of E.,"Given the previous statements, is C a E?",Yes,C is a E.,True
229,C is a I.,I is a subclass of V.,"Given the previous statements, is C a V?",Yes,C is a V.,True
230,C is a O.,O is a subclass of R.,"Given the previous statements, is C a R?",Yes,C is a R.,True
231,C is a T.,T is a subclass of L.,"Given the previous statements, is C a L?",Yes,C is a L.,True
232,C is a Q.,Q is a subclass of F.,"Given the previous statements, is C a F?",Yes,C is a F.,True
233,C is a L.,L is a subclass of D.,"Given the previous statements, is C a D?",Yes,C is a D.,True
234,C is a B.,B is a subclass of K.,"Given the previous statements, is C a K?",Yes,C is a K.,True
235,C is a S.,S is a subclass of G.,"Given the previous statements, is C a G?",Yes,C is a G.,True
236,C is a I.,I is a subclass of W.,"Given the previous statements, is C a W?",Yes,C is a W.,True
237,C is a P.,P is a subclass of U.,"Given the previous statements, is C a U?",Yes,C is a U.,True
238,C is a S.,S is a subclass of M.,"Given the previous statements, is C a M?",Yes,C is a M.,True
239,C is a D.,D is a subclass of U.,"Given the previous statements, is C a U?",Yes,C is a U.,True
240,C is a O.,O is a subclass of U.,"Given the previous statements, is C a U?",Yes,C is a U.,True
241,C is a E.,E is a subclass of L.,"Given the previous statements, is C a L?",Yes,C is a L.,True
242,C is a A.,A is a subclass of F.,"Given the previous statements, is C a F?",Yes,C is a F.,True
243,C is a U.,U is a subclass of K.,"Given the previous statements, is C a K?",Yes,C is a K.,True
244,C is a N.,N is a subclass of T.,"Given the previous statements, is C a T?",Yes,C is a T.,True
245,C is a G.,G is a subclass of T.,"Given the previous statements, is C a T?",Yes,C is a T.,True
246,C is a P.,P is a subclass of Z.,"Given the previous statements, is C a Z?",Yes,C is a Z.,True
247,C is a L.,L is a subclass of F.,"Given the previous statements, is C a F?",Yes,C is a F.,True
248,C is a A.,A is a subclass of H.,"Given the previous statements, is C a H?",Yes,C is a H.,True
249,C is a B.,B is a subclass of D.,"Given the previous statements, is C a D?",Yes,C is a D.,True
250,C is a S.,S is a subclass of K.,"Given the previous statements, is C a K?",Yes,C is a K.,True
251,C is a Y.,Y is a subclass of I.,"Given the previous statements, is C a I?",Yes,C is a I.,True
252,C is a L.,L is a subclass of Q.,"Given the previous statements, is C a Q?",Yes,C is a Q.,True
253,C is a W.,W is a subclass of I.,"Given the previous statements, is C a I?",Yes,C is a I.,True
254,C is a P.,P is a subclass of D.,"Given the previous statements, is C a D?",Yes,C is a D.,True
255,C is a Q.,Q is a subclass of E.,"Given the previous statements, is C a E?",Yes,C is a E.,True
256,C is a Q.,Q is a subclass of J.,"Given the previous statements, is C a J?",Yes,C is a J.,True
257,C is a M.,M is a subclass of K.,"Given the previous statements, is C a K?",Yes,C is a K.,True
258,C is a Z.,Z is a subclass of X.,"Given the previous statements, is C a X?",Yes,C is a X.,True
259,C is a L.,L is a subclass of T.,"Given the previous statements, is C a T?",Yes,C is a T.,True
260,C is a Z.,Z is a subclass of P.,"Given the previous statements, is C a P?",Yes,C is a P.,True
261,C is a B.,B is a subclass of P.,"Given the previous statements, is C a P?",Yes,C is a P.,True
262,C is a U.,U is a subclass of H.,"Given the previous statements, is C a H?",Yes,C is a H.,True
263,C is a I.,I is a subclass of U.,"Given the previous statements, is C a U?",Yes,C is a U.,True
264,C is a N.,N is a subclass of I.,"Given the previous statements, is C a I?",Yes,C is a I.,True
265,C is a S.,S is a subclass of U.,"Given the previous statements, is C a U?",Yes,C is a U.,True
266,C is a M.,M is a subclass of H.,"Given the previous statements, is C a H?",Yes,C is a H.,True
267,C is a L.,L is a subclass of R.,"Given the previous statements, is C a R?",Yes,C is a R.,True
268,C is a Y.,Y is a subclass of Z.,"Given the previous statements, is C a Z?",Yes,C is a Z.,True
269,C is a D.,D is a subclass of N.,"Given the previous statements, is C a N?",Yes,C is a N.,True
270,C is a H.,H is a subclass of A.,"Given the previous statements, is C a A?",Yes,C is a A.,True
271,C is a T.,T is a subclass of W.,"Given the previous statements, is C a W?",Yes,C is a W.,True
272,C is a Y.,Y is a subclass of V.,"Given the previous statements, is C a V?",Yes,C is a V.,True
273,C is a U.,U is a subclass of D.,"Given the previous statements, is C a D?",Yes,C is a D.,True
274,C is a K.,K is a subclass of G.,"Given the previous statements, is C a G?",Yes,C is a G.,True
275,C is a K.,K is a subclass of J.,"Given the previous statements, is C a J?",Yes,C is a J.,True
276,C is a S.,S is a subclass of Y.,"Given the previous statements, is C a Y?",Yes,C is a Y.,True
277,C is a L.,L is a subclass of U.,"Given the previous statements, is C a U?",Yes,C is a U.,True
278,C is a R.,R is a subclass of T.,"Given the previous statements, is C a T?",Yes,C is a T.,True
279,C is a D.,D is a subclass of A.,"Given the previous statements, is C a A?",Yes,C is a A.,True
280,C is a D.,D is a subclass of Y.,"Given the previous statements, is C a Y?",Yes,C is a Y.,True
281,C is a N.,N is a subclass of Q.,"Given the previous statements, is C a Q?",Yes,C is a Q.,True
282,C is a S.,S is a subclass of W.,"Given the previous statements, is C a W?",Yes,C is a W.,True
283,C is a K.,K is a subclass of L.,"Given the previous statements, is C a L?",Yes,C is a L.,True
284,C is a Y.,Y is a subclass of W.,"Given the previous statements, is C a W?",Yes,C is a W.,True
285,C is a X.,X is a subclass of Y.,"Given the previous statements, is C a Y?",Yes,C is a Y.,True
286,C is a A.,A is a subclass of P.,"Given the previous statements, is C a P?",Yes,C is a P.,True
287,C is a J.,J is a subclass of L.,"Given the previous statements, is C a L?",Yes,C is a L.,True
288,C is a L.,L is a subclass of J.,"Given the previous statements, is C a J?",Yes,C is a J.,True
289,C is a V.,V is a subclass of J.,"Given the previous statements, is C a J?",Yes,C is a J.,True
290,C is a A.,A is a subclass of R.,"Given the previous statements, is C a R?",Yes,C is a R.,True
291,C is a M.,M is a subclass of Q.,"Given the previous statements, is C a Q?",Yes,C is a Q.,True
292,C is a F.,F is a subclass of J.,"Given the previous statements, is C a J?",Yes,C is a J.,True
293,C is a S.,S is a subclass of D.,"Given the previous statements, is C a D?",Yes,C is a D.,True
294,C is a P.,P is a subclass of I.,"Given the previous statements, is C a I?",Yes,C is a I.,True
295,C is a Y.,Y is a subclass of N.,"Given the previous statements, is C a N?",Yes,C is a N.,True
296,C is a W.,W is a subclass of L.,"Given the previous statements, is C a L?",Yes,C is a L.,True
297,C is a I.,I is a subclass of H.,"Given the previous statements, is C a H?",Yes,C is a H.,True
298,C is a R.,R is a subclass of W.,"Given the previous statements, is C a W?",Yes,C is a W.,True
299,C is a O.,O is a subclass of V.,"Given the previous statements, is C a V?",Yes,C is a V.,True
300,C is a X.,X is a subclass of S.,"Given the previous statements, is C a S?",Yes,C is a S.,True
301,D is a E.,E is a subclass of M.,"Given the previous statements, is D a M?",Yes,D is a M.,True
302,D is a G.,G is a subclass of S.,"Given the previous statements, is D a S?",Yes,D is a S.,True
303,D is a V.,V is a subclass of W.,"Given the previous statements, is D a W?",Yes,D is a W.,True
304,D is a Q.,Q is a subclass of B.,"Given the previous statements, is D a B?",Yes,D is a B.,True
305,D is a T.,T is a subclass of M.,"Given the previous statements, is D a M?",Yes,D is a M.,True
