ID,triple1,triple2,question,answer,inferred triple,label
47,A is a H.,A is the same as Y.,"Given the previous statements, is Y a H?",Yes,Y is a H.,True
48,A is a S.,A is the same as I.,"Given the previous statements, is I a S?",Yes,I is a S.,True
49,A is a Z.,A is the same as E.,"Given the previous statements, is E a Z?",Yes,E is a Z.,True
50,A is a D.,A is the same as B.,"Given the previous statements, is B a D?",Yes,B is a D.,True
51,A is a E.,A is the same as L.,"Given the previous statements, is L a E?",Yes,L is a E.,True
52,A is a G.,A is the same as B.,"Given the previous statements, is B a G?",Yes,B is a G.,True
53,A is a G.,A is the same as O.,"Given the previous statements, is O a G?",Yes,O is a G.,True
54,A is a V.,A is the same as E.,"Given the previous statements, is E a V?",Yes,E is a V.,True
55,A is a E.,A is the same as D.,"Given the previous statements, is D a E?",Yes,D is a E.,True
56,A is a L.,A is the same as R.,"Given the previous statements, is R a L?",Yes,R is a L.,True
57,A is a O.,A is the same as Z.,"Given the previous statements, is Z a O?",Yes,Z is a O.,True
58,A is a H.,A is the same as B.,"Given the previous statements, is B a H?",Yes,B is a H.,True
59,A is a R.,A is the same as Z.,"Given the previous statements, is Z a R?",Yes,Z is a R.,True
60,A is a O.,A is the same as X.,"Given the previous statements, is X a O?",Yes,X is a O.,True
61,A is a C.,A is the same as R.,"Given the previous statements, is R a C?",Yes,R is a C.,True
62,A is a F.,A is the same as O.,"Given the previous statements, is O a F?",Yes,O is a F.,True
63,A is a P.,A is the same as I.,"Given the previous statements, is I a P?",Yes,I is a P.,True
64,A is a N.,A is the same as U.,"Given the previous statements, is U a N?",Yes,U is a N.,True
65,A is a F.,A is the same as X.,"Given the previous statements, is X a F?",Yes,X is a F.,True
66,A is a O.,A is the same as M.,"Given the previous statements, is M a O?",Yes,M is a O.,True
67,A is a E.,A is the same as V.,"Given the previous statements, is V a E?",Yes,V is a E.,True
68,A is a L.,A is the same as C.,"Given the previous statements, is C a L?",Yes,C is a L.,True
69,A is a Q.,A is the same as L.,"Given the previous statements, is L a Q?",Yes,L is a Q.,True
70,A is a M.,A is the same as Q.,"Given the previous statements, is Q a M?",Yes,Q is a M.,True
71,A is a Y.,A is the same as Z.,"Given the previous statements, is Z a Y?",Yes,Z is a Y.,True
72,A is a Y.,A is the same as W.,"Given the previous statements, is W a Y?",Yes,W is a Y.,True
73,A is a Q.,A is the same as J.,"Given the previous statements, is J a Q?",Yes,J is a Q.,True
74,A is a Z.,A is the same as Y.,"Given the previous statements, is Y a Z?",Yes,Y is a Z.,True
75,A is a R.,A is the same as Y.,"Given the previous statements, is Y a R?",Yes,Y is a R.,True
76,A is a D.,A is the same as K.,"Given the previous statements, is K a D?",Yes,K is a D.,True
77,A is a M.,A is the same as E.,"Given the previous statements, is E a M?",Yes,E is a M.,True
78,A is a L.,A is the same as Z.,"Given the previous statements, is Z a L?",Yes,Z is a L.,True
79,A is a R.,A is the same as O.,"Given the previous statements, is O a R?",Yes,O is a R.,True
80,A is a T.,A is the same as C.,"Given the previous statements, is C a T?",Yes,C is a T.,True
81,A is a L.,A is the same as D.,"Given the previous statements, is D a L?",Yes,D is a L.,True
82,A is a T.,A is the same as P.,"Given the previous statements, is P a T?",Yes,P is a T.,True
83,A is a M.,A is the same as W.,"Given the previous statements, is W a M?",Yes,W is a M.,True
84,A is a N.,A is the same as R.,"Given the previous statements, is R a N?",Yes,R is a N.,True
85,A is a B.,A is the same as T.,"Given the previous statements, is T a B?",Yes,T is a B.,True
86,A is a K.,A is the same as C.,"Given the previous statements, is C a K?",Yes,C is a K.,True
87,A is a Q.,A is the same as C.,"Given the previous statements, is C a Q?",Yes,C is a Q.,True
88,A is a L.,A is the same as I.,"Given the previous statements, is I a L?",Yes,I is a L.,True
89,A is a S.,A is the same as N.,"Given the previous statements, is N a S?",Yes,N is a S.,True
90,A is a P.,A is the same as N.,"Given the previous statements, is N a P?",Yes,N is a P.,True
91,A is a N.,A is the same as V.,"Given the previous statements, is V a N?",Yes,V is a N.,True
92,A is a D.,A is the same as H.,"Given the previous statements, is H a D?",Yes,H is a D.,True
93,A is a E.,A is the same as I.,"Given the previous statements, is I a E?",Yes,I is a E.,True
94,A is a K.,A is the same as O.,"Given the previous statements, is O a K?",Yes,O is a K.,True
95,A is a J.,A is the same as P.,"Given the previous statements, is P a J?",Yes,P is a J.,True
96,A is a F.,A is the same as D.,"Given the previous statements, is D a F?",Yes,D is a F.,True
97,A is a P.,A is the same as W.,"Given the previous statements, is W a P?",Yes,W is a P.,True
98,A is a U.,A is the same as J.,"Given the previous statements, is J a U?",Yes,J is a U.,True
99,A is a T.,A is the same as Z.,"Given the previous statements, is Z a T?",Yes,Z is a T.,True
100,A is a O.,A is the same as I.,"Given the previous statements, is I a O?",Yes,I is a O.,True
101,B is a Z.,B is the same as L.,"Given the previous statements, is L a Z?",Yes,L is a Z.,True
102,B is a X.,B is the same as C.,"Given the previous statements, is C a X?",Yes,C is a X.,True
103,B is a Z.,B is the same as S.,"Given the previous statements, is S a Z?",Yes,S is a Z.,True
104,B is a Q.,B is the same as F.,"Given the previous statements, is F a Q?",Yes,F is a Q.,True
105,B is a N.,B is the same as D.,"Given the previous statements, is D a N?",Yes,D is a N.,True
106,B is a M.,B is the same as U.,"Given the previous statements, is U a M?",Yes,U is a M.,True
107,B is a K.,B is the same as C.,"Given the previous statements, is C a K?",Yes,C is a K.,True
108,B is a Z.,B is the same as N.,"Given the previous statements, is N a Z?",Yes,N is a Z.,True
109,B is a Z.,B is the same as C.,"Given the previous statements, is C a Z?",Yes,C is a Z.,True
110,B is a O.,B is the same as G.,"Given the previous statements, is G a O?",Yes,G is a O.,True
111,B is a C.,B is the same as Z.,"Given the previous statements, is Z a C?",Yes,Z is a C.,True
112,B is a M.,B is the same as G.,"Given the previous statements, is G a M?",Yes,G is a M.,True
113,B is a I.,B is the same as S.,"Given the previous statements, is S a I?",Yes,S is a I.,True
114,B is a J.,B is the same as D.,"Given the previous statements, is D a J?",Yes,D is a J.,True
115,B is a K.,B is the same as G.,"Given the previous statements, is G a K?",Yes,G is a K.,True
116,B is a R.,B is the same as O.,"Given the previous statements, is O a R?",Yes,O is a R.,True
117,B is a N.,B is the same as C.,"Given the previous statements, is C a N?",Yes,C is a N.,True
118,B is a Y.,B is the same as V.,"Given the previous statements, is V a Y?",Yes,V is a Y.,True
119,B is a Q.,B is the same as T.,"Given the previous statements, is T a Q?",Yes,T is a Q.,True
120,B is a J.,B is the same as S.,"Given the previous statements, is S a J?",Yes,S is a J.,True
121,B is a P.,B is the same as Q.,"Given the previous statements, is Q a P?",Yes,Q is a P.,True
122,B is a O.,B is the same as M.,"Given the previous statements, is M a O?",Yes,M is a O.,True
123,B is a X.,B is the same as K.,"Given the previous statements, is K a X?",Yes,K is a X.,True
124,B is a L.,B is the same as O.,"Given the previous statements, is O a L?",Yes,O is a L.,True
125,B is a C.,B is the same as I.,"Given the previous statements, is I a C?",Yes,I is a C.,True
126,B is a T.,B is the same as A.,"Given the previous statements, is A a T?",Yes,A is a T.,True
127,B is a E.,B is the same as U.,"Given the previous statements, is U a E?",Yes,U is a E.,True
128,B is a F.,B is the same as V.,"Given the previous statements, is V a F?",Yes,V is a F.,True
129,B is a H.,B is the same as W.,"Given the previous statements, is W a H?",Yes,W is a H.,True
130,B is a O.,B is the same as D.,"Given the previous statements, is D a O?",Yes,D is a O.,True
131,B is a M.,B is the same as I.,"Given the previous statements, is I a M?",Yes,I is a M.,True
132,B is a S.,B is the same as N.,"Given the previous statements, is N a S?",Yes,N is a S.,True
133,B is a M.,B is the same as W.,"Given the previous statements, is W a M?",Yes,W is a M.,True
134,B is a P.,B is the same as H.,"Given the previous statements, is H a P?",Yes,H is a P.,True
135,B is a D.,B is the same as X.,"Given the previous statements, is X a D?",Yes,X is a D.,True
136,B is a D.,B is the same as M.,"Given the previous statements, is M a D?",Yes,M is a D.,True
137,B is a X.,B is the same as Q.,"Given the previous statements, is Q a X?",Yes,Q is a X.,True
138,B is a Z.,B is the same as V.,"Given the previous statements, is V a Z?",Yes,V is a Z.,True
139,B is a X.,B is the same as T.,"Given the previous statements, is T a X?",Yes,T is a X.,True
140,B is a I.,B is the same as M.,"Given the previous statements, is M a I?",Yes,M is a I.,True
141,B is a I.,B is the same as Z.,"Given the previous statements, is Z a I?",Yes,Z is a I.,True
142,B is a U.,B is the same as C.,"Given the previous statements, is C a U?",Yes,C is a U.,True
143,B is a F.,B is the same as A.,"Given the previous statements, is A a F?",Yes,A is a F.,True
144,B is a X.,B is the same as N.,"Given the previous statements, is N a X?",Yes,N is a X.,True
145,B is a H.,B is the same as T.,"Given the previous statements, is T a H?",Yes,T is a H.,True
146,B is a G.,B is the same as P.,"Given the previous statements, is P a G?",Yes,P is a G.,True
147,B is a N.,B is the same as Q.,"Given the previous statements, is Q a N?",Yes,Q is a N.,True
148,B is a A.,B is the same as Y.,"Given the previous statements, is Y a A?",Yes,Y is a A.,True
149,B is a J.,B is the same as C.,"Given the previous statements, is C a J?",Yes,C is a J.,True
150,B is a M.,B is the same as L.,"Given the previous statements, is L a M?",Yes,L is a M.,True
151,B is a M.,B is the same as A.,"Given the previous statements, is A a M?",Yes,A is a M.,True
152,B is a H.,B is the same as D.,"Given the previous statements, is D a H?",Yes,D is a H.,True
153,B is a C.,B is the same as Y.,"Given the previous statements, is Y a C?",Yes,Y is a C.,True
154,B is a Y.,B is the same as L.,"Given the previous statements, is L a Y?",Yes,L is a Y.,True
155,B is a E.,B is the same as S.,"Given the previous statements, is S a E?",Yes,S is a E.,True
156,B is a Q.,B is the same as M.,"Given the previous statements, is M a Q?",Yes,M is a Q.,True
157,B is a F.,B is the same as I.,"Given the previous statements, is I a F?",Yes,I is a F.,True
158,B is a V.,B is the same as P.,"Given the previous statements, is P a V?",Yes,P is a V.,True
159,B is a D.,B is the same as Z.,"Given the previous statements, is Z a D?",Yes,Z is a D.,True
160,B is a A.,B is the same as F.,"Given the previous statements, is F a A?",Yes,F is a A.,True
161,B is a P.,B is the same as F.,"Given the previous statements, is F a P?",Yes,F is a P.,True
162,B is a V.,B is the same as D.,"Given the previous statements, is D a V?",Yes,D is a V.,True
163,B is a M.,B is the same as R.,"Given the previous statements, is R a M?",Yes,R is a M.,True
164,B is a D.,B is the same as A.,"Given the previous statements, is A a D?",Yes,A is a D.,True
165,B is a D.,B is the same as O.,"Given the previous statements, is O a D?",Yes,O is a D.,True
166,B is a H.,B is the same as O.,"Given the previous statements, is O a H?",Yes,O is a H.,True
167,B is a M.,B is the same as E.,"Given the previous statements, is E a M?",Yes,E is a M.,True
168,B is a A.,B is the same as J.,"Given the previous statements, is J a A?",Yes,J is a A.,True
169,B is a Z.,B is the same as R.,"Given the previous statements, is R a Z?",Yes,R is a Z.,True
170,B is a O.,B is the same as S.,"Given the previous statements, is S a O?",Yes,S is a O.,True
171,B is a U.,B is the same as X.,"Given the previous statements, is X a U?",Yes,X is a U.,True
172,B is a F.,B is the same as Y.,"Given the previous statements, is Y a F?",Yes,Y is a F.,True
173,B is a S.,B is the same as P.,"Given the previous statements, is P a S?",Yes,P is a S.,True
174,B is a G.,B is the same as J.,"Given the previous statements, is J a G?",Yes,J is a G.,True
175,B is a T.,B is the same as Z.,"Given the previous statements, is Z a T?",Yes,Z is a T.,True
176,B is a I.,B is the same as K.,"Given the previous statements, is K a I?",Yes,K is a I.,True
177,B is a I.,B is the same as T.,"Given the previous statements, is T a I?",Yes,T is a I.,True
178,B is a H.,B is the same as K.,"Given the previous statements, is K a H?",Yes,K is a H.,True
179,B is a S.,B is the same as X.,"Given the previous statements, is X a S?",Yes,X is a S.,True
180,B is a X.,B is the same as R.,"Given the previous statements, is R a X?",Yes,R is a X.,True
181,B is a G.,B is the same as T.,"Given the previous statements, is T a G?",Yes,T is a G.,True
182,B is a V.,B is the same as W.,"Given the previous statements, is W a V?",Yes,W is a V.,True
183,B is a F.,B is the same as T.,"Given the previous statements, is T a F?",Yes,T is a F.,True
184,B is a P.,B is the same as X.,"Given the previous statements, is X a P?",Yes,X is a P.,True
185,B is a R.,B is the same as U.,"Given the previous statements, is U a R?",Yes,U is a R.,True
186,B is a H.,B is the same as Z.,"Given the previous statements, is Z a H?",Yes,Z is a H.,True
187,B is a W.,B is the same as T.,"Given the previous statements, is T a W?",Yes,T is a W.,True
188,B is a T.,B is the same as I.,"Given the previous statements, is I a T?",Yes,I is a T.,True
189,B is a F.,B is the same as L.,"Given the previous statements, is L a F?",Yes,L is a F.,True
190,B is a R.,B is the same as A.,"Given the previous statements, is A a R?",Yes,A is a R.,True
191,B is a Q.,B is the same as N.,"Given the previous statements, is N a Q?",Yes,N is a Q.,True
192,B is a C.,B is the same as P.,"Given the previous statements, is P a C?",Yes,P is a C.,True
193,B is a W.,B is the same as O.,"Given the previous statements, is O a W?",Yes,O is a W.,True
194,B is a X.,B is the same as D.,"Given the previous statements, is D a X?",Yes,D is a X.,True
195,B is a Y.,B is the same as M.,"Given the previous statements, is M a Y?",Yes,M is a Y.,True
196,B is a S.,B is the same as Y.,"Given the previous statements, is Y a S?",Yes,Y is a S.,True
197,B is a C.,B is the same as V.,"Given the previous statements, is V a C?",Yes,V is a C.,True
198,B is a A.,B is the same as S.,"Given the previous statements, is S a A?",Yes,S is a A.,True
199,B is a E.,B is the same as P.,"Given the previous statements, is P a E?",Yes,P is a E.,True
200,B is a G.,B is the same as Z.,"Given the previous statements, is Z a G?",Yes,Z is a G.,True
201,C is a P.,C is the same as E.,"Given the previous statements, is E a P?",Yes,E is a P.,True
202,C is a R.,C is the same as U.,"Given the previous statements, is U a R?",Yes,U is a R.,True
203,C is a F.,C is the same as R.,"Given the previous statements, is R a F?",Yes,R is a F.,True
204,C is a G.,C is the same as I.,"Given the previous statements, is I a G?",Yes,I is a G.,True
205,C is a I.,C is the same as F.,"Given the previous statements, is F a I?",Yes,F is a I.,True
206,C is a A.,C is the same as R.,"Given the previous statements, is R a A?",Yes,R is a A.,True
207,C is a U.,C is the same as B.,"Given the previous statements, is B a U?",Yes,B is a U.,True
208,C is a M.,C is the same as K.,"Given the previous statements, is K a M?",Yes,K is a M.,True
209,C is a E.,C is the same as F.,"Given the previous statements, is F a E?",Yes,F is a E.,True
210,C is a K.,C is the same as B.,"Given the previous statements, is B a K?",Yes,B is a K.,True
211,C is a N.,C is the same as K.,"Given the previous statements, is K a N?",Yes,K is a N.,True
212,C is a S.,C is the same as E.,"Given the previous statements, is E a S?",Yes,E is a S.,True
213,C is a X.,C is the same as K.,"Given the previous statements, is K a X?",Yes,K is a X.,True
214,C is a A.,C is the same as L.,"Given the previous statements, is L a A?",Yes,L is a A.,True
215,C is a G.,C is the same as R.,"Given the previous statements, is R a G?",Yes,R is a G.,True
216,C is a D.,C is the same as I.,"Given the previous statements, is I a D?",Yes,I is a D.,True
217,C is a Z.,C is the same as X.,"Given the previous statements, is X a Z?",Yes,X is a Z.,True
218,C is a Y.,C is the same as H.,"Given the previous statements, is H a Y?",Yes,H is a Y.,True
219,C is a P.,C is the same as K.,"Given the previous statements, is K a P?",Yes,K is a P.,True
220,C is a A.,C is the same as F.,"Given the previous statements, is F a A?",Yes,F is a A.,True
221,C is a K.,C is the same as R.,"Given the previous statements, is R a K?",Yes,R is a K.,True
222,C is a W.,C is the same as L.,"Given the previous statements, is L a W?",Yes,L is a W.,True
223,C is a J.,C is the same as G.,"Given the previous statements, is G a J?",Yes,G is a J.,True
224,C is a H.,C is the same as P.,"Given the previous statements, is P a H?",Yes,P is a H.,True
225,C is a L.,C is the same as D.,"Given the previous statements, is D a L?",Yes,D is a L.,True
226,C is a R.,C is the same as L.,"Given the previous statements, is L a R?",Yes,L is a R.,True
227,C is a O.,C is the same as G.,"Given the previous statements, is G a O?",Yes,G is a O.,True
228,C is a S.,C is the same as A.,"Given the previous statements, is A a S?",Yes,A is a S.,True
229,C is a P.,C is the same as N.,"Given the previous statements, is N a P?",Yes,N is a P.,True
230,C is a I.,C is the same as R.,"Given the previous statements, is R a I?",Yes,R is a I.,True
231,C is a H.,C is the same as A.,"Given the previous statements, is A a H?",Yes,A is a H.,True
232,C is a E.,C is the same as N.,"Given the previous statements, is N a E?",Yes,N is a E.,True
233,C is a W.,C is the same as P.,"Given the previous statements, is P a W?",Yes,P is a W.,True
234,C is a H.,C is the same as B.,"Given the previous statements, is B a H?",Yes,B is a H.,True
235,C is a E.,C is the same as M.,"Given the previous statements, is M a E?",Yes,M is a E.,True
236,C is a R.,C is the same as E.,"Given the previous statements, is E a R?",Yes,E is a R.,True
237,C is a I.,C is the same as N.,"Given the previous statements, is N a I?",Yes,N is a I.,True
238,C is a R.,C is the same as N.,"Given the previous statements, is N a R?",Yes,N is a R.,True
239,C is a B.,C is the same as Y.,"Given the previous statements, is Y a B?",Yes,Y is a B.,True
240,C is a W.,C is the same as D.,"Given the previous statements, is D a W?",Yes,D is a W.,True
241,C is a Q.,C is the same as A.,"Given the previous statements, is A a Q?",Yes,A is a Q.,True
242,C is a A.,C is the same as Z.,"Given the previous statements, is Z a A?",Yes,Z is a A.,True
243,C is a K.,C is the same as T.,"Given the previous statements, is T a K?",Yes,T is a K.,True
244,C is a W.,C is the same as X.,"Given the previous statements, is X a W?",Yes,X is a W.,True
245,C is a A.,C is the same as Q.,"Given the previous statements, is Q a A?",Yes,Q is a A.,True
246,C is a A.,C is the same as I.,"Given the previous statements, is I a A?",Yes,I is a A.,True
247,C is a A.,C is the same as Y.,"Given the previous statements, is Y a A?",Yes,Y is a A.,True
248,C is a T.,C is the same as I.,"Given the previous statements, is I a T?",Yes,I is a T.,True
249,C is a E.,C is the same as D.,"Given the previous statements, is D a E?",Yes,D is a E.,True
250,C is a T.,C is the same as G.,"Given the previous statements, is G a T?",Yes,G is a T.,True
251,C is a R.,C is the same as D.,"Given the previous statements, is D a R?",Yes,D is a R.,True
252,C is a H.,C is the same as Z.,"Given the previous statements, is Z a H?",Yes,Z is a H.,True
253,C is a A.,C is the same as U.,"Given the previous statements, is U a A?",Yes,U is a A.,True
254,C is a T.,C is the same as J.,"Given the previous statements, is J a T?",Yes,J is a T.,True
255,C is a B.,C is the same as Q.,"Given the previous statements, is Q a B?",Yes,Q is a B.,True
256,C is a D.,C is the same as U.,"Given the previous statements, is U a D?",Yes,U is a D.,True
257,C is a Z.,C is the same as V.,"Given the previous statements, is V a Z?",Yes,V is a Z.,True
258,C is a S.,C is the same as F.,"Given the previous statements, is F a S?",Yes,F is a S.,True
259,C is a M.,C is the same as L.,"Given the previous statements, is L a M?",Yes,L is a M.,True
260,C is a X.,C is the same as T.,"Given the previous statements, is T a X?",Yes,T is a X.,True
261,C is a Z.,C is the same as L.,"Given the previous statements, is L a Z?",Yes,L is a Z.,True
262,C is a M.,C is the same as Q.,"Given the previous statements, is Q a M?",Yes,Q is a M.,True
263,C is a Z.,C is the same as E.,"Given the previous statements, is E a Z?",Yes,E is a Z.,True
264,C is a A.,C is the same as K.,"Given the previous statements, is K a A?",Yes,K is a A.,True
265,C is a V.,C is the same as O.,"Given the previous statements, is O a V?",Yes,O is a V.,True
266,C is a Y.,C is the same as L.,"Given the previous statements, is L a Y?",Yes,L is a Y.,True
267,C is a D.,C is the same as V.,"Given the previous statements, is V a D?",Yes,V is a D.,True
268,C is a T.,C is the same as B.,"Given the previous statements, is B a T?",Yes,B is a T.,True
269,C is a D.,C is the same as S.,"Given the previous statements, is S a D?",Yes,S is a D.,True
270,C is a T.,C is the same as F.,"Given the previous statements, is F a T?",Yes,F is a T.,True
271,C is a O.,C is the same as T.,"Given the previous statements, is T a O?",Yes,T is a O.,True
272,C is a D.,C is the same as J.,"Given the previous statements, is J a D?",Yes,J is a D.,True
273,C is a I.,C is the same as A.,"Given the previous statements, is A a I?",Yes,A is a I.,True
274,C is a D.,C is the same as P.,"Given the previous statements, is P a D?",Yes,P is a D.,True
275,C is a G.,C is the same as F.,"Given the previous statements, is F a G?",Yes,F is a G.,True
276,C is a N.,C is the same as P.,"Given the previous statements, is P a N?",Yes,P is a N.,True
277,C is a U.,C is the same as G.,"Given the previous statements, is G a U?",Yes,G is a U.,True
278,C is a L.,C is the same as G.,"Given the previous statements, is G a L?",Yes,G is a L.,True
279,C is a I.,C is the same as O.,"Given the previous statements, is O a I?",Yes,O is a I.,True
280,C is a D.,C is the same as Q.,"Given the previous statements, is Q a D?",Yes,Q is a D.,True
281,C is a M.,C is the same as O.,"Given the previous statements, is O a M?",Yes,O is a M.,True
282,C is a M.,C is the same as H.,"Given the previous statements, is H a M?",Yes,H is a M.,True
283,C is a D.,C is the same as E.,"Given the previous statements, is E a D?",Yes,E is a D.,True
284,C is a X.,C is the same as F.,"Given the previous statements, is F a X?",Yes,F is a X.,True
285,C is a T.,C is the same as O.,"Given the previous statements, is O a T?",Yes,O is a T.,True
286,C is a Q.,C is the same as E.,"Given the previous statements, is E a Q?",Yes,E is a Q.,True
287,C is a S.,C is the same as J.,"Given the previous statements, is J a S?",Yes,J is a S.,True
288,C is a G.,C is the same as P.,"Given the previous statements, is P a G?",Yes,P is a G.,True
289,C is a P.,C is the same as X.,"Given the previous statements, is X a P?",Yes,X is a P.,True
290,C is a B.,C is the same as S.,"Given the previous statements, is S a B?",Yes,S is a B.,True
291,C is a Q.,C is the same as I.,"Given the previous statements, is I a Q?",Yes,I is a Q.,True
292,C is a K.,C is the same as V.,"Given the previous statements, is V a K?",Yes,V is a K.,True
293,C is a E.,C is the same as I.,"Given the previous statements, is I a E?",Yes,I is a E.,True
294,C is a E.,C is the same as X.,"Given the previous statements, is X a E?",Yes,X is a E.,True
295,C is a S.,C is the same as O.,"Given the previous statements, is O a S?",Yes,O is a S.,True
296,C is a M.,C is the same as G.,"Given the previous statements, is G a M?",Yes,G is a M.,True
297,C is a B.,C is the same as K.,"Given the previous statements, is K a B?",Yes,K is a B.,True
298,C is a Q.,C is the same as B.,"Given the previous statements, is B a Q?",Yes,B is a Q.,True
299,C is a F.,C is the same as D.,"Given the previous statements, is D a F?",Yes,D is a F.,True
300,C is a W.,C is the same as S.,"Given the previous statements, is S a W?",Yes,S is a W.,True
301,D is a J.,D is the same as U.,"Given the previous statements, is U a J?",Yes,U is a J.,True
302,D is a A.,D is the same as U.,"Given the previous statements, is U a A?",Yes,U is a A.,True
303,D is a F.,D is the same as V.,"Given the previous statements, is V a F?",Yes,V is a F.,True
304,D is a L.,D is the same as Y.,"Given the previous statements, is Y a L?",Yes,Y is a L.,True
305,D is a W.,D is the same as O.,"Given the previous statements, is O a W?",Yes,O is a W.,True
306,D is a J.,D is the same as T.,"Given the previous statements, is T a J?",Yes,T is a J.,True
307,D is a L.,D is the same as C.,"Given the previous statements, is C a L?",Yes,C is a L.,True
308,D is a U.,D is the same as J.,"Given the previous statements, is J a U?",Yes,J is a U.,True
309,D is a Q.,D is the same as H.,"Given the previous statements, is H a Q?",Yes,H is a Q.,True
310,D is a N.,D is the same as V.,"Given the previous statements, is V a N?",Yes,V is a N.,True
311,D is a H.,D is the same as Q.,"Given the previous statements, is Q a H?",Yes,Q is a H.,True
312,D is a P.,D is the same as R.,"Given the previous statements, is R a P?",Yes,R is a P.,True
313,D is a N.,D is the same as S.,"Given the previous statements, is S a N?",Yes,S is a N.,True
314,D is a Q.,D is the same as P.,"Given the previous statements, is P a Q?",Yes,P is a Q.,True
315,D is a F.,D is the same as W.,"Given the previous statements, is W a F?",Yes,W is a F.,True
316,D is a O.,D is the same as A.,"Given the previous statements, is A a O?",Yes,A is a O.,True
317,D is a R.,D is the same as M.,"Given the previous statements, is M a R?",Yes,M is a R.,True
318,D is a E.,D is the same as R.,"Given the previous statements, is R a E?",Yes,R is a E.,True
