ID,triple1,triple2,question,answer,inferred triple,label
13,Lauren Cornell is an Eukaryote.,Lauren Cornell is the same as m.0100c2bq.,"Given the previous statements, is m.0100c2bq an Eukaryote?",Yes,m.0100c2bq is a Eukaryote.,True
14,1919  Yorkshire Cup is a MilitaryConflict.,1919  Yorkshire Cup is the same as m.0100c3f8.,"Given the previous statements, is m.0100c3f8 a MilitaryConflict?",Yes,m.0100c3f8 is a MilitaryConflict.,True
15,Spilosoma heterogenea is an Insect.,Spilosoma heterogenea is the same as m.0100cymv.,"Given the previous statements, is m.0100cymv an Insect?",Yes,m.0100cymv is a Insect.,True
16,Die letzte Kommune is a Work.,Die letzte Kommune is the same as m.0100czwp.,"Given the previous statements, is m.0100czwp a Work?",Yes,m.0100czwp is a Work.,True
17,Die letzte Kommune is a Play.,Die letzte Kommune is the same as m.0100czwp.,"Given the previous statements, is m.0100czwp a Play?",Yes,m.0100czwp is a Play.,True
18,Die letzte Kommune is a WrittenWork.,Die letzte Kommune is the same as m.0100czwp.,"Given the previous statements, is m.0100czwp a WrittenWork?",Yes,m.0100czwp is a WrittenWork.,True
19,Roenis Elías is a Person.,Roenis Elías is the same as m.0100dt86.,"Given the previous statements, is m.0100dt86 a Person?",Yes,m.0100dt86 is a Person.,True
20,Roenis Elías is an Animal.,Roenis Elías is the same as m.0100dt86.,"Given the previous statements, is m.0100dt86 an Animal?",Yes,m.0100dt86 is a Animal.,True
21,Roenis Elías is an Athlete.,Roenis Elías is the same as m.0100dt86.,"Given the previous statements, is m.0100dt86 an Athlete?",Yes,m.0100dt86 is a Athlete.,True
22,Natural Capital Committee is an Organisation.,Natural Capital Committee is the same as m.0100dy 9.,"Given the previous statements, is m.0100dy 9 an Organisation?",Yes,m.0100dy 9 is a Organisation.,True
23,Bellevue Ohio Police Department is an Organisation.,Bellevue Ohio Police Department is the same as m.0100gntc.,"Given the previous statements, is m.0100gntc an Organisation?",Yes,m.0100gntc is a Organisation.,True
24,Matthew Schure is a Person.,Matthew Schure is the same as m.0100h0c0.,"Given the previous statements, is m.0100h0c0 a Person?",Yes,m.0100h0c0 is a Person.,True
25,Matthew Schure is an Animal.,Matthew Schure is the same as m.0100h0c0.,"Given the previous statements, is m.0100h0c0 an Animal?",Yes,m.0100h0c0 is a Animal.,True
26,Matthew Schure is an Eukaryote.,Matthew Schure is the same as m.0100h0c0.,"Given the previous statements, is m.0100h0c0 an Eukaryote?",Yes,m.0100h0c0 is a Eukaryote.,True
27,Gnaphosa fallax is an Eukaryote.,Gnaphosa fallax is the same as m.0100hh4w.,"Given the previous statements, is m.0100hh4w an Eukaryote?",Yes,m.0100hh4w is a Eukaryote.,True
28,Seripha pyrrhocrocis is an Animal.,Seripha pyrrhocrocis is the same as m.0100jps1.,"Given the previous statements, is m.0100jps1 an Animal?",Yes,m.0100jps1 is a Animal.,True
29,Seripha pyrrhocrocis is an Eukaryote.,Seripha pyrrhocrocis is the same as m.0100jps1.,"Given the previous statements, is m.0100jps1 an Eukaryote?",Yes,m.0100jps1 is a Eukaryote.,True
30,Seripha pyrrhocrocis is a Species.,Seripha pyrrhocrocis is the same as m.0100jps1.,"Given the previous statements, is m.0100jps1 a Species?",Yes,m.0100jps1 is a Species.,True
31,Kurt Walter Bachstitz is a Person.,Kurt Walter Bachstitz is the same as m.0100kkwc.,"Given the previous statements, is m.0100kkwc a Person?",Yes,m.0100kkwc is a Person.,True
32,Federal Republic of Mindanao is a Place.,Federal Republic of Mindanao is the same as m.0100l0s7.,"Given the previous statements, is m.0100l0s7 a Place?",Yes,m.0100l0s7 is a Place.,True
33,Federal Republic of Mindanao is a Location.,Federal Republic of Mindanao is the same as m.0100l0s7.,"Given the previous statements, is m.0100l0s7 a Location?",Yes,m.0100l0s7 is a Location.,True
34,Federal Republic of Mindanao is a PopulatedPlace.,Federal Republic of Mindanao is the same as m.0100l0s7.,"Given the previous statements, is m.0100l0s7 a PopulatedPlace?",Yes,m.0100l0s7 is a PopulatedPlace.,True
35,Akio Mimura is a Person.,Akio Mimura is the same as m.0100m10v.,"Given the previous statements, is m.0100m10v a Person?",Yes,m.0100m10v is a Person.,True
36,Tabitha Peterson is a Person.,Tabitha Peterson is the same as m.0100ng8g.,"Given the previous statements, is m.0100ng8g a Person?",Yes,m.0100ng8g is a Person.,True
37,Tabitha Peterson is an Animal.,Tabitha Peterson is the same as m.0100ng8g.,"Given the previous statements, is m.0100ng8g an Animal?",Yes,m.0100ng8g is a Animal.,True
38,Tabitha Peterson is an Athlete.,Tabitha Peterson is the same as m.0100ng8g.,"Given the previous statements, is m.0100ng8g an Athlete?",Yes,m.0100ng8g is a Athlete.,True
39,Mary Hagedorn is a Person.,Mary Hagedorn is the same as m.0100nwpy.,"Given the previous statements, is m.0100nwpy a Person?",Yes,m.0100nwpy is a Person.,True
40,Mary Hagedorn is an Animal.,Mary Hagedorn is the same as m.0100nwpy.,"Given the previous statements, is m.0100nwpy an Animal?",Yes,m.0100nwpy is a Animal.,True
41,Mary Hagedorn is an Eukaryote.,Mary Hagedorn is the same as m.0100nwpy.,"Given the previous statements, is m.0100nwpy an Eukaryote?",Yes,m.0100nwpy is a Eukaryote.,True
42,Allium amphibolum is a Plant.,Allium amphibolum is the same as m.0100pnf2.,"Given the previous statements, is m.0100pnf2 a Plant?",Yes,m.0100pnf2 is a Plant.,True
43,Spilosoma virgulae is an Insect.,Spilosoma virgulae is the same as m.0100pnj1.,"Given the previous statements, is m.0100pnj1 an Insect?",Yes,m.0100pnj1 is a Insect.,True
44,MMM Toamasina is an Agent.,MMM Toamasina is the same as m.0100pzmg.,"Given the previous statements, is m.0100pzmg an Agent?",Yes,m.0100pzmg is a Agent.,True
45,MMM Toamasina is a SportsClub.,MMM Toamasina is the same as m.0100pzmg.,"Given the previous statements, is m.0100pzmg a SportsClub?",Yes,m.0100pzmg is a SportsClub.,True
46,MMM Toamasina is an Organisation.,MMM Toamasina is the same as m.0100pzmg.,"Given the previous statements, is m.0100pzmg an Organisation?",Yes,m.0100pzmg is a Organisation.,True
47,Andrew McLachlan is a Person.,Andrew McLachlan is the same as m.0100qw0m.,"Given the previous statements, is m.0100qw0m a Person?",Yes,m.0100qw0m is a Person.,True
48,Andrew McLachlan is an Animal.,Andrew McLachlan is the same as m.0100qw0m.,"Given the previous statements, is m.0100qw0m an Animal?",Yes,m.0100qw0m is a Animal.,True
49,Andrew McLachlan is an Eukaryote.,Andrew McLachlan is the same as m.0100qw0m.,"Given the previous statements, is m.0100qw0m an Eukaryote?",Yes,m.0100qw0m is a Eukaryote.,True
50,Manuel Gutiérrez de la Concha is a Person.,Manuel Gutiérrez de la Concha is the same as m.0100r 4w.,"Given the previous statements, is m.0100r 4w a Person?",Yes,m.0100r 4w is a Person.,True
51,Niels Jensen is a Person.,Niels Jensen is the same as m.0100rgqh.,"Given the previous statements, is m.0100rgqh a Person?",Yes,m.0100rgqh is a Person.,True
52,Niels Jensen is an Animal.,Niels Jensen is the same as m.0100rgqh.,"Given the previous statements, is m.0100rgqh an Animal?",Yes,m.0100rgqh is a Animal.,True
53,Niels Jensen is an Athlete.,Niels Jensen is the same as m.0100rgqh.,"Given the previous statements, is m.0100rgqh an Athlete?",Yes,m.0100rgqh is a Athlete.,True
54,Men's Roller Derby World Cup is a SocietalEvent.,Men's Roller Derby World Cup is the same as m.0100rpsr.,"Given the previous statements, is m.0100rpsr a SocietalEvent?",Yes,m.0100rpsr is a SocietalEvent.,True
55,Men's Roller Derby World Cup is a Tournament.,Men's Roller Derby World Cup is the same as m.0100rpsr.,"Given the previous statements, is m.0100rpsr a Tournament?",Yes,m.0100rpsr is a Tournament.,True
56,Men's Roller Derby World Cup is an Event.,Men's Roller Derby World Cup is the same as m.0100rpsr.,"Given the previous statements, is m.0100rpsr an Event?",Yes,m.0100rpsr is a Event.,True
57,1981 Campeonato Brasileiro Série B is a SportsTeamSeason.,1981 Campeonato Brasileiro Série B is the same as m.0100s3m6.,"Given the previous statements, is m.0100s3m6 a SportsTeamSeason?",Yes,m.0100s3m6 is a SportsTeamSeason.,True
58,1981 Campeonato Brasileiro Série B is a FootballLeagueSeason.,1981 Campeonato Brasileiro Série B is the same as m.0100s3m6.,"Given the previous statements, is m.0100s3m6 a FootballLeagueSeason?",Yes,m.0100s3m6 is a FootballLeagueSeason.,True
59,1981 Campeonato Brasileiro Série B is a SoccerTournament.,1981 Campeonato Brasileiro Série B is the same as m.0100s3m6.,"Given the previous statements, is m.0100s3m6 a SoccerTournament?",Yes,m.0100s3m6 is a SoccerTournament.,True
60,James B. Hays is a Person.,James B. Hays is the same as m.0100s3x.,"Given the previous statements, is m.0100s3x a Person?",Yes,m.0100s3x is a Person.,True
61,James B. Hays is an Animal.,James B. Hays is the same as m.0100s3x.,"Given the previous statements, is m.0100s3x an Animal?",Yes,m.0100s3x is a Animal.,True
62,James B. Hays is an Eukaryote.,James B. Hays is the same as m.0100s3x.,"Given the previous statements, is m.0100s3x an Eukaryote?",Yes,m.0100s3x is a Eukaryote.,True
63,Lionel Leventhal is an Agent.,Lionel Leventhal is the same as m.0100stbx.,"Given the previous statements, is m.0100stbx an Agent?",Yes,m.0100stbx is a Agent.,True
64,Kawai Thermal Power Station is a Plant.,Kawai Thermal Power Station is the same as m.0100svh0.,"Given the previous statements, is m.0100svh0 a Plant?",Yes,m.0100svh0 is a Plant.,True
65,Laurent Duvernay-Tardif is a Person.,Laurent Duvernay-Tardif is the same as m.0101h9r6.,"Given the previous statements, is m.0101h9r6 a Person?",Yes,m.0101h9r6 is a Person.,True
66,Laurent Duvernay-Tardif is a GridironFootballPlayer.,Laurent Duvernay-Tardif is the same as m.0101h9r6.,"Given the previous statements, is m.0101h9r6 a GridironFootballPlayer?",Yes,m.0101h9r6 is a GridironFootballPlayer.,True
67,Laurent Duvernay-Tardif is an Animal.,Laurent Duvernay-Tardif is the same as m.0101h9r6.,"Given the previous statements, is m.0101h9r6 an Animal?",Yes,m.0101h9r6 is a Animal.,True
68,"Seminole, Texas is a Place.","Seminole, Texas is the same as m.0101l.","Given the previous statements, is m.0101l a Place?",Yes,m.0101l is a Place.,True
69,"Seminole, Texas is a Location.","Seminole, Texas is the same as m.0101l.","Given the previous statements, is m.0101l a Location?",Yes,m.0101l is a Location.,True
70,"Seminole, Texas is a PopulatedPlace.","Seminole, Texas is the same as m.0101l.","Given the previous statements, is m.0101l a PopulatedPlace?",Yes,m.0101l is a PopulatedPlace.,True
71,Nat Robertson is a Person.,Nat Robertson is the same as m.0101r01f.,"Given the previous statements, is m.0101r01f a Person?",Yes,m.0101r01f is a Person.,True
72,Nat Robertson is an OfficeHolder.,Nat Robertson is the same as m.0101r01f.,"Given the previous statements, is m.0101r01f an OfficeHolder?",Yes,m.0101r01f is a OfficeHolder.,True
73,"Sadler, Texas is a Place.","Sadler, Texas is the same as m.0101z1.","Given the previous statements, is m.0101z1 a Place?",Yes,m.0101z1 is a Place.,True
74,"Sadler, Texas is a Location.","Sadler, Texas is the same as m.0101z1.","Given the previous statements, is m.0101z1 a Location?",Yes,m.0101z1 is a Location.,True
75,"Sadler, Texas is a PopulatedPlace.","Sadler, Texas is the same as m.0101z1.","Given the previous statements, is m.0101z1 a PopulatedPlace?",Yes,m.0101z1 is a PopulatedPlace.,True
76,Comparator applications is a MilitaryUnit.,Comparator applications is the same as m.01026my9.,"Given the previous statements, is m.01026my9 a MilitaryUnit?",Yes,m.01026my9 is a MilitaryUnit.,True
77,Mahlon DeLong is a Person.,Mahlon DeLong is the same as m.01026vmb.,"Given the previous statements, is m.01026vmb a Person?",Yes,m.01026vmb is a Person.,True
78,Mahlon DeLong is an Animal.,Mahlon DeLong is the same as m.01026vmb.,"Given the previous statements, is m.01026vmb an Animal?",Yes,m.01026vmb is a Animal.,True
79,Mahlon DeLong is an Eukaryote.,Mahlon DeLong is the same as m.01026vmb.,"Given the previous statements, is m.01026vmb an Eukaryote?",Yes,m.01026vmb is a Eukaryote.,True
80,Carmen J. Cavezza is a Person.,Carmen J. Cavezza is the same as m.01026vyx.,"Given the previous statements, is m.01026vyx a Person?",Yes,m.01026vyx is a Person.,True
81,Carmen J. Cavezza is an Animal.,Carmen J. Cavezza is the same as m.01026vyx.,"Given the previous statements, is m.01026vyx an Animal?",Yes,m.01026vyx is a Animal.,True
82,Carmen J. Cavezza is an Eukaryote.,Carmen J. Cavezza is the same as m.01026vyx.,"Given the previous statements, is m.01026vyx an Eukaryote?",Yes,m.01026vyx is a Eukaryote.,True
83,Tito Canepa is a Person.,Tito Canepa is the same as m.01026wn3.,"Given the previous statements, is m.01026wn3 a Person?",Yes,m.01026wn3 is a Person.,True
84,Tito Canepa is an Animal.,Tito Canepa is the same as m.01026wn3.,"Given the previous statements, is m.01026wn3 an Animal?",Yes,m.01026wn3 is a Animal.,True
85,Tito Canepa is an Eukaryote.,Tito Canepa is the same as m.01026wn3.,"Given the previous statements, is m.01026wn3 an Eukaryote?",Yes,m.01026wn3 is a Eukaryote.,True
86,Julia Gromyko is a Person.,Julia Gromyko is the same as m.010274ff.,"Given the previous statements, is m.010274ff a Person?",Yes,m.010274ff is a Person.,True
87,Julia Gromyko is an Animal.,Julia Gromyko is the same as m.010274ff.,"Given the previous statements, is m.010274ff an Animal?",Yes,m.010274ff is a Animal.,True
88,Julia Gromyko is an Athlete.,Julia Gromyko is the same as m.010274ff.,"Given the previous statements, is m.010274ff an Athlete?",Yes,m.010274ff is a Athlete.,True
89,Aleksey Pushkov is a Person.,Aleksey Pushkov is the same as m.010274ll.,"Given the previous statements, is m.010274ll a Person?",Yes,m.010274ll is a Person.,True
90,Aleksey Pushkov is an Animal.,Aleksey Pushkov is the same as m.010274ll.,"Given the previous statements, is m.010274ll an Animal?",Yes,m.010274ll is a Animal.,True
91,Aleksey Pushkov is an Eukaryote.,Aleksey Pushkov is the same as m.010274ll.,"Given the previous statements, is m.010274ll an Eukaryote?",Yes,m.010274ll is a Eukaryote.,True
92,Dimitrios Katartzis is a Person.,Dimitrios Katartzis is the same as m.01027q58.,"Given the previous statements, is m.01027q58 a Person?",Yes,m.01027q58 is a Person.,True
93,Capital MetroRapid is a Company.,Capital MetroRapid is the same as m.01028h71.,"Given the previous statements, is m.01028h71 a Company?",Yes,m.01028h71 is a Company.,True
94,Capital MetroRapid is an Agent.,Capital MetroRapid is the same as m.01028h71.,"Given the previous statements, is m.01028h71 an Agent?",Yes,m.01028h71 is a Agent.,True
95,Capital MetroRapid is a PublicTransitSystem.,Capital MetroRapid is the same as m.01028h71.,"Given the previous statements, is m.01028h71 a PublicTransitSystem?",Yes,m.01028h71 is a PublicTransitSystem.,True
96,Denver Mills is a Person.,Denver Mills is the same as m.01028hb8.,"Given the previous statements, is m.01028hb8 a Person?",Yes,m.01028hb8 is a Person.,True
97,Denver Mills is a GridironFootballPlayer.,Denver Mills is the same as m.01028hb8.,"Given the previous statements, is m.01028hb8 a GridironFootballPlayer?",Yes,m.01028hb8 is a GridironFootballPlayer.,True
98,Denver Mills is an Animal.,Denver Mills is the same as m.01028hb8.,"Given the previous statements, is m.01028hb8 an Animal?",Yes,m.01028hb8 is a Animal.,True
99,William Burgess Pryer is a Person.,William Burgess Pryer is the same as m.01028rjp.,"Given the previous statements, is m.01028rjp a Person?",Yes,m.01028rjp is a Person.,True
100,Isonokami no Otomaro is a Person.,Isonokami no Otomaro is the same as m.01028ycq.,"Given the previous statements, is m.01028ycq a Person?",Yes,m.01028ycq is a Person.,True
101,Isonokami no Otomaro is an Animal.,Isonokami no Otomaro is the same as m.01028ycq.,"Given the previous statements, is m.01028ycq an Animal?",Yes,m.01028ycq is a Animal.,True
102,Isonokami no Otomaro is an Eukaryote.,Isonokami no Otomaro is the same as m.01028ycq.,"Given the previous statements, is m.01028ycq an Eukaryote?",Yes,m.01028ycq is a Eukaryote.,True
103,Muangphe language is a Language.,Muangphe language is the same as m.0102938x.,"Given the previous statements, is m.0102938x a Language?",Yes,m.0102938x is a Language.,True
104,Dadar Madgaon JanShatabdi Express is a Ship.,Dadar Madgaon JanShatabdi Express is the same as m.010299hr.,"Given the previous statements, is m.010299hr a Ship?",Yes,m.010299hr is a Ship.,True
105,2014–15 EuroChallenge is a SoccerTournament.,2014–15 EuroChallenge is the same as m.010299nm.,"Given the previous statements, is m.010299nm a SoccerTournament?",Yes,m.010299nm is a SoccerTournament.,True
106,Allium songpanicum is an Eukaryote.,Allium songpanicum is the same as m.01029g v.,"Given the previous statements, is m.01029g v an Eukaryote?",Yes,m.01029g v is a Eukaryote.,True
107,Teracotona subapproximans is an Insect.,Teracotona subapproximans is the same as m.01029y1h.,"Given the previous statements, is m.01029y1h an Insect?",Yes,m.01029y1h is a Insect.,True
108,Wilhelmina Stålberg is a Person.,Wilhelmina Stålberg is the same as m.01029ymb.,"Given the previous statements, is m.01029ymb a Person?",Yes,m.01029ymb is a Person.,True
109,Wilhelmina Stålberg is an Animal.,Wilhelmina Stålberg is the same as m.01029ymb.,"Given the previous statements, is m.01029ymb an Animal?",Yes,m.01029ymb is a Animal.,True
110,Wilhelmina Stålberg is an Eukaryote.,Wilhelmina Stålberg is the same as m.01029ymb.,"Given the previous statements, is m.01029ymb an Eukaryote?",Yes,m.01029ymb is a Eukaryote.,True
111,Szombierki Coal Mine is a Weapon.,Szombierki Coal Mine is the same as m.0102b0ny.,"Given the previous statements, is m.0102b0ny a Weapon?",Yes,m.0102b0ny is a Weapon.,True
112,Sydney Metropolitan Women's Rugby League is an Agent.,Sydney Metropolitan Women's Rugby League is the same as m.0102bmd8.,"Given the previous statements, is m.0102bmd8 an Agent?",Yes,m.0102bmd8 is a Agent.,True
113,Sydney Metropolitan Women's Rugby League is an Event.,Sydney Metropolitan Women's Rugby League is the same as m.0102bmd8.,"Given the previous statements, is m.0102bmd8 an Event?",Yes,m.0102bmd8 is a Event.,True
114,Sydney Metropolitan Women's Rugby League is an Organisation.,Sydney Metropolitan Women's Rugby League is the same as m.0102bmd8.,"Given the previous statements, is m.0102bmd8 an Organisation?",Yes,m.0102bmd8 is a Organisation.,True
115,Knotts Creek-Belleville Archeological Site is a Place.,Knotts Creek-Belleville Archeological Site is the same as m.0102bmnc.,"Given the previous statements, is m.0102bmnc a Place?",Yes,m.0102bmnc is a Place.,True
116,Knotts Creek-Belleville Archeological Site is a Location.,Knotts Creek-Belleville Archeological Site is the same as m.0102bmnc.,"Given the previous statements, is m.0102bmnc a Location?",Yes,m.0102bmnc is a Location.,True
117,Knotts Creek-Belleville Archeological Site is a HistoricPlace.,Knotts Creek-Belleville Archeological Site is the same as m.0102bmnc.,"Given the previous statements, is m.0102bmnc a HistoricPlace?",Yes,m.0102bmnc is a HistoricPlace.,True
118,Spilarctia procedra is an Insect.,Spilarctia procedra is the same as m.0102bmwj.,"Given the previous statements, is m.0102bmwj an Insect?",Yes,m.0102bmwj is a Insect.,True
119,Dan Laak is a Person.,Dan Laak is the same as m.0102bn43.,"Given the previous statements, is m.0102bn43 a Person?",Yes,m.0102bn43 is a Person.,True
120,Spilarctia nobilis is an Insect.,Spilarctia nobilis is the same as m.0102c8n.,"Given the previous statements, is m.0102c8n an Insect?",Yes,m.0102c8n is a Insect.,True
121,Erg is a Ship.,Erg is the same as m.0102c9qk.,"Given the previous statements, is m.0102c9qk a Ship?",Yes,m.0102c9qk is a Ship.,True
122,Filaret Gumilevsky is a Person.,Filaret Gumilevsky is the same as m.0102cvm9.,"Given the previous statements, is m.0102cvm9 a Person?",Yes,m.0102cvm9 is a Person.,True
123,The New Classic Tour is a WomensTennisAssociationTournament.,The New Classic Tour is the same as m.0102cw13.,"Given the previous statements, is m.0102cw13 a WomensTennisAssociationTournament?",Yes,m.0102cw13 is a WomensTennisAssociationTournament.,True
124,Derek DelGaudio is a Person.,Derek DelGaudio is the same as m.0102cx6s.,"Given the previous statements, is m.0102cx6s a Person?",Yes,m.0102cx6s is a Person.,True
125,Derek DelGaudio is an Animal.,Derek DelGaudio is the same as m.0102cx6s.,"Given the previous statements, is m.0102cx6s an Animal?",Yes,m.0102cx6s is a Animal.,True
126,Derek DelGaudio is an Eukaryote.,Derek DelGaudio is the same as m.0102cx6s.,"Given the previous statements, is m.0102cx6s an Eukaryote?",Yes,m.0102cx6s is a Eukaryote.,True
127,Timothy Allen is an Agent.,Timothy Allen is the same as m.0102dmmk.,"Given the previous statements, is m.0102dmmk an Agent?",Yes,m.0102dmmk is a Agent.,True
128,Tenagino Probus is a Person.,Tenagino Probus is the same as m.0102dndz.,"Given the previous statements, is m.0102dndz a Person?",Yes,m.0102dndz is a Person.,True
129,Tenagino Probus is an Animal.,Tenagino Probus is the same as m.0102dndz.,"Given the previous statements, is m.0102dndz an Animal?",Yes,m.0102dndz is a Animal.,True
130,Tenagino Probus is an Eukaryote.,Tenagino Probus is the same as m.0102dndz.,"Given the previous statements, is m.0102dndz an Eukaryote?",Yes,m.0102dndz is a Eukaryote.,True
131,Tiago Leifert is a Person.,Tiago Leifert is the same as m.0102dp1j.,"Given the previous statements, is m.0102dp1j a Person?",Yes,m.0102dp1j is a Person.,True
132,Tiago Leifert is an Animal.,Tiago Leifert is the same as m.0102dp1j.,"Given the previous statements, is m.0102dp1j an Animal?",Yes,m.0102dp1j is a Animal.,True
133,Tiago Leifert is an Eukaryote.,Tiago Leifert is the same as m.0102dp1j.,"Given the previous statements, is m.0102dp1j an Eukaryote?",Yes,m.0102dp1j is a Eukaryote.,True
134,Clifford executive council of Ceylon is a Settlement.,Clifford executive council of Ceylon is the same as m.0102fp0w.,"Given the previous statements, is m.0102fp0w a Settlement?",Yes,m.0102fp0w is a Settlement.,True
135,John Martin is a Person.,John Martin is the same as m.0102g2m9.,"Given the previous statements, is m.0102g2m9 a Person?",Yes,m.0102g2m9 is a Person.,True
136,New Pacific Academy is a SocietalEvent.,New Pacific Academy is the same as m.0102jh9s.,"Given the previous statements, is m.0102jh9s a SocietalEvent?",Yes,m.0102jh9s is a SocietalEvent.,True
137,New Pacific Academy is an AcademicConference.,New Pacific Academy is the same as m.0102jh9s.,"Given the previous statements, is m.0102jh9s an AcademicConference?",Yes,m.0102jh9s is a AcademicConference.,True
138,New Pacific Academy is an EducationalInstitution.,New Pacific Academy is the same as m.0102jh9s.,"Given the previous statements, is m.0102jh9s an EducationalInstitution?",Yes,m.0102jh9s is a EducationalInstitution.,True
139,Coolavin is a Place.,Coolavin is the same as m.0102jjy5.,"Given the previous statements, is m.0102jjy5 a Place?",Yes,m.0102jjy5 is a Place.,True
140,Coolavin is a Location.,Coolavin is the same as m.0102jjy5.,"Given the previous statements, is m.0102jjy5 a Location?",Yes,m.0102jjy5 is a Location.,True
141,Coolavin is a PopulatedPlace.,Coolavin is the same as m.0102jjy5.,"Given the previous statements, is m.0102jjy5 a PopulatedPlace?",Yes,m.0102jjy5 is a PopulatedPlace.,True
142,Tessellota pura is an Insect.,Tessellota pura is the same as m.0102jx1c.,"Given the previous statements, is m.0102jx1c an Insect?",Yes,m.0102jx1c is a Insect.,True
143,Ann Cudd is a Person.,Ann Cudd is the same as m.0102jyp2.,"Given the previous statements, is m.0102jyp2 a Person?",Yes,m.0102jyp2 is a Person.,True
144,Ann Cudd is an Animal.,Ann Cudd is the same as m.0102jyp2.,"Given the previous statements, is m.0102jyp2 an Animal?",Yes,m.0102jyp2 is a Animal.,True
145,Ann Cudd is an Eukaryote.,Ann Cudd is the same as m.0102jyp2.,"Given the previous statements, is m.0102jyp2 an Eukaryote?",Yes,m.0102jyp2 is a Eukaryote.,True
146,Generation Opportunity is an Agent.,Generation Opportunity is the same as m.0102kch3.,"Given the previous statements, is m.0102kch3 an Agent?",Yes,m.0102kch3 is a Agent.,True
147,Generation Opportunity is a Broadcaster.,Generation Opportunity is the same as m.0102kch3.,"Given the previous statements, is m.0102kch3 a Broadcaster?",Yes,m.0102kch3 is a Broadcaster.,True
148,Generation Opportunity is an Organisation.,Generation Opportunity is the same as m.0102kch3.,"Given the previous statements, is m.0102kch3 an Organisation?",Yes,m.0102kch3 is a Organisation.,True
149,Green Party Korea is an Agent.,Green Party Korea is the same as m.0102kdb6.,"Given the previous statements, is m.0102kdb6 an Agent?",Yes,m.0102kdb6 is a Agent.,True
150,Green Party Korea is an Organisation.,Green Party Korea is the same as m.0102kdb6.,"Given the previous statements, is m.0102kdb6 an Organisation?",Yes,m.0102kdb6 is a Organisation.,True
151,Green Party Korea is a PoliticalParty.,Green Party Korea is the same as m.0102kdb6.,"Given the previous statements, is m.0102kdb6 a PoliticalParty?",Yes,m.0102kdb6 is a PoliticalParty.,True
152,Márton Lorentz is a Person.,Márton Lorentz is the same as m.0102kn25.,"Given the previous statements, is m.0102kn25 a Person?",Yes,m.0102kn25 is a Person.,True
153,Márton Lorentz is an Animal.,Márton Lorentz is the same as m.0102kn25.,"Given the previous statements, is m.0102kn25 an Animal?",Yes,m.0102kn25 is a Animal.,True
154,Márton Lorentz is an Athlete.,Márton Lorentz is the same as m.0102kn25.,"Given the previous statements, is m.0102kn25 an Athlete?",Yes,m.0102kn25 is a Athlete.,True
155,Weissella thailandensis is a Bacteria.,Weissella thailandensis is the same as m.0102kn4f.,"Given the previous statements, is m.0102kn4f a Bacteria?",Yes,m.0102kn4f is a Bacteria.,True
156,Weissella thailandensis is a Species.,Weissella thailandensis is the same as m.0102kn4f.,"Given the previous statements, is m.0102kn4f a Species?",Yes,m.0102kn4f is a Species.,True
157,Angie Chen Button is a Person.,Angie Chen Button is the same as m.0102lqbh.,"Given the previous statements, is m.0102lqbh a Person?",Yes,m.0102lqbh is a Person.,True
