ID,triple1,triple2,question,answer,inferred triple,label
37,Galaxy is a subclass of CelestialBody.,CelestialBody is a subclass of Place.,"Given the previous statements, is Galaxy a subclass of Place?",Yes,Galaxy is a subclass of Place.,True
38,Constellation is a subclass of CelestialBody.,CelestialBody is a subclass of Place.,"Given the previous statements, is Constellation a subclass of Place?",Yes,Constellation is a subclass of Place.,True
39,Asteroid is a subclass of CelestialBody.,CelestialBody is a subclass of Place.,"Given the previous statements, is Asteroid a subclass of Place?",Yes,Asteroid is a subclass of Place.,True
40,Planet is a subclass of CelestialBody.,CelestialBody is a subclass of Place.,"Given the previous statements, is Planet a subclass of Place?",Yes,Planet is a subclass of Place.,True
41,Star is a subclass of CelestialBody.,CelestialBody is a subclass of Place.,"Given the previous statements, is Star a subclass of Place?",Yes,Star is a subclass of Place.,True
42,Nebula is a subclass of CelestialBody.,CelestialBody is a subclass of Place.,"Given the previous statements, is Nebula a subclass of Place?",Yes,Nebula is a subclass of Place.,True
43,Satellite is a subclass of CelestialBody.,CelestialBody is a subclass of Place.,"Given the previous statements, is Satellite a subclass of Place?",Yes,Satellite is a subclass of Place.,True
44,Swarm is a subclass of CelestialBody.,CelestialBody is a subclass of Place.,"Given the previous statements, is Swarm a subclass of Place?",Yes,Swarm is a subclass of Place.,True
45,Image is a subclass of Document.,Document is a subclass of Work.,"Given the previous statements, is Image a subclass of Work?",Yes,Image is a subclass of Work.,True
46,Sound is a subclass of Document.,Document is a subclass of Work.,"Given the previous statements, is Sound a subclass of Work?",Yes,Sound is a subclass of Work.,True
47,File is a subclass of Document.,Document is a subclass of Work.,"Given the previous statements, is File a subclass of Work?",Yes,File is a subclass of Work.,True
48,HumanGene is a subclass of Gene.,Gene is a subclass of Biomolecule.,"Given the previous statements, is HumanGene a subclass of Biomolecule?",Yes,HumanGene is a subclass of Biomolecule.,True
49,AmericanFootballPlayer is a subclass of GridironFootballPlayer.,GridironFootballPlayer is a subclass of Athlete.,"Given the previous statements, is AmericanFootballPlayer a subclass of Athlete?",Yes,AmericanFootballPlayer is a subclass of Athlete.,True
50,CanadianFootballPlayer is a subclass of GridironFootballPlayer.,GridironFootballPlayer is a subclass of Athlete.,"Given the previous statements, is CanadianFootballPlayer a subclass of Athlete?",Yes,CanadianFootballPlayer is a subclass of Athlete.,True
51,Band is a subclass of Group.,Group is a subclass of Organisation.,"Given the previous statements, is Band a subclass of Organisation?",Yes,Band is a subclass of Organisation.,True
52,ComedyGroup is a subclass of Group.,Group is a subclass of Organisation.,"Given the previous statements, is ComedyGroup a subclass of Organisation?",Yes,ComedyGroup is a subclass of Organisation.,True
53,RouteOfTransportation is a subclass of Infrastructure.,Infrastructure is a subclass of ArchitecturalStructure.,"Given the previous statements, is RouteOfTransportation a subclass of ArchitecturalStructure?",Yes,RouteOfTransportation is a subclass of ArchitecturalStructure.,True
54,Dam is a subclass of Infrastructure.,Infrastructure is a subclass of ArchitecturalStructure.,"Given the previous statements, is Dam a subclass of ArchitecturalStructure?",Yes,Dam is a subclass of ArchitecturalStructure.,True
55,LaunchPad is a subclass of Infrastructure.,Infrastructure is a subclass of ArchitecturalStructure.,"Given the previous statements, is LaunchPad a subclass of ArchitecturalStructure?",Yes,LaunchPad is a subclass of ArchitecturalStructure.,True
56,Airport is a subclass of Infrastructure.,Infrastructure is a subclass of ArchitecturalStructure.,"Given the previous statements, is Airport a subclass of ArchitecturalStructure?",Yes,Airport is a subclass of ArchitecturalStructure.,True
57,PowerStation is a subclass of Infrastructure.,Infrastructure is a subclass of ArchitecturalStructure.,"Given the previous statements, is PowerStation a subclass of ArchitecturalStructure?",Yes,PowerStation is a subclass of ArchitecturalStructure.,True
58,Station is a subclass of Infrastructure.,Infrastructure is a subclass of ArchitecturalStructure.,"Given the previous statements, is Station a subclass of ArchitecturalStructure?",Yes,Station is a subclass of ArchitecturalStructure.,True
59,Dike is a subclass of Infrastructure.,Infrastructure is a subclass of ArchitecturalStructure.,"Given the previous statements, is Dike a subclass of ArchitecturalStructure?",Yes,Dike is a subclass of ArchitecturalStructure.,True
60,Lock is a subclass of Infrastructure.,Infrastructure is a subclass of ArchitecturalStructure.,"Given the previous statements, is Lock a subclass of ArchitecturalStructure?",Yes,Lock is a subclass of ArchitecturalStructure.,True
61,Port is a subclass of Infrastructure.,Infrastructure is a subclass of ArchitecturalStructure.,"Given the previous statements, is Port a subclass of ArchitecturalStructure?",Yes,Port is a subclass of ArchitecturalStructure.,True
62,RestArea is a subclass of Infrastructure.,Infrastructure is a subclass of ArchitecturalStructure.,"Given the previous statements, is RestArea a subclass of ArchitecturalStructure?",Yes,RestArea is a subclass of ArchitecturalStructure.,True
63,SupremeCourtOfTheUnitedStatesCase is a subclass of LegalCase.,LegalCase is a subclass of Case.,"Given the previous statements, is SupremeCourtOfTheUnitedStatesCase a subclass of Case?",Yes,SupremeCourtOfTheUnitedStatesCase is a subclass of Case.,True
64,MotorcycleRider is a subclass of MotorsportRacer.,MotorsportRacer is a subclass of Athlete.,"Given the previous statements, is MotorcycleRider a subclass of Athlete?",Yes,MotorcycleRider is a subclass of Athlete.,True
65,RacingDriver is a subclass of MotorsportRacer.,MotorsportRacer is a subclass of Athlete.,"Given the previous statements, is RacingDriver a subclass of Athlete?",Yes,RacingDriver is a subclass of Athlete.,True
66,Earthquake is a subclass of NaturalEvent.,NaturalEvent is a subclass of Event.,"Given the previous statements, is Earthquake a subclass of Event?",Yes,Earthquake is a subclass of Event.,True
67,SolarEclipse is a subclass of NaturalEvent.,NaturalEvent is a subclass of Event.,"Given the previous statements, is SolarEclipse a subclass of Event?",Yes,SolarEclipse is a subclass of Event.,True
68,StormSurge is a subclass of NaturalEvent.,NaturalEvent is a subclass of Event.,"Given the previous statements, is StormSurge a subclass of Event?",Yes,StormSurge is a subclass of Event.,True
69,Cave is a subclass of NaturalPlace.,NaturalPlace is a subclass of Place.,"Given the previous statements, is Cave a subclass of Place?",Yes,Cave is a subclass of Place.,True
70,Crater is a subclass of NaturalPlace.,NaturalPlace is a subclass of Place.,"Given the previous statements, is Crater a subclass of Place?",Yes,Crater is a subclass of Place.,True
71,Glacier is a subclass of NaturalPlace.,NaturalPlace is a subclass of Place.,"Given the previous statements, is Glacier a subclass of Place?",Yes,Glacier is a subclass of Place.,True
72,MountainPass is a subclass of NaturalPlace.,NaturalPlace is a subclass of Place.,"Given the previous statements, is MountainPass a subclass of Place?",Yes,MountainPass is a subclass of Place.,True
73,Volcano is a subclass of NaturalPlace.,NaturalPlace is a subclass of Place.,"Given the previous statements, is Volcano a subclass of Place?",Yes,Volcano is a subclass of Place.,True
74,BodyOfWater is a subclass of NaturalPlace.,NaturalPlace is a subclass of Place.,"Given the previous statements, is BodyOfWater a subclass of Place?",Yes,BodyOfWater is a subclass of Place.,True
75,Mountain is a subclass of NaturalPlace.,NaturalPlace is a subclass of Place.,"Given the previous statements, is Mountain a subclass of Place?",Yes,Mountain is a subclass of Place.,True
76,MountainRange is a subclass of NaturalPlace.,NaturalPlace is a subclass of Place.,"Given the previous statements, is MountainRange a subclass of Place?",Yes,MountainRange is a subclass of Place.,True
77,Valley is a subclass of NaturalPlace.,NaturalPlace is a subclass of Place.,"Given the previous statements, is Valley a subclass of Place?",Yes,Valley is a subclass of Place.,True
78,Archipelago is a subclass of NaturalPlace.,NaturalPlace is a subclass of Place.,"Given the previous statements, is Archipelago a subclass of Place?",Yes,Archipelago is a subclass of Place.,True
79,SportsTeamMember is a subclass of OrganisationMember.,OrganisationMember is a subclass of Person.,"Given the previous statements, is SportsTeamMember a subclass of Person?",Yes,SportsTeamMember is a subclass of Person.,True
80,AcademicJournal is a subclass of PeriodicalLiterature.,PeriodicalLiterature is a subclass of WrittenWork.,"Given the previous statements, is AcademicJournal a subclass of WrittenWork?",Yes,AcademicJournal is a subclass of WrittenWork.,True
81,Magazine is a subclass of PeriodicalLiterature.,PeriodicalLiterature is a subclass of WrittenWork.,"Given the previous statements, is Magazine a subclass of WrittenWork?",Yes,Magazine is a subclass of WrittenWork.,True
82,Newspaper is a subclass of PeriodicalLiterature.,PeriodicalLiterature is a subclass of WrittenWork.,"Given the previous statements, is Newspaper a subclass of WrittenWork?",Yes,Newspaper is a subclass of WrittenWork.,True
83,UndergroundJournal is a subclass of PeriodicalLiterature.,PeriodicalLiterature is a subclass of WrittenWork.,"Given the previous statements, is UndergroundJournal a subclass of WrittenWork?",Yes,UndergroundJournal is a subclass of WrittenWork.,True
84,ResearchProject is a subclass of Project.,Project is a subclass of UnitOfWork.,"Given the previous statements, is ResearchProject a subclass of UnitOfWork?",Yes,ResearchProject is a subclass of UnitOfWork.,True
85,CyclingRace is a subclass of Race.,Race is a subclass of SportsEvent.,"Given the previous statements, is CyclingRace a subclass of SportsEvent?",Yes,CyclingRace is a subclass of SportsEvent.,True
86,HorseRace is a subclass of Race.,Race is a subclass of SportsEvent.,"Given the previous statements, is HorseRace a subclass of SportsEvent?",Yes,HorseRace is a subclass of SportsEvent.,True
87,MotorRace is a subclass of Race.,Race is a subclass of SportsEvent.,"Given the previous statements, is MotorRace a subclass of SportsEvent?",Yes,MotorRace is a subclass of SportsEvent.,True
88,AdministrativeRegion is a subclass of Region.,Region is a subclass of PopulatedPlace.,"Given the previous statements, is AdministrativeRegion a subclass of PopulatedPlace?",Yes,AdministrativeRegion is a subclass of PopulatedPlace.,True
89,HistoricalRegion is a subclass of Region.,Region is a subclass of PopulatedPlace.,"Given the previous statements, is HistoricalRegion a subclass of PopulatedPlace?",Yes,HistoricalRegion is a subclass of PopulatedPlace.,True
90,NaturalRegion is a subclass of Region.,Region is a subclass of PopulatedPlace.,"Given the previous statements, is NaturalRegion a subclass of PopulatedPlace?",Yes,NaturalRegion is a subclass of PopulatedPlace.,True
91,RailwayTunnel is a subclass of RouteOfTransportation.,RouteOfTransportation is a subclass of Infrastructure.,"Given the previous statements, is RailwayTunnel a subclass of Infrastructure?",Yes,RailwayTunnel is a subclass of Infrastructure.,True
92,WaterwayTunnel is a subclass of RouteOfTransportation.,RouteOfTransportation is a subclass of Infrastructure.,"Given the previous statements, is WaterwayTunnel a subclass of Infrastructure?",Yes,WaterwayTunnel is a subclass of Infrastructure.,True
93,Bridge is a subclass of RouteOfTransportation.,RouteOfTransportation is a subclass of Infrastructure.,"Given the previous statements, is Bridge a subclass of Infrastructure?",Yes,Bridge is a subclass of Infrastructure.,True
94,RailwayLine is a subclass of RouteOfTransportation.,RouteOfTransportation is a subclass of Infrastructure.,"Given the previous statements, is RailwayLine a subclass of Infrastructure?",Yes,RailwayLine is a subclass of Infrastructure.,True
95,Road is a subclass of RouteOfTransportation.,RouteOfTransportation is a subclass of Infrastructure.,"Given the previous statements, is Road a subclass of Infrastructure?",Yes,Road is a subclass of Infrastructure.,True
96,RoadJunction is a subclass of RouteOfTransportation.,RouteOfTransportation is a subclass of Infrastructure.,"Given the previous statements, is RoadJunction a subclass of Infrastructure?",Yes,RoadJunction is a subclass of Infrastructure.,True
97,RoadTunnel is a subclass of RouteOfTransportation.,RouteOfTransportation is a subclass of Infrastructure.,"Given the previous statements, is RoadTunnel a subclass of Infrastructure?",Yes,RoadTunnel is a subclass of Infrastructure.,True
98,AcademicConference is a subclass of SocietalEvent.,SocietalEvent is a subclass of Event.,"Given the previous statements, is AcademicConference a subclass of Event?",Yes,AcademicConference is a subclass of Event.,True
99,HistoricalEvent is a subclass of SocietalEvent.,SocietalEvent is a subclass of Event.,"Given the previous statements, is HistoricalEvent a subclass of Event?",Yes,HistoricalEvent is a subclass of Event.,True
100,MusicFestival is a subclass of SocietalEvent.,SocietalEvent is a subclass of Event.,"Given the previous statements, is MusicFestival a subclass of Event?",Yes,MusicFestival is a subclass of Event.,True
101,Convention is a subclass of SocietalEvent.,SocietalEvent is a subclass of Event.,"Given the previous statements, is Convention a subclass of Event?",Yes,Convention is a subclass of Event.,True
102,Election is a subclass of SocietalEvent.,SocietalEvent is a subclass of Event.,"Given the previous statements, is Election a subclass of Event?",Yes,Election is a subclass of Event.,True
103,FilmFestival is a subclass of SocietalEvent.,SocietalEvent is a subclass of Event.,"Given the previous statements, is FilmFestival a subclass of Event?",Yes,FilmFestival is a subclass of Event.,True
104,MilitaryConflict is a subclass of SocietalEvent.,SocietalEvent is a subclass of Event.,"Given the previous statements, is MilitaryConflict a subclass of Event?",Yes,MilitaryConflict is a subclass of Event.,True
105,SpaceMission is a subclass of SocietalEvent.,SocietalEvent is a subclass of Event.,"Given the previous statements, is SpaceMission a subclass of Event?",Yes,SpaceMission is a subclass of Event.,True
106,SportsEvent is a subclass of SocietalEvent.,SocietalEvent is a subclass of Event.,"Given the previous statements, is SportsEvent a subclass of Event?",Yes,SportsEvent is a subclass of Event.,True
107,Attack is a subclass of SocietalEvent.,SocietalEvent is a subclass of Event.,"Given the previous statements, is Attack a subclass of Event?",Yes,Attack is a subclass of Event.,True
108,RugbyClub is a subclass of SportsClub.,SportsClub is a subclass of Organisation.,"Given the previous statements, is RugbyClub a subclass of Organisation?",Yes,RugbyClub is a subclass of Organisation.,True
109,SoccerClub is a subclass of SportsClub.,SportsClub is a subclass of Organisation.,"Given the previous statements, is SoccerClub a subclass of Organisation?",Yes,SoccerClub is a subclass of Organisation.,True
110,HockeyClub is a subclass of SportsClub.,SportsClub is a subclass of Organisation.,"Given the previous statements, is HockeyClub a subclass of Organisation?",Yes,HockeyClub is a subclass of Organisation.,True
111,BaseballSeason is a subclass of SportsTeamSeason.,SportsTeamSeason is a subclass of SportsSeason.,"Given the previous statements, is BaseballSeason a subclass of SportsSeason?",Yes,BaseballSeason is a subclass of SportsSeason.,True
112,FootballLeagueSeason is a subclass of SportsTeamSeason.,SportsTeamSeason is a subclass of SportsSeason.,"Given the previous statements, is FootballLeagueSeason a subclass of SportsSeason?",Yes,FootballLeagueSeason is a subclass of SportsSeason.,True
113,NCAATeamSeason is a subclass of SportsTeamSeason.,SportsTeamSeason is a subclass of SportsSeason.,"Given the previous statements, is NCAATeamSeason a subclass of SportsSeason?",Yes,NCAATeamSeason is a subclass of SportsSeason.,True
114,SoccerClubSeason is a subclass of SportsTeamSeason.,SportsTeamSeason is a subclass of SportsSeason.,"Given the previous statements, is SoccerClubSeason a subclass of SportsSeason?",Yes,SoccerClubSeason is a subclass of SportsSeason.,True
115,SoccerLeagueSeason is a subclass of SportsTeamSeason.,SportsTeamSeason is a subclass of SportsSeason.,"Given the previous statements, is SoccerLeagueSeason a subclass of SportsSeason?",Yes,SoccerLeagueSeason is a subclass of SportsSeason.,True
116,GolfTournament is a subclass of Tournament.,Tournament is a subclass of SportsEvent.,"Given the previous statements, is GolfTournament a subclass of SportsEvent?",Yes,GolfTournament is a subclass of SportsEvent.,True
117,SoccerTournament is a subclass of Tournament.,Tournament is a subclass of SportsEvent.,"Given the previous statements, is SoccerTournament a subclass of SportsEvent?",Yes,SoccerTournament is a subclass of SportsEvent.,True
118,TennisTournament is a subclass of Tournament.,Tournament is a subclass of SportsEvent.,"Given the previous statements, is TennisTournament a subclass of SportsEvent?",Yes,TennisTournament is a subclass of SportsEvent.,True
119,WomensTennisAssociationTournament is a subclass of Tournament.,Tournament is a subclass of SportsEvent.,"Given the previous statements, is WomensTennisAssociationTournament a subclass of SportsEvent?",Yes,WomensTennisAssociationTournament is a subclass of SportsEvent.,True
120,Grape is a subclass of FloweringPlant.,FloweringPlant is a subclass of Plant.,"Given the previous statements, is Grape a subclass of Plant?",Yes,Grape is a subclass of Plant.,True
121,Diocese is a subclass of ClericalAdministrativeRegion.,ClericalAdministrativeRegion is a subclass of AdministrativeRegion.,"Given the previous statements, is Diocese a subclass of AdministrativeRegion?",Yes,Diocese is a subclass of AdministrativeRegion.,True
122,Deanery is a subclass of ClericalAdministrativeRegion.,ClericalAdministrativeRegion is a subclass of AdministrativeRegion.,"Given the previous statements, is Deanery a subclass of AdministrativeRegion?",Yes,Deanery is a subclass of AdministrativeRegion.,True
123,Parish is a subclass of ClericalAdministrativeRegion.,ClericalAdministrativeRegion is a subclass of AdministrativeRegion.,"Given the previous statements, is Parish a subclass of AdministrativeRegion?",Yes,Parish is a subclass of AdministrativeRegion.,True
124,MovingImage is a subclass of Image.,Image is a subclass of Document.,"Given the previous statements, is MovingImage a subclass of Document?",Yes,MovingImage is a subclass of Document.,True
125,StillImage is a subclass of Image.,Image is a subclass of Document.,"Given the previous statements, is StillImage a subclass of Document?",Yes,StillImage is a subclass of Document.,True
126,AustralianFootballTeam is a subclass of SportsTeam.,SportsTeam is a subclass of Organisation.,"Given the previous statements, is AustralianFootballTeam a subclass of Organisation?",Yes,AustralianFootballTeam is a subclass of Organisation.,True
127,FormulaOneTeam is a subclass of SportsTeam.,SportsTeam is a subclass of Organisation.,"Given the previous statements, is FormulaOneTeam a subclass of Organisation?",Yes,FormulaOneTeam is a subclass of Organisation.,True
128,HandballTeam is a subclass of SportsTeam.,SportsTeam is a subclass of Organisation.,"Given the previous statements, is HandballTeam a subclass of Organisation?",Yes,HandballTeam is a subclass of Organisation.,True
129,CricketTeam is a subclass of SportsTeam.,SportsTeam is a subclass of Organisation.,"Given the previous statements, is CricketTeam a subclass of Organisation?",Yes,CricketTeam is a subclass of Organisation.,True
130,SpeedwayTeam is a subclass of SportsTeam.,SportsTeam is a subclass of Organisation.,"Given the previous statements, is SpeedwayTeam a subclass of Organisation?",Yes,SpeedwayTeam is a subclass of Organisation.,True
131,BasketballTeam is a subclass of SportsTeam.,SportsTeam is a subclass of Organisation.,"Given the previous statements, is BasketballTeam a subclass of Organisation?",Yes,BasketballTeam is a subclass of Organisation.,True
132,CyclingTeam is a subclass of SportsTeam.,SportsTeam is a subclass of Organisation.,"Given the previous statements, is CyclingTeam a subclass of Organisation?",Yes,CyclingTeam is a subclass of Organisation.,True
133,HockeyTeam is a subclass of SportsTeam.,SportsTeam is a subclass of Organisation.,"Given the previous statements, is HockeyTeam a subclass of Organisation?",Yes,HockeyTeam is a subclass of Organisation.,True
134,AmericanFootballTeam is a subclass of SportsTeam.,SportsTeam is a subclass of Organisation.,"Given the previous statements, is AmericanFootballTeam a subclass of Organisation?",Yes,AmericanFootballTeam is a subclass of Organisation.,True
135,BaseballTeam is a subclass of SportsTeam.,SportsTeam is a subclass of Organisation.,"Given the previous statements, is BaseballTeam a subclass of Organisation?",Yes,BaseballTeam is a subclass of Organisation.,True
136,BiologicalDatabase is a subclass of Database.,Database is a subclass of Work.,"Given the previous statements, is BiologicalDatabase a subclass of Work?",Yes,BiologicalDatabase is a subclass of Work.,True
137,حیاتیاتی'ریکارڈرز پر مبنی ایک فائل' is a subclass of Database.,Database is a subclass of Work.,"Given the previous statements, is حیاتیاتی'ریکارڈرز پر مبنی ایک فائل' a subclass of Work?",Yes,حیاتیاتی'ریکارڈرز پر مبنی ایک فائل' is a subclass of Work.,True
138,RaceTrack is a subclass of SportFacility.,SportFacility is a subclass of ArchitecturalStructure.,"Given the previous statements, is RaceTrack a subclass of ArchitecturalStructure?",Yes,RaceTrack is a subclass of ArchitecturalStructure.,True
139,CricketGround is a subclass of SportFacility.,SportFacility is a subclass of ArchitecturalStructure.,"Given the previous statements, is CricketGround a subclass of ArchitecturalStructure?",Yes,CricketGround is a subclass of ArchitecturalStructure.,True
140,GolfCourse is a subclass of SportFacility.,SportFacility is a subclass of ArchitecturalStructure.,"Given the previous statements, is GolfCourse a subclass of ArchitecturalStructure?",Yes,GolfCourse is a subclass of ArchitecturalStructure.,True
141,SkiArea is a subclass of SportFacility.,SportFacility is a subclass of ArchitecturalStructure.,"Given the previous statements, is SkiArea a subclass of ArchitecturalStructure?",Yes,SkiArea is a subclass of ArchitecturalStructure.,True
142,Canal is a subclass of Stream.,Stream is a subclass of BodyOfWater.,"Given the previous statements, is Canal a subclass of BodyOfWater?",Yes,Canal is a subclass of BodyOfWater.,True
143,River is a subclass of Stream.,Stream is a subclass of BodyOfWater.,"Given the previous statements, is River a subclass of BodyOfWater?",Yes,River is a subclass of BodyOfWater.,True
144,Department is a subclass of GovernmentalAdministrativeRegion.,GovernmentalAdministrativeRegion is a subclass of AdministrativeRegion.,"Given the previous statements, is Department a subclass of AdministrativeRegion?",Yes,Department is a subclass of AdministrativeRegion.,True
145,Municipality is a subclass of GovernmentalAdministrativeRegion.,GovernmentalAdministrativeRegion is a subclass of AdministrativeRegion.,"Given the previous statements, is Municipality a subclass of AdministrativeRegion?",Yes,Municipality is a subclass of AdministrativeRegion.,True
146,Arrondissement is a subclass of GovernmentalAdministrativeRegion.,GovernmentalAdministrativeRegion is a subclass of AdministrativeRegion.,"Given the previous statements, is Arrondissement a subclass of AdministrativeRegion?",Yes,Arrondissement is a subclass of AdministrativeRegion.,True
147,Canton is a subclass of GovernmentalAdministrativeRegion.,GovernmentalAdministrativeRegion is a subclass of AdministrativeRegion.,"Given the previous statements, is Canton a subclass of AdministrativeRegion?",Yes,Canton is a subclass of AdministrativeRegion.,True
148,District is a subclass of GovernmentalAdministrativeRegion.,GovernmentalAdministrativeRegion is a subclass of AdministrativeRegion.,"Given the previous statements, is District a subclass of AdministrativeRegion?",Yes,District is a subclass of AdministrativeRegion.,True
149,DistrictWaterBoard is a subclass of GovernmentalAdministrativeRegion.,GovernmentalAdministrativeRegion is a subclass of AdministrativeRegion.,"Given the previous statements, is DistrictWaterBoard a subclass of AdministrativeRegion?",Yes,DistrictWaterBoard is a subclass of AdministrativeRegion.,True
150,MicroRegion is a subclass of GovernmentalAdministrativeRegion.,GovernmentalAdministrativeRegion is a subclass of AdministrativeRegion.,"Given the previous statements, is MicroRegion a subclass of AdministrativeRegion?",Yes,MicroRegion is a subclass of AdministrativeRegion.,True
