ID,triple1,question,answer,inferred triple,label,LLM output
970,Y is different from S.,"Given the previous statements, is S diferent from Y?",Yes,S is different from Y.,True,Yes
1509,M is different from M.,"Given the previous statements, is J different from M?",No,J is not different from M.,False,Yes
1727,S is different from S.,"Given the previous statements, is M different from S?",No,M is not different from S.,False,Yes
1356,I is different from I.,"Given the previous statements, is Z different from I?",No,Z is not different from I.,False,Yes
866,V is different from J.,"Given the previous statements, is J diferent from V?",Yes,J is different from V.,True,Yes
1609,P is different from P.,"Given the previous statements, is O different from P?",No,O is not different from P.,False,Yes
465,L is different from R.,"Given the previous statements, is R diferent from L?",Yes,R is different from L.,True,Yes
1859,V is different from V.,"Given the previous statements, is A different from V?",No,A is not different from V.,False,No
813,U is different from E.,"Given the previous statements, is E diferent from U?",Yes,E is different from U.,True,Yes
1877,V is different from V.,"Given the previous statements, is O different from V?",No,O is not different from V.,False,Yes
746,S is different from H.,"Given the previous statements, is H diferent from S?",Yes,H is different from S.,True,Yes
164,E is different from R.,"Given the previous statements, is R diferent from E?",Yes,R is different from E.,True,Yes
1024,A is different from A.,"Given the previous statements, is S different from A?",No,S is not different from A.,False,Yes
1890,W is different from W.,"Given the previous statements, is E different from W?",No,E is not different from W.,False,Yes
1255,G is different from G.,"Given the previous statements, is K different from G?",No,K is not different from G.,False,Yes
600,O is different from Q.,"Given the previous statements, is Q diferent from O?",Yes,Q is different from O.,True,Yes
1207,F is different from F.,"Given the previous statements, is R different from F?",No,R is not different from F.,False,Yes
707,R is different from C.,"Given the previous statements, is C diferent from R?",Yes,C is different from R.,True,Yes
785,T is different from E.,"Given the previous statements, is E diferent from T?",Yes,E is different from T.,True,Yes
224,F is different from G.,"Given the previous statements, is G diferent from F?",Yes,G is different from F.,True,Yes
1766,T is different from T.,"Given the previous statements, is E different from T?",No,E is not different from T.,False,Yes
1581,O is different from O.,"Given the previous statements, is V different from O?",No,V is not different from O.,False,Yes
987,Y is different from E.,"Given the previous statements, is E diferent from Y?",Yes,E is different from Y.,True,Yes
1341,I is different from I.,"Given the previous statements, is L different from I?",No,L is not different from I.,False,Yes
633,P is different from T.,"Given the previous statements, is T diferent from P?",Yes,T is different from P.,True,Yes
1775,T is different from T.,"Given the previous statements, is W different from T?",No,W is not different from T.,False,Yes
1731,S is different from S.,"Given the previous statements, is I different from S?",No,I is not different from S.,False,Yes
167,E is different from L.,"Given the previous statements, is L diferent from E?",Yes,L is different from E.,True,Yes
1493,M is different from M.,"Given the previous statements, is X different from M?",No,X is not different from M.,False,Yes
1536,N is different from N.,"Given the previous statements, is I different from N?",No,I is not different from N.,False,Yes
1866,V is different from V.,"Given the previous statements, is Q different from V?",No,Q is not different from V.,False,Yes
57,B is different from D.,"Given the previous statements, is D diferent from B?",Yes,D is different from B.,True,Yes
915,W is different from E.,"Given the previous statements, is E diferent from W?",Yes,E is different from W.,True,Yes
249,G is different from W.,"Given the previous statements, is W diferent from G?",Yes,W is different from G.,True,Yes
328,I is different from W.,"Given the previous statements, is W diferent from I?",Yes,W is different from I.,True,Yes
151,D is different from R.,"Given the previous statements, is R diferent from D?",Yes,R is different from D.,True,Yes
1490,M is different from M.,"Given the previous statements, is R different from M?",No,R is not different from M.,False,Yes
3,A is different from J.,"Given the previous statements, is J diferent from A?",Yes,J is different from A.,True,Yes
1571,O is different from O.,"Given the previous statements, is H different from O?",No,H is not different from O.,False,Yes
757,S is different from J.,"Given the previous statements, is J diferent from S?",Yes,J is different from S.,True,Yes
705,R is different from M.,"Given the previous statements, is M diferent from R?",Yes,M is different from R.,True,Yes
195,E is different from R.,"Given the previous statements, is R diferent from E?",Yes,R is different from E.,True,Yes
1225,F is different from F.,"Given the previous statements, is C different from F?",No,C is not different from F.,False,Yes
243,G is different from S.,"Given the previous statements, is S diferent from G?",Yes,S is different from G.,True,Yes
1811,U is different from U.,"Given the previous statements, is D different from U?",No,D is not different from U.,False,Yes
1210,F is different from F.,"Given the previous statements, is J different from F?",No,J is not different from F.,False,Yes
1117,C is different from C.,"Given the previous statements, is F different from C?",No,F is not different from C.,False,Yes
426,K is different from O.,"Given the previous statements, is O diferent from K?",Yes,O is different from K.,True,Yes
1431,K is different from K.,"Given the previous statements, is R different from K?",No,R is not different from K.,False,No
986,Y is different from W.,"Given the previous statements, is W diferent from Y?",Yes,W is different from Y.,True,Yes
1567,O is different from O.,"Given the previous statements, is L different from O?",No,L is not different from O.,False,Yes
492,M is different from L.,"Given the previous statements, is L diferent from M?",Yes,L is different from M.,True,No
1828,U is different from U.,"Given the previous statements, is H different from U?",No,H is not different from U.,False,Yes
582,O is different from W.,"Given the previous statements, is W diferent from O?",Yes,W is different from O.,True,Yes
732,S is different from P.,"Given the previous statements, is P diferent from S?",Yes,P is different from S.,True,Yes
1384,J is different from J.,"Given the previous statements, is T different from J?",No,T is not different from J.,False,Yes
1660,Q is different from Q.,"Given the previous statements, is L different from Q?",No,L is not different from Q.,False,Yes
666,Q is different from J.,"Given the previous statements, is J diferent from Q?",Yes,J is different from Q.,True,Yes
1527,N is different from N.,"Given the previous statements, is W different from N?",No,W is not different from N.,False,Yes
1116,C is different from C.,"Given the previous statements, is X different from C?",No,X is not different from C.,False,Yes
423,K is different from J.,"Given the previous statements, is J diferent from K?",Yes,J is different from K.,True,Yes
1912,W is different from W.,"Given the previous statements, is Q different from W?",No,Q is not different from W.,False,Yes
342,I is different from K.,"Given the previous statements, is K diferent from I?",Yes,K is different from I.,True,Yes
1395,J is different from J.,"Given the previous statements, is R different from J?",No,R is not different from J.,False,Yes
1791,T is different from T.,"Given the previous statements, is I different from T?",No,I is not different from T.,False,Yes
549,N is different from E.,"Given the previous statements, is E diferent from N?",Yes,E is different from N.,True,Yes
763,T is different from P.,"Given the previous statements, is P diferent from T?",Yes,P is different from T.,True,Yes
1235,F is different from F.,"Given the previous statements, is P different from F?",No,P is not different from F.,False,Yes
261,G is different from C.,"Given the previous statements, is C diferent from G?",Yes,C is different from G.,True,Yes
170,E is different from G.,"Given the previous statements, is G diferent from E?",Yes,G is different from E.,True,Yes
828,U is different from N.,"Given the previous statements, is N diferent from U?",Yes,N is different from U.,True,Yes
1376,J is different from J.,"Given the previous statements, is V different from J?",No,V is not different from J.,False,Yes
1671,Q is different from Q.,"Given the previous statements, is W different from Q?",No,W is not different from Q.,False,Yes
841,V is different from K.,"Given the previous statements, is K diferent from V?",Yes,K is different from V.,True,Yes
444,L is different from E.,"Given the previous statements, is E diferent from L?",Yes,E is different from L.,True,Yes
5,A is different from W.,"Given the previous statements, is W diferent from A?",Yes,W is different from A.,True,Yes
916,W is different from F.,"Given the previous statements, is F diferent from W?",Yes,F is different from W.,True,Yes
1929,X is different from X.,"Given the previous statements, is D different from X?",No,D is not different from X.,False,Yes
84,C is different from K.,"Given the previous statements, is K diferent from C?",Yes,K is different from C.,True,Yes
199,E is different from Z.,"Given the previous statements, is Z diferent from E?",Yes,Z is different from E.,True,Yes
1852,V is different from V.,"Given the previous statements, is D different from V?",No,D is not different from V.,False,Yes
452,L is different from E.,"Given the previous statements, is E diferent from L?",Yes,E is different from L.,True,Yes
727,S is different from O.,"Given the previous statements, is O diferent from S?",Yes,O is different from S.,True,Yes
764,T is different from B.,"Given the previous statements, is B diferent from T?",Yes,B is different from T.,True,Yes
1472,L is different from L.,"Given the previous statements, is B different from L?",No,B is not different from L.,False,Yes
935,X is different from J.,"Given the previous statements, is J diferent from X?",Yes,J is different from X.,True,Yes
379,J is different from X.,"Given the previous statements, is X diferent from J?",Yes,X is different from J.,True,Yes
1475,L is different from L.,"Given the previous statements, is Q different from L?",No,Q is not different from L.,False,Yes
114,C is different from W.,"Given the previous statements, is W diferent from C?",Yes,W is different from C.,True,Yes
977,Y is different from C.,"Given the previous statements, is C diferent from Y?",Yes,C is different from Y.,True,Yes
528,N is different from I.,"Given the previous statements, is I diferent from N?",Yes,I is different from N.,True,Yes
554,N is different from H.,"Given the previous statements, is H diferent from N?",Yes,H is different from N.,True,Yes
889,W is different from J.,"Given the previous statements, is J diferent from W?",Yes,J is different from W.,True,Yes
98,C is different from D.,"Given the previous statements, is D diferent from C?",Yes,D is different from C.,True,Yes
81,C is different from U.,"Given the previous statements, is U diferent from C?",Yes,U is different from C.,True,Yes
479,L is different from Y.,"Given the previous statements, is Y diferent from L?",Yes,Y is different from L.,True,Yes
1345,I is different from I.,"Given the previous statements, is Y different from I?",No,Y is not different from I.,False,Yes
1340,I is different from I.,"Given the previous statements, is D different from I?",No,D is not different from I.,False,Yes
271,G is different from W.,"Given the previous statements, is W diferent from G?",Yes,W is different from G.,True,Yes
1802,U is different from U.,"Given the previous statements, is R different from U?",No,R is not different from U.,False,Yes
385,J is different from F.,"Given the previous statements, is F diferent from J?",Yes,F is different from J.,True,Yes
433,K is different from U.,"Given the previous statements, is U diferent from K?",Yes,U is different from K.,True,Yes
1508,M is different from M.,"Given the previous statements, is D different from M?",No,D is not different from M.,False,Yes
1245,G is different from G.,"Given the previous statements, is C different from G?",No,C is not different from G.,False,Yes
1737,S is different from S.,"Given the previous statements, is A different from S?",No,A is not different from S.,False,Yes
936,X is different from I.,"Given the previous statements, is I diferent from X?",Yes,I is different from X.,True,Yes
1429,K is different from K.,"Given the previous statements, is W different from K?",No,W is not different from K.,False,Yes
1699,R is different from R.,"Given the previous statements, is X different from R?",No,X is not different from R.,False,Yes
1402,K is different from K.,"Given the previous statements, is X different from K?",No,X is not different from K.,False,Yes
305,H is different from L.,"Given the previous statements, is L diferent from H?",Yes,L is different from H.,True,Yes
1204,F is different from F.,"Given the previous statements, is I different from F?",No,I is not different from F.,False,No
1604,P is different from P.,"Given the previous statements, is U different from P?",No,U is not different from P.,False,No
365,J is different from G.,"Given the previous statements, is G diferent from J?",Yes,G is different from J.,True,Yes
567,O is different from S.,"Given the previous statements, is S diferent from O?",Yes,S is different from O.,True,Yes
1036,A is different from A.,"Given the previous statements, is Z different from A?",No,Z is not different from A.,False,Yes
1838,U is different from U.,"Given the previous statements, is K different from U?",No,K is not different from U.,False,Yes
1704,R is different from R.,"Given the previous statements, is O different from R?",No,O is not different from R.,False,Yes
1290,H is different from H.,"Given the previous statements, is A different from H?",No,A is not different from H.,False,No
692,R is different from B.,"Given the previous statements, is B diferent from R?",Yes,B is different from R.,True,Yes
159,D is different from M.,"Given the previous statements, is M diferent from D?",Yes,M is different from D.,True,Yes
201,F is different from N.,"Given the previous statements, is N diferent from F?",Yes,N is different from F.,True,Yes
1547,N is different from N.,"Given the previous statements, is J different from N?",No,J is not different from N.,False,Yes
1631,P is different from P.,"Given the previous statements, is M different from P?",No,M is not different from P.,False,Yes
739,S is different from E.,"Given the previous statements, is E diferent from S?",Yes,E is different from S.,True,Yes
1113,C is different from C.,"Given the previous statements, is V different from C?",No,V is not different from C.,False,Yes
1343,I is different from I.,"Given the previous statements, is N different from I?",No,N is not different from I.,False,Yes
762,T is different from O.,"Given the previous statements, is O diferent from T?",Yes,O is different from T.,True,Yes
663,Q is different from H.,"Given the previous statements, is H diferent from Q?",Yes,H is different from Q.,True,Yes
295,H is different from E.,"Given the previous statements, is E diferent from H?",Yes,E is different from H.,True,Yes
445,L is different from C.,"Given the previous statements, is C diferent from L?",Yes,C is different from L.,True,Yes
1892,W is different from W.,"Given the previous statements, is S different from W?",No,S is not different from W.,False,Yes
606,P is different from R.,"Given the previous statements, is R diferent from P?",Yes,R is different from P.,True,Yes
1053,B is different from B.,"Given the previous statements, is Y different from B?",No,Y is not different from B.,False,Yes
495,M is different from P.,"Given the previous statements, is P diferent from M?",Yes,P is different from M.,True,Yes
1180,E is different from E.,"Given the previous statements, is P different from E?",No,P is not different from E.,False,Yes
990,Y is different from U.,"Given the previous statements, is U diferent from Y?",Yes,U is different from Y.,True,Yes
58,B is different from P.,"Given the previous statements, is P diferent from B?",Yes,P is different from B.,True,Yes
850,V is different from Q.,"Given the previous statements, is Q diferent from V?",Yes,Q is different from V.,True,Yes
521,N is different from S.,"Given the previous statements, is S diferent from N?",Yes,S is different from N.,True,Yes
1846,V is different from V.,"Given the previous statements, is G different from V?",No,G is not different from V.,False,Yes
1874,V is different from V.,"Given the previous statements, is D different from V?",No,D is not different from V.,False,Yes
1860,V is different from V.,"Given the previous statements, is X different from V?",No,X is not different from V.,False,Yes
609,P is different from M.,"Given the previous statements, is M diferent from P?",Yes,M is different from P.,True,Yes
1390,J is different from J.,"Given the previous statements, is P different from J?",No,P is not different from J.,False,Yes
1760,S is different from S.,"Given the previous statements, is F different from S?",No,F is not different from S.,False,Yes
543,N is different from P.,"Given the previous statements, is P diferent from N?",Yes,P is different from N.,True,Yes
1848,V is different from V.,"Given the previous statements, is Z different from V?",No,Z is not different from V.,False,Yes
228,F is different from D.,"Given the previous statements, is D diferent from F?",Yes,D is different from F.,True,Yes
776,T is different from M.,"Given the previous statements, is M diferent from T?",Yes,M is different from T.,True,Yes
1258,G is different from G.,"Given the previous statements, is Y different from G?",No,Y is not different from G.,False,No
1714,R is different from R.,"Given the previous statements, is J different from R?",No,J is not different from R.,False,Yes
1921,X is different from X.,"Given the previous statements, is S different from X?",No,S is not different from X.,False,Yes
284,H is different from O.,"Given the previous statements, is O diferent from H?",Yes,O is different from H.,True,Yes
1381,J is different from J.,"Given the previous statements, is N different from J?",No,N is not different from J.,False,Yes
206,F is different from Y.,"Given the previous statements, is Y diferent from F?",Yes,Y is different from F.,True,Yes
116,C is different from D.,"Given the previous statements, is D diferent from C?",Yes,D is different from C.,True,Yes
1533,N is different from N.,"Given the previous statements, is X different from N?",No,X is not different from N.,False,Yes
1214,F is different from F.,"Given the previous statements, is N different from F?",No,N is not different from F.,False,Yes
262,G is different from K.,"Given the previous statements, is K diferent from G?",Yes,K is different from G.,True,Yes
397,J is different from C.,"Given the previous statements, is C diferent from J?",Yes,C is different from J.,True,Yes
179,E is different from C.,"Given the previous statements, is C diferent from E?",Yes,C is different from E.,True,Yes
1353,I is different from I.,"Given the previous statements, is Z different from I?",No,Z is not different from I.,False,Yes
491,M is different from I.,"Given the previous statements, is I diferent from M?",Yes,I is different from M.,True,Yes
810,U is different from Y.,"Given the previous statements, is Y diferent from U?",Yes,Y is different from U.,True,Yes
1980,Y is different from Y.,"Given the previous statements, is R different from Y?",No,R is not different from Y.,False,Yes
1853,V is different from V.,"Given the previous statements, is Z different from V?",No,Z is not different from V.,False,Yes
1363,J is different from J.,"Given the previous statements, is V different from J?",No,V is not different from J.,False,Yes
1432,K is different from K.,"Given the previous statements, is F different from K?",No,F is not different from K.,False,Yes
1260,G is different from G.,"Given the previous statements, is H different from G?",No,H is not different from G.,False,Yes
1073,B is different from B.,"Given the previous statements, is W different from B?",No,W is not different from B.,False,Yes
712,R is different from N.,"Given the previous statements, is N diferent from R?",Yes,N is different from R.,True,Yes
1355,I is different from I.,"Given the previous statements, is P different from I?",No,P is not different from I.,False,Yes
1132,D is different from D.,"Given the previous statements, is H different from D?",No,H is not different from D.,False,Yes
1319,H is different from H.,"Given the previous statements, is F different from H?",No,F is not different from H.,False,Yes
1422,K is different from K.,"Given the previous statements, is E different from K?",No,E is not different from K.,False,Yes
542,N is different from S.,"Given the previous statements, is S diferent from N?",Yes,S is different from N.,True,Yes
595,O is different from I.,"Given the previous statements, is I diferent from O?",Yes,I is different from O.,True,No
468,L is different from Q.,"Given the previous statements, is Q diferent from L?",Yes,Q is different from L.,True,Yes
997,Y is different from H.,"Given the previous statements, is H diferent from Y?",Yes,H is different from Y.,True,Yes
381,J is different from Y.,"Given the previous statements, is Y diferent from J?",Yes,Y is different from J.,True,Yes
1263,G is different from G.,"Given the previous statements, is S different from G?",No,S is not different from G.,False,Yes
1380,J is different from J.,"Given the previous statements, is K different from J?",No,K is not different from J.,False,Yes
1628,P is different from P.,"Given the previous statements, is U different from P?",No,U is not different from P.,False,Yes
1683,R is different from R.,"Given the previous statements, is X different from R?",No,X is not different from R.,False,Yes
919,W is different from S.,"Given the previous statements, is S diferent from W?",Yes,S is different from W.,True,Yes
992,Y is different from T.,"Given the previous statements, is T diferent from Y?",Yes,T is different from Y.,True,Yes
148,D is different from M.,"Given the previous statements, is M diferent from D?",Yes,M is different from D.,True,Yes
1539,N is different from N.,"Given the previous statements, is M different from N?",No,M is not different from N.,False,Yes
1442,L is different from L.,"Given the previous statements, is P different from L?",No,P is not different from L.,False,Yes
1142,D is different from D.,"Given the previous statements, is B different from D?",No,B is not different from D.,False,Yes
1986,Y is different from Y.,"Given the previous statements, is R different from Y?",No,R is not different from Y.,False,Yes
899,W is different from X.,"Given the previous statements, is X diferent from W?",Yes,X is different from W.,True,Yes
1477,L is different from L.,"Given the previous statements, is F different from L?",No,F is not different from L.,False,Yes
1033,A is different from A.,"Given the previous statements, is D different from A?",No,D is not different from A.,False,Yes
1963,Y is different from Y.,"Given the previous statements, is M different from Y?",No,M is not different from Y.,False,Yes
976,Y is different from G.,"Given the previous statements, is G diferent from Y?",Yes,G is different from Y.,True,Yes
1910,W is different from W.,"Given the previous statements, is S different from W?",No,S is not different from W.,False,Yes
1215,F is different from F.,"Given the previous statements, is B different from F?",No,B is not different from F.,False,Yes
1502,M is different from M.,"Given the previous statements, is B different from M?",No,B is not different from M.,False,Yes
1079,B is different from B.,"Given the previous statements, is M different from B?",No,M is not different from B.,False,Yes
1257,G is different from G.,"Given the previous statements, is T different from G?",No,T is not different from G.,False,Yes
1876,V is different from V.,"Given the previous statements, is P different from V?",No,P is not different from V.,False,Yes
154,D is different from U.,"Given the previous statements, is U diferent from D?",Yes,U is different from D.,True,Yes
525,N is different from Z.,"Given the previous statements, is Z diferent from N?",Yes,Z is different from N.,True,Yes
1532,N is different from N.,"Given the previous statements, is D different from N?",No,D is not different from N.,False,Yes
761,T is different from M.,"Given the previous statements, is M diferent from T?",Yes,M is different from T.,True,Yes
1163,E is different from E.,"Given the previous statements, is P different from E?",No,P is not different from E.,False,Yes
1905,W is different from W.,"Given the previous statements, is A different from W?",No,A is not different from W.,False,Yes
61,B is different from A.,"Given the previous statements, is A diferent from B?",Yes,A is different from B.,True,Yes
1884,W is different from W.,"Given the previous statements, is D different from W?",No,D is not different from W.,False,No
131,D is different from O.,"Given the previous statements, is O diferent from D?",Yes,O is different from D.,True,Yes
1561,O is different from O.,"Given the previous statements, is M different from O?",No,M is not different from O.,False,Yes
252,G is different from J.,"Given the previous statements, is J diferent from G?",Yes,J is different from G.,True,Yes
138,D is different from V.,"Given the previous statements, is V diferent from D?",Yes,V is different from D.,True,Yes
1186,E is different from E.,"Given the previous statements, is T different from E?",No,T is not different from E.,False,Yes
1708,R is different from R.,"Given the previous statements, is P different from R?",No,P is not different from R.,False,Yes
124,D is different from V.,"Given the previous statements, is V diferent from D?",Yes,V is different from D.,True,Yes
1056,B is different from B.,"Given the previous statements, is N different from B?",No,N is not different from B.,False,No
562,O is different from Q.,"Given the previous statements, is Q diferent from O?",Yes,Q is different from O.,True,Yes
238,F is different from W.,"Given the previous statements, is W diferent from F?",Yes,W is different from F.,True,Yes
1794,T is different from T.,"Given the previous statements, is C different from T?",No,C is not different from T.,False,Yes
1579,O is different from O.,"Given the previous statements, is F different from O?",No,F is not different from O.,False,Yes
192,E is different from L.,"Given the previous statements, is L diferent from E?",Yes,L is different from E.,True,Yes
169,E is different from B.,"Given the previous statements, is B diferent from E?",Yes,B is different from E.,True,Yes
1224,F is different from F.,"Given the previous statements, is X different from F?",No,X is not different from F.,False,No
1659,Q is different from Q.,"Given the previous statements, is C different from Q?",No,C is not different from Q.,False,Yes
1177,E is different from E.,"Given the previous statements, is V different from E?",No,V is not different from E.,False,Yes
834,U is different from B.,"Given the previous statements, is B diferent from U?",Yes,B is different from U.,True,Yes
460,L is different from E.,"Given the previous statements, is E diferent from L?",Yes,E is different from L.,True,Yes
149,D is different from A.,"Given the previous statements, is A diferent from D?",Yes,A is different from D.,True,Yes
1426,K is different from K.,"Given the previous statements, is U different from K?",No,U is not different from K.,False,Yes
55,B is different from W.,"Given the previous statements, is W diferent from B?",Yes,W is different from B.,True,Yes
1826,U is different from U.,"Given the previous statements, is Z different from U?",No,Z is not different from U.,False,Yes
1599,O is different from O.,"Given the previous statements, is S different from O?",No,S is not different from O.,False,Yes
122,D is different from L.,"Given the previous statements, is L diferent from D?",Yes,L is different from D.,True,Yes
788,T is different from F.,"Given the previous statements, is F diferent from T?",Yes,F is different from T.,True,Yes
112,C is different from R.,"Given the previous statements, is R diferent from C?",Yes,R is different from C.,True,Yes
1829,U is different from U.,"Given the previous statements, is B different from U?",No,B is not different from U.,False,Yes
331,I is different from R.,"Given the previous statements, is R diferent from I?",Yes,R is different from I.,True,Yes
1837,U is different from U.,"Given the previous statements, is I different from U?",No,I is not different from U.,False,Yes
1977,Y is different from Y.,"Given the previous statements, is Z different from Y?",No,Z is not different from Y.,False,Yes
1378,J is different from J.,"Given the previous statements, is N different from J?",No,N is not different from J.,False,Yes
