ID,triple1,question,answer,inferred triple,label,LLM output
1652,Carlos Eduardo is different from Carlos Eduardo.,"Given the previous statement, is Carlos Eduardo Rocha an Carlos Eduardo?",No,Carlos Eduardo Rocha is not different from Carlos Eduardo.,False,"Yes, Carlos Eduardo Rocha is different from Carlos Eduardo."
505,Capitoline Hill is different from Capitol Hill.,"Given the previous statement, is Capitol Hill an Capitoline Hill?",Yes,Capitol Hill is different from Capitoline Hill.,True,"Yes, Capitol Hill is a Capitoline Hill."
385,"Cannon City, Minnesota is different from Canon City.","Given the previous statement, is Canon City an Cannon City, Minnesota?",Yes,"Canon City is different from Cannon City, Minnesota.",True,"Yes, Canon City is a city in Cannon City, Minnesota."
320,Canadian Airlines International is different from Canadian Airways Congo.,"Given the previous statement, is Canadian Airways Congo an Canadian Airlines International?",Yes,Canadian Airways Congo is different from Canadian Airlines International.,True,"Yes, Canadian Airways Congo is an affiliate of Canadian Airlines International."
1551,Carbonate is different from Carbonate.,"Given the previous statement, is Carbon trioxide an Carbonate?",No,Carbon trioxide is not different from Carbonate.,False,"Yes, Carbonate is different from Carbonate. Carbonate is a compound composed of Carbon"
1155,"Callington, South Australia is different from Callington, South Australia.","Given the previous statement, is Cornwall an Callington, South Australia?",No,"Cornwall is not different from Callington, South Australia.",False,"Yes, Callington, South Australia is different from Cornwall."
958,American Micro Devices is different from Advanced Micro Devices.,"Given the previous statement, is Advanced Micro Devices an American Micro Devices?",Yes,Advanced Micro Devices is different from American Micro Devices.,True,"No, Advanced Micro Devices is not an American Micro Devices."
772,"Carroll, New Hampshire is different from Carroll County.","Given the previous statement, is Carroll County an Carroll, New Hampshire?",Yes,"Carroll County is different from Carroll, New Hampshire.",True,"Yes, Carroll County is an Carroll, New Hampshire."
1547,Carbon Canyon Dam is different from Carbon Canyon Dam.,"Given the previous statement, is California an Carbon Canyon Dam?",No,California is not different from Carbon Canyon Dam.,False,"No, California is not an Carbon Canyon Dam."
63,Cairo Ohio River Bridge is different from Cairo Mississippi River Bridge.,"Given the previous statement, is Cairo Mississippi River Bridge an Cairo Ohio River Bridge?",Yes,Cairo Mississippi River Bridge is different from Cairo Ohio River Bridge.,True,"Yes, Cairo Mississippi River Bridge is different from Cairo Ohio River Bridge."
1991,Amicus curiae is different from Amicus curiae.,"Given the previous statement, is Intervention an Amicus curiae?",No,Intervention is not different from Amicus curiae.,False,"Yes, Intervention is an Amicus curiae."
1113,Calendar is different from Calendar.,"Given the previous statement, is Calender an Calendar?",No,Calender is not different from Calendar.,False,"Yes, Calendar is different from Calendar."
1227,Cambuslang Rangers F.C. is different from Cambuslang Rangers F.C..,"Given the previous statement, is Cambuslang F.C. an Cambuslang Rangers F.C.?",No,Cambuslang F.C. is not different from Cambuslang Rangers F.C..,False,no
205,Cambrian is different from Cumbria.,"Given the previous statement, is Cumbria an Cambrian?",Yes,Cumbria is different from Cambrian.,True,"No, Cumbria is not a Cambrian. Cumbria is a"
891,Castles in the Sky is different from Castle.,"Given the previous statement, is Castle an Castles in the Sky?",Yes,Castle is different from Castles in the Sky.,True,"Yes, Castles in the Sky is different from Castle."
793,"Carter, Oklahoma is different from Oklahoma.","Given the previous statement, is Oklahoma an Carter, Oklahoma?",Yes,"Oklahoma is different from Carter, Oklahoma.",True,"Yes, Oklahoma is different from Carter, Oklahoma."
1938,American Austin Car Company is different from American Austin Car Company.,"Given the previous statement, is Austin Automobile Company an American Austin Car Company?",No,Austin Automobile Company is not different from American Austin Car Company.,False,"Yes, Austin Automobile Company is an American Austin Car Company."
1602,Carl Friedrich Schmidt is different from Carl Friedrich Schmidt.,"Given the previous statement, is Carl Friedrich Schmidt an Carl Friedrich Schmidt?",No,Carl Friedrich Schmidt is not different from Carl Friedrich Schmidt.,False,"Yes, Carl Friedrich Schmidt is an Carl Friedrich Schmidt."
718,Carnegie Medal is different from Nonfiction.,"Given the previous statement, is Nonfiction an Carnegie Medal?",Yes,Nonfiction is different from Carnegie Medal.,True,"Yes, Nonfiction is different from the Carnegie Medal."
1523,Captain Qwark is different from Captain Qwark.,"Given the previous statement, is Quark an Captain Qwark?",No,Quark is not different from Captain Qwark.,False,"Yes, Quark is an Captain Qwark."
941,American Bankruptcy Law Journal is different from American Bankruptcy Institute Law Review.,"Given the previous statement, is American Bankruptcy Institute Law Review an American Bankruptcy Law Journal?",Yes,American Bankruptcy Institute Law Review is different from American Bankruptcy Law Journal.,True,"Yes, American Bankruptcy Institute Law Review is a different publication from American Bankrupt"
1430,"Canossa, Edmonton is different from Canossa, Edmonton.","Given the previous statement, is Edmonton an Canossa, Edmonton?",No,"Edmonton is not different from Canossa, Edmonton.",False,"Yes, Edmonton is an Canossa, Edmonton."
1188,Camazepam is different from Camazepam.,"Given the previous statement, is Clobazam an Camazepam?",No,Clobazam is not different from Camazepam.,False,"No, Clobazam is not an equivalent of Camazepam."
653,Carlos Escobar is different from Born 1990).,"Given the previous statement, is Born 1990) an Carlos Escobar?",Yes,Born 1990) is different from Carlos Escobar.,True,"Yes, Born 1990) is an Carlos Escobar."
1378,Cannes is different from Cannes.,"Given the previous statement, is Caen an Cannes?",No,Caen is not different from Cannes.,False,"No, Caen is not an Cannes."
1849,Casper Christensen is different from Casper Christensen.,"Given the previous statement, is Kasper Kristensen an Casper Christensen?",No,Kasper Kristensen is not different from Casper Christensen.,False,"No, Kasper Kristensen is not Casper Christensen."
955,American Journal of Orthodontics and Dentofacial Orthopedics is different from Journal of Orthodontics.,"Given the previous statement, is Journal of Orthodontics an American Journal of Orthodontics and Dentofacial Orthopedics?",Yes,Journal of Orthodontics is different from American Journal of Orthodontics and Dentofacial Orthopedics.,True,"Yes, Journal of Orthodontics is an American Journal of Orthodontics and Dentof"
892,Castles in the Sky is different from The Sky.,"Given the previous statement, is The Sky an Castles in the Sky?",Yes,The Sky is different from Castles in the Sky.,True,"Yes, Castles in the Sky is different from The Sky."
1683,Carlos Rivero is different from Carlos Rivero.,"Given the previous statement, is Carlos Rivera an Carlos Rivero?",No,Carlos Rivera is not different from Carlos Rivero.,False,"Yes, Carlos Rivera is different from Carlos Rivero."
642,Carlos Alberto Abaunza is different from Carlos Abaunza.,"Given the previous statement, is Carlos Abaunza an Carlos Alberto Abaunza?",Yes,Carlos Abaunza is different from Carlos Alberto Abaunza.,True,"Yes, Carlos Alberto Abaunza is different from Carlos Abaunza."
1421,Canon Fodder is different from Canon Fodder.,"Given the previous statement, is Cannon Fodder an Canon Fodder?",No,Cannon Fodder is not different from Canon Fodder.,False,"No, Canon Fodder is not an Canon Fodder."
256,Camoflauge is different from Camouflage.,"Given the previous statement, is Camouflage an Camoflauge?",Yes,Camouflage is different from Camoflauge.,True,"Yes, Camouflage is different from Camouflage."
88,Calbha Mòr is different from Calve Island.,"Given the previous statement, is Calve Island an Calbha Mòr?",Yes,Calve Island is different from Calbha Mòr.,True,"No, Calve Island is not an Calbha Mr."
1009,Cable Building is different from Cable Building.,"Given the previous statement, is Commercial Cable Company Building an Cable Building?",No,Commercial Cable Company Building is not different from Cable Building.,False,"Yes, Commercial Cable Company Building is a type of cable building."
384,Cannon is different from Cannons.,"Given the previous statement, is Cannons an Cannon?",Yes,Cannons is different from Cannon.,True,"Yes, Cannons are different from Cannons."
1367,Cann River is different from Cann River.,"Given the previous statement, is Cann River East Branch an Cann River?",No,Cann River East Branch is not different from Cann River.,False,"Yes, Cann River East Branch is an Cann River."
105,"Caledon, Ontario is different from Ontario.","Given the previous statement, is Ontario an Caledon, Ontario?",Yes,"Ontario is different from Caledon, Ontario.",True,"No, Caledon, Ontario is not the same as Ontario."
120,"Calhoun, West Virginia is different from Calhoun County.","Given the previous statement, is Calhoun County an Calhoun, West Virginia?",Yes,"Calhoun County is different from Calhoun, West Virginia.",True,"No, Calhoun County is not the same as Calhoun, West Virginia."
1121,"Calhoun County, Georgia is different from Calhoun County, Georgia.","Given the previous statement, is Georgia an Calhoun County, Georgia?",No,"Georgia is not different from Calhoun County, Georgia.",False,"No, Georgia is not Calhoun County, Georgia."
1516,Captain Earth is different from Captain Earth.,"Given the previous statement, is Captain Planet an Captain Earth?",No,Captain Planet is not different from Captain Earth.,False,"Yes, Captain Earth is different from Captain Planet."
289,Campus climate is different from School climate.,"Given the previous statement, is School climate an Campus climate?",Yes,School climate is different from Campus climate.,True,"Yes, Campus climate is different from School climate."
119,"Calhoun, West Virginia is different from West Virginia.","Given the previous statement, is West Virginia an Calhoun, West Virginia?",Yes,"West Virginia is different from Calhoun, West Virginia.",True,"No, West Virginia is not Calhoun, West Virginia."
1609,Carl Lutz is different from Carl Lutz.,"Given the previous statement, is Karl Lutz an Carl Lutz?",No,Karl Lutz is not different from Carl Lutz.,False,"No, Carl Lutz is not Carl Lutz."
388,"Cannon Creek, Queensland is different from Cannon Creek.","Given the previous statement, is Cannon Creek an Cannon Creek, Queensland?",Yes,"Cannon Creek is different from Cannon Creek, Queensland.",True,"Yes, Cannon Creek is different from Cannon Creek, Queensland."
564,Card sorting is different from Card sorter.,"Given the previous statement, is Card sorter an Card sorting?",Yes,Card sorter is different from Card sorting.,True,"Yes, Card sorter is an example of Card sorting."
890,Castles in the Air is different from The Sky.,"Given the previous statement, is The Sky an Castles in the Air?",Yes,The Sky is different from Castles in the Air.,True,"Yes, Castles in the Air is different from The Sky."
1701,Carly Phillips is different from Carly Phillips.,"Given the previous statement, is Wilson Phillips an Carly Phillips?",No,Wilson Phillips is not different from Carly Phillips.,False,"No, Wilson Phillips is not Carly Phillips."
128,California College of the Arts is different from California Institute of the Arts.,"Given the previous statement, is California Institute of the Arts an California College of the Arts?",Yes,California Institute of the Arts is different from California College of the Arts.,True,"No, California Institute of the Arts is not an California College of the Arts."
1952,American Job is different from American Job.,"Given the previous statement, is American Jobs an American Job?",No,American Jobs is not different from American Job.,False,"Yes, American Jobs is an American Job."
1881,Castle of Lousã is different from Castle of Lousã.,"Given the previous statement, is Castelo da Lousa an Castle of Lousã?",No,Castelo da Lousa is not different from Castle of Lousã.,False,"Yes, Castelo da Lousa is an example of a Castle of Lous"
1698,Carlson's theorem is different from Carlson's theorem.,"Given the previous statement, is Carleson's theorem an Carlson's theorem?",No,Carleson's theorem is not different from Carlson's theorem.,False,"No, Carlson's theorem is not Carlson's theore"
1806,Cartoon Art Museum is different from Cartoon Art Museum.,"Given the previous statement, is The Cartoon Museum an Cartoon Art Museum?",No,The Cartoon Museum is not different from Cartoon Art Museum.,False,"Yes, The Cartoon Museum is an Cartoon Art Museum."
1049,Cagayan Valley is different from Cagayan Valley.,"Given the previous statement, is Cagayan an Cagayan Valley?",No,Cagayan is not different from Cagayan Valley.,False,"No, Cagayan is not an Cagayan Valley."
957,American Merchant Marine Veterans Memorial is different from American Merchant Mariners' Memorial.,"Given the previous statement, is American Merchant Mariners' Memorial an American Merchant Marine Veterans Memorial?",Yes,American Merchant Mariners' Memorial is different from American Merchant Marine Veterans Memorial.,True,"Yes, American Merchant Mariners' Memorial is different from American Merchant Marine Veterans Memorial."
733,Carol Vaness is different from Vanes Martirosyan.,"Given the previous statement, is Vanes Martirosyan an Carol Vaness?",Yes,Vanes Martirosyan is different from Carol Vaness.,True,"No, Vanes Martinirosyan is not Carol Vaness."
617,Carle Augustus Woodruff is different from Charles Albert Woodruff.,"Given the previous statement, is Charles Albert Woodruff an Carle Augustus Woodruff?",Yes,Charles Albert Woodruff is different from Carle Augustus Woodruff.,True,"Yes, Charles Albert Woodruff is different from Carle Augustus Woodruff."
261,Camp George G. Meade is different from 1913 Gettysburg reunion.,"Given the previous statement, is 1913 Gettysburg reunion an Camp George G. Meade?",Yes,1913 Gettysburg reunion is different from Camp George G. Meade.,True,"Yes, Camp George G. Meade is different from 1913 Gettysburg reunion."
776,Carroll House Hotel is different from New Carroll House Hotel.,"Given the previous statement, is New Carroll House Hotel an Carroll House Hotel?",Yes,New Carroll House Hotel is different from Carroll House Hotel.,True,"Yes, New Carroll House Hotel is an Carroll House Hotel."
460,Cape Cod Central Railroad is different from Massachusetts Coastal Railroad.,"Given the previous statement, is Massachusetts Coastal Railroad an Cape Cod Central Railroad?",Yes,Massachusetts Coastal Railroad is different from Cape Cod Central Railroad.,True,"Yes, Cape Cod Central Railroad is different from Massachusetts Coastal Railroad."
943,American Board of Anesthesiology is different from American Society of Anesthesiologists.,"Given the previous statement, is American Society of Anesthesiologists an American Board of Anesthesiology?",Yes,American Society of Anesthesiologists is different from American Board of Anesthesiology.,True,"Yes, the American Society of Anesthesiologists is an American Board of Anest"
1105,"Caledon, Ontario is different from Caledon, Ontario.","Given the previous statement, is Ontario an Caledon, Ontario?",No,"Ontario is not different from Caledon, Ontario.",False,"Yes, Ontario is an Caledon, Ontario."
949,American Hockey Coaches Association is different from American Collegiate Hockey Association.,"Given the previous statement, is American Collegiate Hockey Association an American Hockey Coaches Association?",Yes,American Collegiate Hockey Association is different from American Hockey Coaches Association.,True,"No, the American Hockey Coaches Association is not the American Collegiate Hockey Association."
308,Canada's a Drag is different from Canada's Drag Race.,"Given the previous statement, is Canada's Drag Race an Canada's a Drag?",Yes,Canada's Drag Race is different from Canada's a Drag.,True,"Yes, Canada's a drag is different from Canada's Drag Race."
24,"Cadillac, Cadillac is different from Cadillac.","Given the previous statement, is Cadillac an Cadillac, Cadillac?",Yes,"Cadillac is different from Cadillac, Cadillac.",True,"Yes, Cadillac is different from Cadillac."
1764,Carrick is different from Carrick.,"Given the previous statement, is Carrickfergus an Carrick?",No,Carrickfergus is not different from Carrick.,False,"No, Carrickfergus is not an Carrick."
1897,Castra of Buciumi is different from Castra of Buciumi.,"Given the previous statement, is Castra of Bucium an Castra of Buciumi?",No,Castra of Bucium is not different from Castra of Buciumi.,False,"Yes, Castra of Buciumi is different from Castra of Buciumi."
1241,"Cameron County, Texas is different from Cameron County, Texas.","Given the previous statement, is Cameron an Cameron County, Texas?",No,"Cameron is not different from Cameron County, Texas.",False,"No, Cameron County, Texas is not an Cameron County, Texas."
154,"Callington, South Australia is different from Callington.","Given the previous statement, is Callington an Callington, South Australia?",Yes,"Callington is different from Callington, South Australia.",True,"Yes, Callington is different from Callington."
734,Carol Vaness is different from Vanness Wu.,"Given the previous statement, is Vanness Wu an Carol Vaness?",Yes,Vanness Wu is different from Carol Vaness.,True,"No, Vanness Wu is not Carol Vaness."
1103,"Caldwell, Texas is different from Caldwell, Texas.","Given the previous statement, is Caldwell County an Caldwell, Texas?",No,"Caldwell County is not different from Caldwell, Texas.",False,"No, Caldwell County is not an Caldwell, Texas."
1468,Cape St. Mary's is different from Cape St. Mary's.,"Given the previous statement, is Nova Scotia an Cape St. Mary's?",No,Nova Scotia is not different from Cape St. Mary's.,False,"No, Nova Scotia is not an Cape St. Mary's."
1191,Camber Railway is different from Camber Railway.,"Given the previous statement, is Camber Tramway an Camber Railway?",No,Camber Tramway is not different from Camber Railway.,False,"No, Camber Tramway is not an Camber Railway."
832,Casetta is different from Belén Casetta.,"Given the previous statement, is Belén Casetta an Casetta?",Yes,Belén Casetta is different from Casetta.,True,"Yes, Belén Casetta is an Casetta."
249,Camerota is different from Camerota.,"Given the previous statement, is Camerota an Camerota?",Yes,Camerota is different from Camerota.,True,"No, Camerota is not an Camerota."
179,Calypso is different from Callisto.,"Given the previous statement, is Callisto an Calypso?",Yes,Callisto is different from Calypso.,True,"Yes, Callisto is different from Calypso."
13,Cabó is different from Cabo.,"Given the previous statement, is Cabo an Cabó?",Yes,Cabo is different from Cabó.,True,"No, Cabo is not an Cabo."
974,American Tennis Association is different from United States Tennis Association.,"Given the previous statement, is United States Tennis Association an American Tennis Association?",Yes,United States Tennis Association is different from American Tennis Association.,True,"Yes, the United States Tennis Association is an American Tennis Association."
1005,Cabangan is different from Cabangan.,"Given the previous statement, is Cabagan an Cabangan?",No,Cabagan is not different from Cabangan.,False,"Yes, Cabagan is different from Cabangan."
1294,Can't Get You Out of My Head is different from Can't Get You Out of My Head.,"Given the previous statement, is Can't Get It Out of My Head an Can't Get You Out of My Head?",No,Can't Get It Out of My Head is not different from Can't Get You Out of My Head.,False,"Yes, Can't Get It Out of My Head is different from Can't Get You"
122,"Calhoun County, Georgia is different from Calhoun.","Given the previous statement, is Calhoun an Calhoun County, Georgia?",Yes,"Calhoun is different from Calhoun County, Georgia.",True,"No, Calhoun County, Georgia is not the same as Calhoun."
329,Canadian Junior Hockey League is different from Canadian Major Junior Hockey League.,"Given the previous statement, is Canadian Major Junior Hockey League an Canadian Junior Hockey League?",Yes,Canadian Major Junior Hockey League is different from Canadian Junior Hockey League.,True,"Yes, the Canadian Junior Hockey League is different from the Canadian Major Junior Hockey League."
1614,Carl Schmidt is different from Carl Schmidt.,"Given the previous statement, is Karl Schmid an Carl Schmidt?",No,Karl Schmid is not different from Carl Schmidt.,False,"No, Carl Schmidt is not Carl Schmidt."
271,"Camp Mountain, Queensland is different from Queensland.","Given the previous statement, is Queensland an Camp Mountain, Queensland?",Yes,"Queensland is different from Camp Mountain, Queensland.",True,"Yes, Camp Mountain, Queensland is different from Queensland."
918,Ameba is different from Ameba TV.,"Given the previous statement, is Ameba TV an Ameba?",Yes,Ameba TV is different from Ameba.,True,"Yes, Ameba TV is an Ameba."
528,CarMax is different from Carmex.,"Given the previous statement, is Carmex an CarMax?",Yes,Carmex is different from CarMax.,True,"Yes, CarMax is different from Carmex. Carmex is a car dealership"
27,Cadillac-en-Fronsadais is different from Gironde.,"Given the previous statement, is Gironde an Cadillac-en-Fronsadais?",Yes,Gironde is different from Cadillac-en-Fronsadais.,True,"Yes, Gironde is an Cadillac-en-Fronsadais."
1072,Cal Murphy is different from Cal Murphy.,"Given the previous statement, is Calvin Murphy an Cal Murphy?",No,Calvin Murphy is not different from Cal Murphy.,False,"No, Calvin Murphy is not an Cal Murphy."
1975,American University of London is different from American University of London.,"Given the previous statement, is University of London an American University of London?",No,University of London is not different from American University of London.,False,"Yes, University of London is an American University of London."
671,Carlos Martínez is different from Carlos Martínez (pitcher.,"Given the previous statement, is Carlos Martínez (pitcher an Carlos Martínez?",Yes,Carlos Martínez (pitcher is different from Carlos Martínez.,True,"Yes, Carlos Marnez (pitcher) is different from Carlos Marnez."
1057,Cai Chang is different from Cai Chang.,"Given the previous statement, is Cai Cheng an Cai Chang?",No,Cai Cheng is not different from Cai Chang.,False,"No, Cai Cheng is not an Cai Chang."
244,Cameron Island is different from Antarctica.,"Given the previous statement, is Antarctica an Cameron Island?",Yes,Antarctica is different from Cameron Island.,True,"Yes, Antarctica is an Cameron Island."
1599,Carl Edwards Jr. is different from Carl Edwards Jr..,"Given the previous statement, is Carl Edwards an Carl Edwards Jr.?",No,Carl Edwards is not different from Carl Edwards Jr..,False,"Yes, Carl Edwards Jr. is different from Carl Edwards."
52,Cagua is different from Puerto Rico.,"Given the previous statement, is Puerto Rico an Cagua?",Yes,Puerto Rico is different from Cagua.,True,"No, Cagua is not a country."
164,"Caln Township, Chester County, Pennsylvania is different from West Caln Township.","Given the previous statement, is West Caln Township an Caln Township, Chester County, Pennsylvania?",Yes,"West Caln Township is different from Caln Township, Chester County, Pennsylvania.",True,"Yes, West Caln Township is different from Caln Township, Chester County, Pennsylvania."
990,Amica Chips–Tacconi Sport is different from Amica Chips–Knauf.,"Given the previous statement, is Amica Chips–Knauf an Amica Chips–Tacconi Sport?",Yes,Amica Chips–Knauf is different from Amica Chips–Tacconi Sport.,True,"Yes, Amica Chips–Knauf is an Amica Chips–Tacco"
437,"Canton, Ohio is different from Ohio.","Given the previous statement, is Ohio an Canton, Ohio?",Yes,"Ohio is different from Canton, Ohio.",True,"No, Canton, Ohio is not different from Ohio."
