ID,triple1,triple2,triple3,question,answer,inferred triple,label
72,A J 9.,N J 9.,J is a functional property.,"Given the previous statements, is N the same as A?",Yes,N is the same as A.,True
73,A G 77.,J G 77.,G is a functional property.,"Given the previous statements, is J the same as A?",Yes,J is the same as A.,True
74,A C 32.,B C 32.,C is a functional property.,"Given the previous statements, is B the same as A?",Yes,B is the same as A.,True
75,A H 98.,Z H 98.,H is a functional property.,"Given the previous statements, is Z the same as A?",Yes,Z is the same as A.,True
76,A G 18.,I G 18.,G is a functional property.,"Given the previous statements, is I the same as A?",Yes,I is the same as A.,True
77,A B 40.,P B 40.,B is a functional property.,"Given the previous statements, is P the same as A?",Yes,P is the same as A.,True
78,A Z 5.,S Z 5.,Z is a functional property.,"Given the previous statements, is S the same as A?",Yes,S is the same as A.,True
79,A J 36.,G J 36.,J is a functional property.,"Given the previous statements, is G the same as A?",Yes,G is the same as A.,True
80,A E 68.,U E 68.,E is a functional property.,"Given the previous statements, is U the same as A?",Yes,U is the same as A.,True
81,A F 12.,P F 12.,F is a functional property.,"Given the previous statements, is P the same as A?",Yes,P is the same as A.,True
82,A P 1.,C P 1.,P is a functional property.,"Given the previous statements, is C the same as A?",Yes,C is the same as A.,True
83,A I 13.,V I 13.,I is a functional property.,"Given the previous statements, is V the same as A?",Yes,V is the same as A.,True
84,A Z 68.,H Z 68.,Z is a functional property.,"Given the previous statements, is H the same as A?",Yes,H is the same as A.,True
85,A C 41.,M C 41.,C is a functional property.,"Given the previous statements, is M the same as A?",Yes,M is the same as A.,True
86,A J 19.,V J 19.,J is a functional property.,"Given the previous statements, is V the same as A?",Yes,V is the same as A.,True
87,A T 15.,P T 15.,T is a functional property.,"Given the previous statements, is P the same as A?",Yes,P is the same as A.,True
88,A C 100.,S C 100.,C is a functional property.,"Given the previous statements, is S the same as A?",Yes,S is the same as A.,True
89,A X 47.,S X 47.,X is a functional property.,"Given the previous statements, is S the same as A?",Yes,S is the same as A.,True
90,A D 36.,R D 36.,D is a functional property.,"Given the previous statements, is R the same as A?",Yes,R is the same as A.,True
91,A S 28.,K S 28.,S is a functional property.,"Given the previous statements, is K the same as A?",Yes,K is the same as A.,True
92,A I 42.,M I 42.,I is a functional property.,"Given the previous statements, is M the same as A?",Yes,M is the same as A.,True
93,A L 69.,Z L 69.,L is a functional property.,"Given the previous statements, is Z the same as A?",Yes,Z is the same as A.,True
94,A G 13.,E G 13.,G is a functional property.,"Given the previous statements, is E the same as A?",Yes,E is the same as A.,True
95,A K 77.,R K 77.,K is a functional property.,"Given the previous statements, is R the same as A?",Yes,R is the same as A.,True
96,A W 30.,Z W 30.,W is a functional property.,"Given the previous statements, is Z the same as A?",Yes,Z is the same as A.,True
97,A Z 27.,S Z 27.,Z is a functional property.,"Given the previous statements, is S the same as A?",Yes,S is the same as A.,True
98,A C 55.,M C 55.,C is a functional property.,"Given the previous statements, is M the same as A?",Yes,M is the same as A.,True
99,A I 74.,Z I 74.,I is a functional property.,"Given the previous statements, is Z the same as A?",Yes,Z is the same as A.,True
100,A C 11.,J C 11.,C is a functional property.,"Given the previous statements, is J the same as A?",Yes,J is the same as A.,True
101,B E 18.,S E 18.,E is a functional property.,"Given the previous statements, is S the same as B?",Yes,S is the same as B.,True
102,B Y 72.,E Y 72.,Y is a functional property.,"Given the previous statements, is E the same as B?",Yes,E is the same as B.,True
103,B P 48.,V P 48.,P is a functional property.,"Given the previous statements, is V the same as B?",Yes,V is the same as B.,True
104,B N 42.,C N 42.,N is a functional property.,"Given the previous statements, is C the same as B?",Yes,C is the same as B.,True
105,B R 43.,I R 43.,R is a functional property.,"Given the previous statements, is I the same as B?",Yes,I is the same as B.,True
106,B Q 36.,U Q 36.,Q is a functional property.,"Given the previous statements, is U the same as B?",Yes,U is the same as B.,True
107,B Y 73.,J Y 73.,Y is a functional property.,"Given the previous statements, is J the same as B?",Yes,J is the same as B.,True
108,B K 43.,R K 43.,K is a functional property.,"Given the previous statements, is R the same as B?",Yes,R is the same as B.,True
109,B S 41.,K S 41.,S is a functional property.,"Given the previous statements, is K the same as B?",Yes,K is the same as B.,True
110,B D 15.,W D 15.,D is a functional property.,"Given the previous statements, is W the same as B?",Yes,W is the same as B.,True
111,B Q 3.,P Q 3.,Q is a functional property.,"Given the previous statements, is P the same as B?",Yes,P is the same as B.,True
112,B C 71.,Z C 71.,C is a functional property.,"Given the previous statements, is Z the same as B?",Yes,Z is the same as B.,True
113,B J 43.,D J 43.,J is a functional property.,"Given the previous statements, is D the same as B?",Yes,D is the same as B.,True
114,B C 21.,W C 21.,C is a functional property.,"Given the previous statements, is W the same as B?",Yes,W is the same as B.,True
115,B E 56.,Q E 56.,E is a functional property.,"Given the previous statements, is Q the same as B?",Yes,Q is the same as B.,True
116,B U 21.,M U 21.,U is a functional property.,"Given the previous statements, is M the same as B?",Yes,M is the same as B.,True
117,B I 50.,N I 50.,I is a functional property.,"Given the previous statements, is N the same as B?",Yes,N is the same as B.,True
118,B J 28.,Q J 28.,J is a functional property.,"Given the previous statements, is Q the same as B?",Yes,Q is the same as B.,True
119,B M 81.,X M 81.,M is a functional property.,"Given the previous statements, is X the same as B?",Yes,X is the same as B.,True
120,B V 8.,E V 8.,V is a functional property.,"Given the previous statements, is E the same as B?",Yes,E is the same as B.,True
121,B L 77.,A L 77.,L is a functional property.,"Given the previous statements, is A the same as B?",Yes,A is the same as B.,True
122,B V 15.,I V 15.,V is a functional property.,"Given the previous statements, is I the same as B?",Yes,I is the same as B.,True
123,B K 1.,I K 1.,K is a functional property.,"Given the previous statements, is I the same as B?",Yes,I is the same as B.,True
124,B D 93.,C D 93.,D is a functional property.,"Given the previous statements, is C the same as B?",Yes,C is the same as B.,True
125,B F 4.,G F 4.,F is a functional property.,"Given the previous statements, is G the same as B?",Yes,G is the same as B.,True
126,B K 16.,U K 16.,K is a functional property.,"Given the previous statements, is U the same as B?",Yes,U is the same as B.,True
127,B M 36.,T M 36.,M is a functional property.,"Given the previous statements, is T the same as B?",Yes,T is the same as B.,True
128,B Q 71.,Y Q 71.,Q is a functional property.,"Given the previous statements, is Y the same as B?",Yes,Y is the same as B.,True
129,B W 93.,P W 93.,W is a functional property.,"Given the previous statements, is P the same as B?",Yes,P is the same as B.,True
130,B O 64.,D O 64.,O is a functional property.,"Given the previous statements, is D the same as B?",Yes,D is the same as B.,True
131,B X 69.,W X 69.,X is a functional property.,"Given the previous statements, is W the same as B?",Yes,W is the same as B.,True
132,B Q 95.,P Q 95.,Q is a functional property.,"Given the previous statements, is P the same as B?",Yes,P is the same as B.,True
133,B C 13.,W C 13.,C is a functional property.,"Given the previous statements, is W the same as B?",Yes,W is the same as B.,True
134,B Y 71.,F Y 71.,Y is a functional property.,"Given the previous statements, is F the same as B?",Yes,F is the same as B.,True
135,B G 70.,E G 70.,G is a functional property.,"Given the previous statements, is E the same as B?",Yes,E is the same as B.,True
136,B R 18.,P R 18.,R is a functional property.,"Given the previous statements, is P the same as B?",Yes,P is the same as B.,True
137,B H 60.,D H 60.,H is a functional property.,"Given the previous statements, is D the same as B?",Yes,D is the same as B.,True
138,B H 62.,M H 62.,H is a functional property.,"Given the previous statements, is M the same as B?",Yes,M is the same as B.,True
139,B O 21.,M O 21.,O is a functional property.,"Given the previous statements, is M the same as B?",Yes,M is the same as B.,True
140,B K 79.,L K 79.,K is a functional property.,"Given the previous statements, is L the same as B?",Yes,L is the same as B.,True
141,B A 65.,N A 65.,A is a functional property.,"Given the previous statements, is N the same as B?",Yes,N is the same as B.,True
142,B M 86.,Z M 86.,M is a functional property.,"Given the previous statements, is Z the same as B?",Yes,Z is the same as B.,True
143,B T 47.,O T 47.,T is a functional property.,"Given the previous statements, is O the same as B?",Yes,O is the same as B.,True
144,B U 68.,W U 68.,U is a functional property.,"Given the previous statements, is W the same as B?",Yes,W is the same as B.,True
145,B U 6.,L U 6.,U is a functional property.,"Given the previous statements, is L the same as B?",Yes,L is the same as B.,True
146,B G 74.,W G 74.,G is a functional property.,"Given the previous statements, is W the same as B?",Yes,W is the same as B.,True
147,B D 93.,P D 93.,D is a functional property.,"Given the previous statements, is P the same as B?",Yes,P is the same as B.,True
148,B S 68.,K S 68.,S is a functional property.,"Given the previous statements, is K the same as B?",Yes,K is the same as B.,True
149,B L 59.,K L 59.,L is a functional property.,"Given the previous statements, is K the same as B?",Yes,K is the same as B.,True
150,B V 67.,F V 67.,V is a functional property.,"Given the previous statements, is F the same as B?",Yes,F is the same as B.,True
151,B W 48.,X W 48.,W is a functional property.,"Given the previous statements, is X the same as B?",Yes,X is the same as B.,True
152,B A 14.,K A 14.,A is a functional property.,"Given the previous statements, is K the same as B?",Yes,K is the same as B.,True
153,B A 53.,M A 53.,A is a functional property.,"Given the previous statements, is M the same as B?",Yes,M is the same as B.,True
154,B O 30.,V O 30.,O is a functional property.,"Given the previous statements, is V the same as B?",Yes,V is the same as B.,True
155,B C 61.,I C 61.,C is a functional property.,"Given the previous statements, is I the same as B?",Yes,I is the same as B.,True
156,B N 86.,Y N 86.,N is a functional property.,"Given the previous statements, is Y the same as B?",Yes,Y is the same as B.,True
157,B H 3.,Z H 3.,H is a functional property.,"Given the previous statements, is Z the same as B?",Yes,Z is the same as B.,True
158,B X 72.,V X 72.,X is a functional property.,"Given the previous statements, is V the same as B?",Yes,V is the same as B.,True
159,B M 91.,S M 91.,M is a functional property.,"Given the previous statements, is S the same as B?",Yes,S is the same as B.,True
160,B O 39.,P O 39.,O is a functional property.,"Given the previous statements, is P the same as B?",Yes,P is the same as B.,True
161,B K 76.,F K 76.,K is a functional property.,"Given the previous statements, is F the same as B?",Yes,F is the same as B.,True
162,B Z 39.,X Z 39.,Z is a functional property.,"Given the previous statements, is X the same as B?",Yes,X is the same as B.,True
163,B O 33.,D O 33.,O is a functional property.,"Given the previous statements, is D the same as B?",Yes,D is the same as B.,True
164,B E 95.,L E 95.,E is a functional property.,"Given the previous statements, is L the same as B?",Yes,L is the same as B.,True
165,B V 27.,W V 27.,V is a functional property.,"Given the previous statements, is W the same as B?",Yes,W is the same as B.,True
166,B I 25.,S I 25.,I is a functional property.,"Given the previous statements, is S the same as B?",Yes,S is the same as B.,True
167,B A 70.,E A 70.,A is a functional property.,"Given the previous statements, is E the same as B?",Yes,E is the same as B.,True
168,B U 79.,Z U 79.,U is a functional property.,"Given the previous statements, is Z the same as B?",Yes,Z is the same as B.,True
169,B I 65.,N I 65.,I is a functional property.,"Given the previous statements, is N the same as B?",Yes,N is the same as B.,True
170,B R 32.,G R 32.,R is a functional property.,"Given the previous statements, is G the same as B?",Yes,G is the same as B.,True
171,B C 27.,G C 27.,C is a functional property.,"Given the previous statements, is G the same as B?",Yes,G is the same as B.,True
172,B M 58.,L M 58.,M is a functional property.,"Given the previous statements, is L the same as B?",Yes,L is the same as B.,True
173,B O 89.,J O 89.,O is a functional property.,"Given the previous statements, is J the same as B?",Yes,J is the same as B.,True
174,B J 18.,I J 18.,J is a functional property.,"Given the previous statements, is I the same as B?",Yes,I is the same as B.,True
175,B Q 98.,W Q 98.,Q is a functional property.,"Given the previous statements, is W the same as B?",Yes,W is the same as B.,True
176,B C 75.,F C 75.,C is a functional property.,"Given the previous statements, is F the same as B?",Yes,F is the same as B.,True
177,B M 87.,R M 87.,M is a functional property.,"Given the previous statements, is R the same as B?",Yes,R is the same as B.,True
178,B E 74.,I E 74.,E is a functional property.,"Given the previous statements, is I the same as B?",Yes,I is the same as B.,True
179,B X 80.,M X 80.,X is a functional property.,"Given the previous statements, is M the same as B?",Yes,M is the same as B.,True
180,B G 66.,M G 66.,G is a functional property.,"Given the previous statements, is M the same as B?",Yes,M is the same as B.,True
181,B R 3.,H R 3.,R is a functional property.,"Given the previous statements, is H the same as B?",Yes,H is the same as B.,True
182,B N 95.,J N 95.,N is a functional property.,"Given the previous statements, is J the same as B?",Yes,J is the same as B.,True
183,B L 96.,R L 96.,L is a functional property.,"Given the previous statements, is R the same as B?",Yes,R is the same as B.,True
184,B Y 66.,S Y 66.,Y is a functional property.,"Given the previous statements, is S the same as B?",Yes,S is the same as B.,True
185,B I 35.,L I 35.,I is a functional property.,"Given the previous statements, is L the same as B?",Yes,L is the same as B.,True
186,B S 29.,K S 29.,S is a functional property.,"Given the previous statements, is K the same as B?",Yes,K is the same as B.,True
187,B Q 55.,D Q 55.,Q is a functional property.,"Given the previous statements, is D the same as B?",Yes,D is the same as B.,True
188,B X 56.,A X 56.,X is a functional property.,"Given the previous statements, is A the same as B?",Yes,A is the same as B.,True
189,B W 1.,N W 1.,W is a functional property.,"Given the previous statements, is N the same as B?",Yes,N is the same as B.,True
190,B P 76.,N P 76.,P is a functional property.,"Given the previous statements, is N the same as B?",Yes,N is the same as B.,True
191,B N 85.,X N 85.,N is a functional property.,"Given the previous statements, is X the same as B?",Yes,X is the same as B.,True
192,B N 21.,C N 21.,N is a functional property.,"Given the previous statements, is C the same as B?",Yes,C is the same as B.,True
193,B U 9.,J U 9.,U is a functional property.,"Given the previous statements, is J the same as B?",Yes,J is the same as B.,True
194,B O 34.,N O 34.,O is a functional property.,"Given the previous statements, is N the same as B?",Yes,N is the same as B.,True
195,B A 69.,N A 69.,A is a functional property.,"Given the previous statements, is N the same as B?",Yes,N is the same as B.,True
196,B U 29.,X U 29.,U is a functional property.,"Given the previous statements, is X the same as B?",Yes,X is the same as B.,True
197,B D 59.,G D 59.,D is a functional property.,"Given the previous statements, is G the same as B?",Yes,G is the same as B.,True
198,B F 39.,P F 39.,F is a functional property.,"Given the previous statements, is P the same as B?",Yes,P is the same as B.,True
199,B W 93.,Y W 93.,W is a functional property.,"Given the previous statements, is Y the same as B?",Yes,Y is the same as B.,True
200,B A 8.,X A 8.,A is a functional property.,"Given the previous statements, is X the same as B?",Yes,X is the same as B.,True
201,C Y 5.,M Y 5.,Y is a functional property.,"Given the previous statements, is M the same as C?",Yes,M is the same as C.,True
202,C J 15.,Z J 15.,J is a functional property.,"Given the previous statements, is Z the same as C?",Yes,Z is the same as C.,True
203,C T 41.,U T 41.,T is a functional property.,"Given the previous statements, is U the same as C?",Yes,U is the same as C.,True
204,C S 87.,G S 87.,S is a functional property.,"Given the previous statements, is G the same as C?",Yes,G is the same as C.,True
205,C E 12.,J E 12.,E is a functional property.,"Given the previous statements, is J the same as C?",Yes,J is the same as C.,True
206,C I 21.,M I 21.,I is a functional property.,"Given the previous statements, is M the same as C?",Yes,M is the same as C.,True
207,C F 55.,D F 55.,F is a functional property.,"Given the previous statements, is D the same as C?",Yes,D is the same as C.,True
208,C M 39.,I M 39.,M is a functional property.,"Given the previous statements, is I the same as C?",Yes,I is the same as C.,True
209,C R 13.,W R 13.,R is a functional property.,"Given the previous statements, is W the same as C?",Yes,W is the same as C.,True
210,C Y 58.,J Y 58.,Y is a functional property.,"Given the previous statements, is J the same as C?",Yes,J is the same as C.,True
211,C H 55.,T H 55.,H is a functional property.,"Given the previous statements, is T the same as C?",Yes,T is the same as C.,True
212,C A 81.,H A 81.,A is a functional property.,"Given the previous statements, is H the same as C?",Yes,H is the same as C.,True
213,C P 65.,Y P 65.,P is a functional property.,"Given the previous statements, is Y the same as C?",Yes,Y is the same as C.,True
214,C L 95.,P L 95.,L is a functional property.,"Given the previous statements, is P the same as C?",Yes,P is the same as C.,True
215,C L 16.,E L 16.,L is a functional property.,"Given the previous statements, is E the same as C?",Yes,E is the same as C.,True
216,C S 11.,D S 11.,S is a functional property.,"Given the previous statements, is D the same as C?",Yes,D is the same as C.,True
217,C V 4.,A V 4.,V is a functional property.,"Given the previous statements, is A the same as C?",Yes,A is the same as C.,True
218,C M 15.,T M 15.,M is a functional property.,"Given the previous statements, is T the same as C?",Yes,T is the same as C.,True
219,C O 52.,M O 52.,O is a functional property.,"Given the previous statements, is M the same as C?",Yes,M is the same as C.,True
220,C Z 77.,Q Z 77.,Z is a functional property.,"Given the previous statements, is Q the same as C?",Yes,Q is the same as C.,True
221,C Y 31.,T Y 31.,Y is a functional property.,"Given the previous statements, is T the same as C?",Yes,T is the same as C.,True
222,C M 19.,W M 19.,M is a functional property.,"Given the previous statements, is W the same as C?",Yes,W is the same as C.,True
223,C D 45.,B D 45.,D is a functional property.,"Given the previous statements, is B the same as C?",Yes,B is the same as C.,True
224,C D 34.,L D 34.,D is a functional property.,"Given the previous statements, is L the same as C?",Yes,L is the same as C.,True
225,C Y 90.,I Y 90.,Y is a functional property.,"Given the previous statements, is I the same as C?",Yes,I is the same as C.,True
226,C O 80.,X O 80.,O is a functional property.,"Given the previous statements, is X the same as C?",Yes,X is the same as C.,True
227,C Y 35.,P Y 35.,Y is a functional property.,"Given the previous statements, is P the same as C?",Yes,P is the same as C.,True
228,C K 33.,W K 33.,K is a functional property.,"Given the previous statements, is W the same as C?",Yes,W is the same as C.,True
229,C F 22.,P F 22.,F is a functional property.,"Given the previous statements, is P the same as C?",Yes,P is the same as C.,True
230,C E 1.,M E 1.,E is a functional property.,"Given the previous statements, is M the same as C?",Yes,M is the same as C.,True
231,C M 28.,T M 28.,M is a functional property.,"Given the previous statements, is T the same as C?",Yes,T is the same as C.,True
232,C U 15.,O U 15.,U is a functional property.,"Given the previous statements, is O the same as C?",Yes,O is the same as C.,True
233,C M 50.,I M 50.,M is a functional property.,"Given the previous statements, is I the same as C?",Yes,I is the same as C.,True
234,C Z 94.,Q Z 94.,Z is a functional property.,"Given the previous statements, is Q the same as C?",Yes,Q is the same as C.,True
235,C N 12.,E N 12.,N is a functional property.,"Given the previous statements, is E the same as C?",Yes,E is the same as C.,True
236,C M 77.,V M 77.,M is a functional property.,"Given the previous statements, is V the same as C?",Yes,V is the same as C.,True
237,C Q 1.,M Q 1.,Q is a functional property.,"Given the previous statements, is M the same as C?",Yes,M is the same as C.,True
238,C M 41.,J M 41.,M is a functional property.,"Given the previous statements, is J the same as C?",Yes,J is the same as C.,True
239,C E 37.,R E 37.,E is a functional property.,"Given the previous statements, is R the same as C?",Yes,R is the same as C.,True
240,C H 57.,D H 57.,H is a functional property.,"Given the previous statements, is D the same as C?",Yes,D is the same as C.,True
241,C B 10.,P B 10.,B is a functional property.,"Given the previous statements, is P the same as C?",Yes,P is the same as C.,True
242,C V 84.,W V 84.,V is a functional property.,"Given the previous statements, is W the same as C?",Yes,W is the same as C.,True
243,C V 37.,E V 37.,V is a functional property.,"Given the previous statements, is E the same as C?",Yes,E is the same as C.,True
244,C Y 22.,Q Y 22.,Y is a functional property.,"Given the previous statements, is Q the same as C?",Yes,Q is the same as C.,True
245,C S 20.,F S 20.,S is a functional property.,"Given the previous statements, is F the same as C?",Yes,F is the same as C.,True
246,C V 35.,A V 35.,V is a functional property.,"Given the previous statements, is A the same as C?",Yes,A is the same as C.,True
247,C I 33.,F I 33.,I is a functional property.,"Given the previous statements, is F the same as C?",Yes,F is the same as C.,True
248,C S 35.,L S 35.,S is a functional property.,"Given the previous statements, is L the same as C?",Yes,L is the same as C.,True
249,C W 26.,D W 26.,W is a functional property.,"Given the previous statements, is D the same as C?",Yes,D is the same as C.,True
250,C J 79.,K J 79.,J is a functional property.,"Given the previous statements, is K the same as C?",Yes,K is the same as C.,True
251,C J 37.,N J 37.,J is a functional property.,"Given the previous statements, is N the same as C?",Yes,N is the same as C.,True
252,C Z 90.,W Z 90.,Z is a functional property.,"Given the previous statements, is W the same as C?",Yes,W is the same as C.,True
253,C M 72.,P M 72.,M is a functional property.,"Given the previous statements, is P the same as C?",Yes,P is the same as C.,True
254,C A 70.,F A 70.,A is a functional property.,"Given the previous statements, is F the same as C?",Yes,F is the same as C.,True
255,C P 21.,I P 21.,P is a functional property.,"Given the previous statements, is I the same as C?",Yes,I is the same as C.,True
256,C P 43.,H P 43.,P is a functional property.,"Given the previous statements, is H the same as C?",Yes,H is the same as C.,True
257,C E 48.,N E 48.,E is a functional property.,"Given the previous statements, is N the same as C?",Yes,N is the same as C.,True
258,C I 49.,L I 49.,I is a functional property.,"Given the previous statements, is L the same as C?",Yes,L is the same as C.,True
259,C I 82.,Q I 82.,I is a functional property.,"Given the previous statements, is Q the same as C?",Yes,Q is the same as C.,True
