ID,triple1,triple2,question,answer,inferred triple,label
32,A W P.,W has domain Y.,"Given the previous statements, is A a Y?",Yes,A is a Y.,True
33,A Y G.,Y has domain U.,"Given the previous statements, is A a U?",Yes,A is a U.,True
34,A N E.,N has domain Z.,"Given the previous statements, is A a Z?",Yes,A is a Z.,True
35,A Q F.,Q has domain O.,"Given the previous statements, is A a O?",Yes,A is a O.,True
36,A L M.,L has domain K.,"Given the previous statements, is A a K?",Yes,A is a K.,True
37,A S Y.,S has domain T.,"Given the previous statements, is A a T?",Yes,A is a T.,True
38,A P X.,P has domain G.,"Given the previous statements, is A a G?",Yes,A is a G.,True
39,A J H.,J has domain C.,"Given the previous statements, is A a C?",Yes,A is a C.,True
40,A U F.,U has domain M.,"Given the previous statements, is A a M?",Yes,A is a M.,True
41,A B Z.,B has domain H.,"Given the previous statements, is A a H?",Yes,A is a H.,True
42,A F U.,F has domain Q.,"Given the previous statements, is A a Q?",Yes,A is a Q.,True
43,A H D.,H has domain T.,"Given the previous statements, is A a T?",Yes,A is a T.,True
44,A R D.,R has domain Q.,"Given the previous statements, is A a Q?",Yes,A is a Q.,True
45,A X U.,X has domain K.,"Given the previous statements, is A a K?",Yes,A is a K.,True
46,A Z B.,Z has domain E.,"Given the previous statements, is A a E?",Yes,A is a E.,True
47,A W E.,W has domain M.,"Given the previous statements, is A a M?",Yes,A is a M.,True
48,A Z P.,Z has domain R.,"Given the previous statements, is A a R?",Yes,A is a R.,True
49,A H E.,H has domain B.,"Given the previous statements, is A a B?",Yes,A is a B.,True
50,A L R.,L has domain F.,"Given the previous statements, is A a F?",Yes,A is a F.,True
51,A I B.,I has domain X.,"Given the previous statements, is A a X?",Yes,A is a X.,True
52,A N K.,N has domain Q.,"Given the previous statements, is A a Q?",Yes,A is a Q.,True
53,A L N.,L has domain T.,"Given the previous statements, is A a T?",Yes,A is a T.,True
54,A M V.,M has domain S.,"Given the previous statements, is A a S?",Yes,A is a S.,True
55,A B K.,B has domain W.,"Given the previous statements, is A a W?",Yes,A is a W.,True
56,A W K.,W has domain X.,"Given the previous statements, is A a X?",Yes,A is a X.,True
57,A Z Y.,Z has domain T.,"Given the previous statements, is A a T?",Yes,A is a T.,True
58,A N C.,N has domain M.,"Given the previous statements, is A a M?",Yes,A is a M.,True
59,A J T.,J has domain M.,"Given the previous statements, is A a M?",Yes,A is a M.,True
60,A J O.,J has domain C.,"Given the previous statements, is A a C?",Yes,A is a C.,True
61,A S Q.,S has domain C.,"Given the previous statements, is A a C?",Yes,A is a C.,True
62,A W S.,W has domain V.,"Given the previous statements, is A a V?",Yes,A is a V.,True
63,A J B.,J has domain Z.,"Given the previous statements, is A a Z?",Yes,A is a Z.,True
64,A G Q.,G has domain O.,"Given the previous statements, is A a O?",Yes,A is a O.,True
65,A Z N.,Z has domain P.,"Given the previous statements, is A a P?",Yes,A is a P.,True
66,A T V.,T has domain L.,"Given the previous statements, is A a L?",Yes,A is a L.,True
67,A T B.,T has domain Y.,"Given the previous statements, is A a Y?",Yes,A is a Y.,True
68,A B Y.,B has domain C.,"Given the previous statements, is A a C?",Yes,A is a C.,True
69,A Z J.,Z has domain M.,"Given the previous statements, is A a M?",Yes,A is a M.,True
70,A U Y.,U has domain R.,"Given the previous statements, is A a R?",Yes,A is a R.,True
71,A G D.,G has domain H.,"Given the previous statements, is A a H?",Yes,A is a H.,True
72,A H S.,H has domain I.,"Given the previous statements, is A a I?",Yes,A is a I.,True
73,A P D.,P has domain Z.,"Given the previous statements, is A a Z?",Yes,A is a Z.,True
74,A Z N.,Z has domain M.,"Given the previous statements, is A a M?",Yes,A is a M.,True
75,A P F.,P has domain D.,"Given the previous statements, is A a D?",Yes,A is a D.,True
76,A M H.,M has domain Z.,"Given the previous statements, is A a Z?",Yes,A is a Z.,True
77,A O J.,O has domain Y.,"Given the previous statements, is A a Y?",Yes,A is a Y.,True
78,A O H.,O has domain N.,"Given the previous statements, is A a N?",Yes,A is a N.,True
79,A D T.,D has domain O.,"Given the previous statements, is A a O?",Yes,A is a O.,True
80,A O I.,O has domain Y.,"Given the previous statements, is A a Y?",Yes,A is a Y.,True
81,A K I.,K has domain M.,"Given the previous statements, is A a M?",Yes,A is a M.,True
82,A W O.,W has domain D.,"Given the previous statements, is A a D?",Yes,A is a D.,True
83,A G X.,G has domain P.,"Given the previous statements, is A a P?",Yes,A is a P.,True
84,A S O.,S has domain M.,"Given the previous statements, is A a M?",Yes,A is a M.,True
85,A H J.,H has domain B.,"Given the previous statements, is A a B?",Yes,A is a B.,True
86,A O S.,O has domain Y.,"Given the previous statements, is A a Y?",Yes,A is a Y.,True
87,A P J.,P has domain Q.,"Given the previous statements, is A a Q?",Yes,A is a Q.,True
88,A L M.,L has domain U.,"Given the previous statements, is A a U?",Yes,A is a U.,True
89,A W R.,W has domain U.,"Given the previous statements, is A a U?",Yes,A is a U.,True
90,A V B.,V has domain M.,"Given the previous statements, is A a M?",Yes,A is a M.,True
91,A R F.,R has domain J.,"Given the previous statements, is A a J?",Yes,A is a J.,True
92,A W T.,W has domain Z.,"Given the previous statements, is A a Z?",Yes,A is a Z.,True
93,A C B.,C has domain V.,"Given the previous statements, is A a V?",Yes,A is a V.,True
94,A L T.,L has domain D.,"Given the previous statements, is A a D?",Yes,A is a D.,True
95,A M D.,M has domain Q.,"Given the previous statements, is A a Q?",Yes,A is a Q.,True
96,A P L.,P has domain B.,"Given the previous statements, is A a B?",Yes,A is a B.,True
97,A V N.,V has domain R.,"Given the previous statements, is A a R?",Yes,A is a R.,True
98,A Y T.,Y has domain V.,"Given the previous statements, is A a V?",Yes,A is a V.,True
99,A X Y.,X has domain H.,"Given the previous statements, is A a H?",Yes,A is a H.,True
100,A F D.,F has domain T.,"Given the previous statements, is A a T?",Yes,A is a T.,True
101,B Z V.,Z has domain H.,"Given the previous statements, is B a H?",Yes,B is a H.,True
102,B D R.,D has domain J.,"Given the previous statements, is B a J?",Yes,B is a J.,True
103,B X J.,X has domain D.,"Given the previous statements, is B a D?",Yes,B is a D.,True
104,B O J.,O has domain M.,"Given the previous statements, is B a M?",Yes,B is a M.,True
105,B V M.,V has domain R.,"Given the previous statements, is B a R?",Yes,B is a R.,True
106,B W E.,W has domain X.,"Given the previous statements, is B a X?",Yes,B is a X.,True
107,B Z X.,Z has domain L.,"Given the previous statements, is B a L?",Yes,B is a L.,True
108,B E F.,E has domain X.,"Given the previous statements, is B a X?",Yes,B is a X.,True
109,B N H.,N has domain X.,"Given the previous statements, is B a X?",Yes,B is a X.,True
110,B O N.,O has domain V.,"Given the previous statements, is B a V?",Yes,B is a V.,True
111,B X J.,X has domain A.,"Given the previous statements, is B a A?",Yes,B is a A.,True
112,B H G.,H has domain L.,"Given the previous statements, is B a L?",Yes,B is a L.,True
113,B W I.,W has domain U.,"Given the previous statements, is B a U?",Yes,B is a U.,True
114,B U C.,U has domain I.,"Given the previous statements, is B a I?",Yes,B is a I.,True
115,B S N.,S has domain I.,"Given the previous statements, is B a I?",Yes,B is a I.,True
116,B F T.,F has domain L.,"Given the previous statements, is B a L?",Yes,B is a L.,True
117,B W J.,W has domain I.,"Given the previous statements, is B a I?",Yes,B is a I.,True
118,B G N.,G has domain A.,"Given the previous statements, is B a A?",Yes,B is a A.,True
119,B D X.,D has domain C.,"Given the previous statements, is B a C?",Yes,B is a C.,True
120,B E L.,E has domain C.,"Given the previous statements, is B a C?",Yes,B is a C.,True
121,B K S.,K has domain Y.,"Given the previous statements, is B a Y?",Yes,B is a Y.,True
122,B A T.,A has domain L.,"Given the previous statements, is B a L?",Yes,B is a L.,True
123,B D K.,D has domain T.,"Given the previous statements, is B a T?",Yes,B is a T.,True
124,B S K.,S has domain G.,"Given the previous statements, is B a G?",Yes,B is a G.,True
125,B J H.,J has domain F.,"Given the previous statements, is B a F?",Yes,B is a F.,True
126,B J O.,J has domain D.,"Given the previous statements, is B a D?",Yes,B is a D.,True
127,B F Q.,F has domain K.,"Given the previous statements, is B a K?",Yes,B is a K.,True
128,B U I.,U has domain G.,"Given the previous statements, is B a G?",Yes,B is a G.,True
129,B L E.,L has domain R.,"Given the previous statements, is B a R?",Yes,B is a R.,True
130,B U G.,U has domain P.,"Given the previous statements, is B a P?",Yes,B is a P.,True
131,B V M.,V has domain I.,"Given the previous statements, is B a I?",Yes,B is a I.,True
132,B X T.,X has domain N.,"Given the previous statements, is B a N?",Yes,B is a N.,True
133,B M F.,M has domain K.,"Given the previous statements, is B a K?",Yes,B is a K.,True
134,B C M.,C has domain A.,"Given the previous statements, is B a A?",Yes,B is a A.,True
135,B Z F.,Z has domain S.,"Given the previous statements, is B a S?",Yes,B is a S.,True
136,B L F.,L has domain W.,"Given the previous statements, is B a W?",Yes,B is a W.,True
137,B Q U.,Q has domain X.,"Given the previous statements, is B a X?",Yes,B is a X.,True
138,B K Q.,K has domain N.,"Given the previous statements, is B a N?",Yes,B is a N.,True
139,B K N.,K has domain C.,"Given the previous statements, is B a C?",Yes,B is a C.,True
140,B C V.,C has domain H.,"Given the previous statements, is B a H?",Yes,B is a H.,True
141,B W H.,W has domain P.,"Given the previous statements, is B a P?",Yes,B is a P.,True
142,B S G.,S has domain L.,"Given the previous statements, is B a L?",Yes,B is a L.,True
143,B J X.,J has domain Y.,"Given the previous statements, is B a Y?",Yes,B is a Y.,True
144,B M O.,M has domain C.,"Given the previous statements, is B a C?",Yes,B is a C.,True
145,B R Q.,R has domain Z.,"Given the previous statements, is B a Z?",Yes,B is a Z.,True
146,B E R.,E has domain S.,"Given the previous statements, is B a S?",Yes,B is a S.,True
147,B R V.,R has domain T.,"Given the previous statements, is B a T?",Yes,B is a T.,True
148,B N H.,N has domain F.,"Given the previous statements, is B a F?",Yes,B is a F.,True
149,B K H.,K has domain F.,"Given the previous statements, is B a F?",Yes,B is a F.,True
150,B J V.,J has domain S.,"Given the previous statements, is B a S?",Yes,B is a S.,True
151,B U G.,U has domain X.,"Given the previous statements, is B a X?",Yes,B is a X.,True
152,B G M.,G has domain O.,"Given the previous statements, is B a O?",Yes,B is a O.,True
153,B Z A.,Z has domain D.,"Given the previous statements, is B a D?",Yes,B is a D.,True
154,B V O.,V has domain U.,"Given the previous statements, is B a U?",Yes,B is a U.,True
155,B O G.,O has domain Z.,"Given the previous statements, is B a Z?",Yes,B is a Z.,True
156,B E C.,E has domain I.,"Given the previous statements, is B a I?",Yes,B is a I.,True
157,B J R.,J has domain V.,"Given the previous statements, is B a V?",Yes,B is a V.,True
158,B U G.,U has domain E.,"Given the previous statements, is B a E?",Yes,B is a E.,True
159,B V A.,V has domain T.,"Given the previous statements, is B a T?",Yes,B is a T.,True
160,B L G.,L has domain O.,"Given the previous statements, is B a O?",Yes,B is a O.,True
161,B H I.,H has domain W.,"Given the previous statements, is B a W?",Yes,B is a W.,True
162,B W F.,W has domain V.,"Given the previous statements, is B a V?",Yes,B is a V.,True
163,B Z I.,Z has domain S.,"Given the previous statements, is B a S?",Yes,B is a S.,True
164,B U X.,U has domain E.,"Given the previous statements, is B a E?",Yes,B is a E.,True
165,B F M.,F has domain T.,"Given the previous statements, is B a T?",Yes,B is a T.,True
166,B X I.,X has domain O.,"Given the previous statements, is B a O?",Yes,B is a O.,True
167,B A Z.,A has domain S.,"Given the previous statements, is B a S?",Yes,B is a S.,True
168,B R W.,R has domain A.,"Given the previous statements, is B a A?",Yes,B is a A.,True
169,B Z G.,Z has domain T.,"Given the previous statements, is B a T?",Yes,B is a T.,True
170,B C Q.,C has domain W.,"Given the previous statements, is B a W?",Yes,B is a W.,True
171,B A W.,A has domain K.,"Given the previous statements, is B a K?",Yes,B is a K.,True
172,B M N.,M has domain S.,"Given the previous statements, is B a S?",Yes,B is a S.,True
173,B K Z.,K has domain J.,"Given the previous statements, is B a J?",Yes,B is a J.,True
174,B T O.,T has domain F.,"Given the previous statements, is B a F?",Yes,B is a F.,True
175,B M R.,M has domain U.,"Given the previous statements, is B a U?",Yes,B is a U.,True
176,B T A.,T has domain E.,"Given the previous statements, is B a E?",Yes,B is a E.,True
177,B O W.,O has domain T.,"Given the previous statements, is B a T?",Yes,B is a T.,True
178,B T H.,T has domain V.,"Given the previous statements, is B a V?",Yes,B is a V.,True
179,B O J.,O has domain I.,"Given the previous statements, is B a I?",Yes,B is a I.,True
180,B I P.,I has domain Y.,"Given the previous statements, is B a Y?",Yes,B is a Y.,True
181,B W R.,W has domain Q.,"Given the previous statements, is B a Q?",Yes,B is a Q.,True
182,B C X.,C has domain G.,"Given the previous statements, is B a G?",Yes,B is a G.,True
183,B X R.,X has domain K.,"Given the previous statements, is B a K?",Yes,B is a K.,True
184,B K P.,K has domain R.,"Given the previous statements, is B a R?",Yes,B is a R.,True
185,B E Q.,E has domain G.,"Given the previous statements, is B a G?",Yes,B is a G.,True
186,B Q R.,Q has domain G.,"Given the previous statements, is B a G?",Yes,B is a G.,True
187,B Z J.,Z has domain A.,"Given the previous statements, is B a A?",Yes,B is a A.,True
188,B L H.,L has domain E.,"Given the previous statements, is B a E?",Yes,B is a E.,True
189,B R F.,R has domain T.,"Given the previous statements, is B a T?",Yes,B is a T.,True
190,B K O.,K has domain I.,"Given the previous statements, is B a I?",Yes,B is a I.,True
191,B Z L.,Z has domain C.,"Given the previous statements, is B a C?",Yes,B is a C.,True
192,B U W.,U has domain S.,"Given the previous statements, is B a S?",Yes,B is a S.,True
193,B E N.,E has domain K.,"Given the previous statements, is B a K?",Yes,B is a K.,True
194,B W L.,W has domain V.,"Given the previous statements, is B a V?",Yes,B is a V.,True
195,B C J.,C has domain M.,"Given the previous statements, is B a M?",Yes,B is a M.,True
196,B H Z.,H has domain F.,"Given the previous statements, is B a F?",Yes,B is a F.,True
197,B W L.,W has domain D.,"Given the previous statements, is B a D?",Yes,B is a D.,True
198,B X U.,X has domain G.,"Given the previous statements, is B a G?",Yes,B is a G.,True
199,B T P.,T has domain H.,"Given the previous statements, is B a H?",Yes,B is a H.,True
200,B H G.,H has domain U.,"Given the previous statements, is B a U?",Yes,B is a U.,True
201,C M Y.,M has domain S.,"Given the previous statements, is C a S?",Yes,C is a S.,True
202,C U Z.,U has domain K.,"Given the previous statements, is C a K?",Yes,C is a K.,True
203,C F B.,F has domain Z.,"Given the previous statements, is C a Z?",Yes,C is a Z.,True
204,C L W.,L has domain X.,"Given the previous statements, is C a X?",Yes,C is a X.,True
205,C U R.,U has domain X.,"Given the previous statements, is C a X?",Yes,C is a X.,True
206,C I W.,I has domain B.,"Given the previous statements, is C a B?",Yes,C is a B.,True
207,C D S.,D has domain A.,"Given the previous statements, is C a A?",Yes,C is a A.,True
208,C X T.,X has domain V.,"Given the previous statements, is C a V?",Yes,C is a V.,True
209,C N K.,N has domain P.,"Given the previous statements, is C a P?",Yes,C is a P.,True
210,C Q A.,Q has domain X.,"Given the previous statements, is C a X?",Yes,C is a X.,True
211,C S B.,S has domain K.,"Given the previous statements, is C a K?",Yes,C is a K.,True
212,C L Y.,L has domain G.,"Given the previous statements, is C a G?",Yes,C is a G.,True
213,C H I.,H has domain G.,"Given the previous statements, is C a G?",Yes,C is a G.,True
214,C K R.,K has domain Y.,"Given the previous statements, is C a Y?",Yes,C is a Y.,True
215,C O A.,O has domain B.,"Given the previous statements, is C a B?",Yes,C is a B.,True
216,C L D.,L has domain Y.,"Given the previous statements, is C a Y?",Yes,C is a Y.,True
217,C G L.,G has domain B.,"Given the previous statements, is C a B?",Yes,C is a B.,True
218,C S E.,S has domain Z.,"Given the previous statements, is C a Z?",Yes,C is a Z.,True
219,C Y G.,Y has domain W.,"Given the previous statements, is C a W?",Yes,C is a W.,True
220,C A R.,A has domain J.,"Given the previous statements, is C a J?",Yes,C is a J.,True
221,C G F.,G has domain U.,"Given the previous statements, is C a U?",Yes,C is a U.,True
222,C X E.,X has domain A.,"Given the previous statements, is C a A?",Yes,C is a A.,True
223,C D K.,D has domain E.,"Given the previous statements, is C a E?",Yes,C is a E.,True
224,C P K.,P has domain E.,"Given the previous statements, is C a E?",Yes,C is a E.,True
225,C N V.,N has domain Q.,"Given the previous statements, is C a Q?",Yes,C is a Q.,True
226,C A E.,A has domain M.,"Given the previous statements, is C a M?",Yes,C is a M.,True
227,C Q K.,Q has domain H.,"Given the previous statements, is C a H?",Yes,C is a H.,True
228,C F P.,F has domain T.,"Given the previous statements, is C a T?",Yes,C is a T.,True
229,C T D.,T has domain M.,"Given the previous statements, is C a M?",Yes,C is a M.,True
230,C U R.,U has domain H.,"Given the previous statements, is C a H?",Yes,C is a H.,True
231,C Q I.,Q has domain E.,"Given the previous statements, is C a E?",Yes,C is a E.,True
232,C G O.,G has domain M.,"Given the previous statements, is C a M?",Yes,C is a M.,True
233,C M I.,M has domain N.,"Given the previous statements, is C a N?",Yes,C is a N.,True
234,C O H.,O has domain R.,"Given the previous statements, is C a R?",Yes,C is a R.,True
235,C O Y.,O has domain X.,"Given the previous statements, is C a X?",Yes,C is a X.,True
236,C J K.,J has domain G.,"Given the previous statements, is C a G?",Yes,C is a G.,True
237,C T B.,T has domain R.,"Given the previous statements, is C a R?",Yes,C is a R.,True
238,C W Y.,W has domain H.,"Given the previous statements, is C a H?",Yes,C is a H.,True
239,C P L.,P has domain M.,"Given the previous statements, is C a M?",Yes,C is a M.,True
240,C E P.,E has domain S.,"Given the previous statements, is C a S?",Yes,C is a S.,True
241,C R L.,R has domain U.,"Given the previous statements, is C a U?",Yes,C is a U.,True
242,C I Q.,I has domain Y.,"Given the previous statements, is C a Y?",Yes,C is a Y.,True
243,C P X.,P has domain U.,"Given the previous statements, is C a U?",Yes,C is a U.,True
244,C S V.,S has domain Z.,"Given the previous statements, is C a Z?",Yes,C is a Z.,True
245,C A Y.,A has domain Q.,"Given the previous statements, is C a Q?",Yes,C is a Q.,True
246,C Q I.,Q has domain B.,"Given the previous statements, is C a B?",Yes,C is a B.,True
247,C Y X.,Y has domain H.,"Given the previous statements, is C a H?",Yes,C is a H.,True
248,C X M.,X has domain J.,"Given the previous statements, is C a J?",Yes,C is a J.,True
249,C B Y.,B has domain O.,"Given the previous statements, is C a O?",Yes,C is a O.,True
250,C X I.,X has domain V.,"Given the previous statements, is C a V?",Yes,C is a V.,True
251,C W L.,W has domain M.,"Given the previous statements, is C a M?",Yes,C is a M.,True
252,C O Z.,O has domain K.,"Given the previous statements, is C a K?",Yes,C is a K.,True
253,C G D.,G has domain U.,"Given the previous statements, is C a U?",Yes,C is a U.,True
254,C I X.,I has domain Y.,"Given the previous statements, is C a Y?",Yes,C is a Y.,True
255,C T S.,T has domain R.,"Given the previous statements, is C a R?",Yes,C is a R.,True
256,C P W.,P has domain Y.,"Given the previous statements, is C a Y?",Yes,C is a Y.,True
257,C W Z.,W has domain X.,"Given the previous statements, is C a X?",Yes,C is a X.,True
258,C D W.,D has domain U.,"Given the previous statements, is C a U?",Yes,C is a U.,True
259,C I R.,I has domain J.,"Given the previous statements, is C a J?",Yes,C is a J.,True
260,C M P.,M has domain A.,"Given the previous statements, is C a A?",Yes,C is a A.,True
261,C L D.,L has domain F.,"Given the previous statements, is C a F?",Yes,C is a F.,True
262,C S O.,S has domain P.,"Given the previous statements, is C a P?",Yes,C is a P.,True
263,C B X.,B has domain L.,"Given the previous statements, is C a L?",Yes,C is a L.,True
264,C I N.,I has domain A.,"Given the previous statements, is C a A?",Yes,C is a A.,True
265,C J N.,J has domain L.,"Given the previous statements, is C a L?",Yes,C is a L.,True
266,C L H.,L has domain I.,"Given the previous statements, is C a I?",Yes,C is a I.,True
267,C P U.,P has domain O.,"Given the previous statements, is C a O?",Yes,C is a O.,True
268,C S N.,S has domain Q.,"Given the previous statements, is C a Q?",Yes,C is a Q.,True
269,C S E.,S has domain Y.,"Given the previous statements, is C a Y?",Yes,C is a Y.,True
270,C T Q.,T has domain Y.,"Given the previous statements, is C a Y?",Yes,C is a Y.,True
271,C V Q.,V has domain D.,"Given the previous statements, is C a D?",Yes,C is a D.,True
272,C S H.,S has domain O.,"Given the previous statements, is C a O?",Yes,C is a O.,True
273,C Y L.,Y has domain N.,"Given the previous statements, is C a N?",Yes,C is a N.,True
274,C G J.,G has domain V.,"Given the previous statements, is C a V?",Yes,C is a V.,True
275,C F P.,F has domain Y.,"Given the previous statements, is C a Y?",Yes,C is a Y.,True
276,C A L.,A has domain V.,"Given the previous statements, is C a V?",Yes,C is a V.,True
277,C W A.,W has domain D.,"Given the previous statements, is C a D?",Yes,C is a D.,True
278,C E Z.,E has domain I.,"Given the previous statements, is C a I?",Yes,C is a I.,True
279,C R G.,R has domain F.,"Given the previous statements, is C a F?",Yes,C is a F.,True
280,C M H.,M has domain K.,"Given the previous statements, is C a K?",Yes,C is a K.,True
281,C H S.,H has domain M.,"Given the previous statements, is C a M?",Yes,C is a M.,True
282,C G L.,G has domain M.,"Given the previous statements, is C a M?",Yes,C is a M.,True
283,C A B.,A has domain T.,"Given the previous statements, is C a T?",Yes,C is a T.,True
284,C G P.,G has domain K.,"Given the previous statements, is C a K?",Yes,C is a K.,True
285,C F X.,F has domain R.,"Given the previous statements, is C a R?",Yes,C is a R.,True
286,C T P.,T has domain B.,"Given the previous statements, is C a B?",Yes,C is a B.,True
287,C I E.,I has domain U.,"Given the previous statements, is C a U?",Yes,C is a U.,True
288,C F G.,F has domain M.,"Given the previous statements, is C a M?",Yes,C is a M.,True
289,C Q K.,Q has domain V.,"Given the previous statements, is C a V?",Yes,C is a V.,True
290,C V E.,V has domain N.,"Given the previous statements, is C a N?",Yes,C is a N.,True
291,C T G.,T has domain S.,"Given the previous statements, is C a S?",Yes,C is a S.,True
292,C F V.,F has domain W.,"Given the previous statements, is C a W?",Yes,C is a W.,True
293,C V Q.,V has domain W.,"Given the previous statements, is C a W?",Yes,C is a W.,True
294,C S G.,S has domain B.,"Given the previous statements, is C a B?",Yes,C is a B.,True
295,C F A.,F has domain H.,"Given the previous statements, is C a H?",Yes,C is a H.,True
296,C S F.,S has domain D.,"Given the previous statements, is C a D?",Yes,C is a D.,True
297,C L K.,L has domain N.,"Given the previous statements, is C a N?",Yes,C is a N.,True
298,C G Z.,G has domain F.,"Given the previous statements, is C a F?",Yes,C is a F.,True
299,C T V.,T has domain R.,"Given the previous statements, is C a R?",Yes,C is a R.,True
300,C Z T.,Z has domain H.,"Given the previous statements, is C a H?",Yes,C is a H.,True
301,D Z U.,Z has domain C.,"Given the previous statements, is D a C?",Yes,D is a C.,True
302,D T Q.,T has domain M.,"Given the previous statements, is D a M?",Yes,D is a M.,True
303,D M T.,M has domain X.,"Given the previous statements, is D a X?",Yes,D is a X.,True
304,D G T.,G has domain S.,"Given the previous statements, is D a S?",Yes,D is a S.,True
305,D G L.,G has domain R.,"Given the previous statements, is D a R?",Yes,D is a R.,True
306,D I L.,I has domain V.,"Given the previous statements, is D a V?",Yes,D is a V.,True
307,D F Q.,F has domain M.,"Given the previous statements, is D a M?",Yes,D is a M.,True
308,D M Z.,M has domain S.,"Given the previous statements, is D a S?",Yes,D is a S.,True
309,D O P.,O has domain A.,"Given the previous statements, is D a A?",Yes,D is a A.,True
310,D W O.,W has domain I.,"Given the previous statements, is D a I?",Yes,D is a I.,True
311,D U C.,U has domain R.,"Given the previous statements, is D a R?",Yes,D is a R.,True
312,D S K.,S has domain B.,"Given the previous statements, is D a B?",Yes,D is a B.,True
313,D B V.,B has domain S.,"Given the previous statements, is D a S?",Yes,D is a S.,True
314,D M W.,M has domain V.,"Given the previous statements, is D a V?",Yes,D is a V.,True
315,D A M.,A has domain G.,"Given the previous statements, is D a G?",Yes,D is a G.,True
316,D H I.,H has domain S.,"Given the previous statements, is D a S?",Yes,D is a S.,True
317,D W K.,W has domain X.,"Given the previous statements, is D a X?",Yes,D is a X.,True
318,D R T.,R has domain X.,"Given the previous statements, is D a X?",Yes,D is a X.,True
319,D F O.,F has domain G.,"Given the previous statements, is D a G?",Yes,D is a G.,True
320,D C L.,C has domain J.,"Given the previous statements, is D a J?",Yes,D is a J.,True
321,D K B.,K has domain R.,"Given the previous statements, is D a R?",Yes,D is a R.,True
322,D Q C.,Q has domain Z.,"Given the previous statements, is D a Z?",Yes,D is a Z.,True
323,D E I.,E has domain C.,"Given the previous statements, is D a C?",Yes,D is a C.,True
324,D Y U.,Y has domain O.,"Given the previous statements, is D a O?",Yes,D is a O.,True
325,D B X.,B has domain Y.,"Given the previous statements, is D a Y?",Yes,D is a Y.,True
326,D C F.,C has domain X.,"Given the previous statements, is D a X?",Yes,D is a X.,True
327,D A K.,A has domain Z.,"Given the previous statements, is D a Z?",Yes,D is a Z.,True
328,D J I.,J has domain B.,"Given the previous statements, is D a B?",Yes,D is a B.,True
329,D I J.,I has domain M.,"Given the previous statements, is D a M?",Yes,D is a M.,True
330,D W Y.,W has domain U.,"Given the previous statements, is D a U?",Yes,D is a U.,True
331,D B I.,B has domain O.,"Given the previous statements, is D a O?",Yes,D is a O.,True
332,D C V.,C has domain Y.,"Given the previous statements, is D a Y?",Yes,D is a Y.,True
333,D J C.,J has domain S.,"Given the previous statements, is D a S?",Yes,D is a S.,True
334,D S W.,S has domain L.,"Given the previous statements, is D a L?",Yes,D is a L.,True
