ID,triple1,triple2,question,answer,inferred triple,label
21,Cadillac AOC growingGrape Sauvignon blanc.,growingGrape has domain WineRegion.,"Given the previous statements, is Cadillac AOC a WineRegion?",Yes,Cadillac AOC is a WineRegion.,True
22,Cadillac AOC growingGrape Sauvignon gris.,growingGrape has domain WineRegion.,"Given the previous statements, is Cadillac AOC a WineRegion?",Yes,Cadillac AOC is a WineRegion.,True
23,Quakenbrück jointCommunity Artland.,jointCommunity has domain Settlement.,"Given the previous statements, is Quakenbrück a Settlement?",Yes,Quakenbrück is a Settlement.,True
24,Quendorf jointCommunity Schüttorf.,jointCommunity has domain Settlement.,"Given the previous statements, is Quendorf a Settlement?",Yes,Quendorf is a Settlement.,True
25,Quernheim jointCommunity Altes Amt Lemförde.,jointCommunity has domain Settlement.,"Given the previous statements, is Quernheim a Settlement?",Yes,Quernheim is a Settlement.,True
26,"Castletown, Isle of Man parish Malew.",parish has domain PopulatedPlace.,"Given the previous statements, is Castletown, Isle of Man a PopulatedPlace?",Yes,"Castletown, Isle of Man is a PopulatedPlace.",True
27,Ronague parish Arbory.,parish has domain PopulatedPlace.,"Given the previous statements, is Ronague a PopulatedPlace?",Yes,Ronague is a PopulatedPlace.,True
28,Braaid parish Marown.,parish has domain PopulatedPlace.,"Given the previous statements, is Braaid a PopulatedPlace?",Yes,Braaid is a PopulatedPlace.,True
29,Canarian People's Union spokesperson Fernando Sagaseta.,spokesperson has domain PoliticalParty.,"Given the previous statements, is Canarian People's Union a PoliticalParty?",Yes,Canarian People's Union is a PoliticalParty.,True
30,Catalunya Sí que es Pot spokesperson Lluís Rabell.,spokesperson has domain PoliticalParty.,"Given the previous statements, is Catalunya Sí que es Pot a PoliticalParty?",Yes,Catalunya Sí que es Pot is a PoliticalParty.,True
31,Procés Constituent spokesperson Arcadi Oliveres.,spokesperson has domain PoliticalParty.,"Given the previous statements, is Procés Constituent a PoliticalParty?",Yes,Procés Constituent is a PoliticalParty.,True
32,Cairn na Burgh Beag unitaryAuthority Argyll and Bute.,unitaryAuthority has domain PopulatedPlace.,"Given the previous statements, is Cairn na Burgh Beag a PopulatedPlace?",Yes,Cairn na Burgh Beag is a PopulatedPlace.,True
33,Cairn na Burgh Mòr unitaryAuthority Argyll and Bute.,unitaryAuthority has domain PopulatedPlace.,"Given the previous statements, is Cairn na Burgh Mòr a PopulatedPlace?",Yes,Cairn na Burgh Mòr is a PopulatedPlace.,True
34,Calbha Beag unitaryAuthority Highland.,unitaryAuthority has domain PopulatedPlace.,"Given the previous statements, is Calbha Beag a PopulatedPlace?",Yes,Calbha Beag is a PopulatedPlace.,True
35,Capital Area Transportation Authority vehiclesInFleet Tourist trolley.,vehiclesInFleet has domain PublicTransitSystem.,"Given the previous statements, is Capital Area Transportation Authority a PublicTransitSystem?",Yes,Capital Area Transportation Authority is a PublicTransitSystem.,True
36,BeST Transit vehiclesInFleet Dodge Caravan.,vehiclesInFleet has domain PublicTransitSystem.,"Given the previous statements, is BeST Transit a PublicTransitSystem?",Yes,BeST Transit is a PublicTransitSystem.,True
37,Preston park and ride vehiclesInFleet Optare Solo.,vehiclesInFleet has domain PublicTransitSystem.,"Given the previous statements, is Preston park and ride a PublicTransitSystem?",Yes,Preston park and ride is a PublicTransitSystem.,True
38,Puget Sound AVA wineProduced Dessert wine.,wineProduced has domain WineRegion.,"Given the previous statements, is Puget Sound AVA a WineRegion?",Yes,Puget Sound AVA is a WineRegion.,True
39,Puget Sound AVA wineProduced Sparkling wine.,wineProduced has domain WineRegion.,"Given the previous statements, is Puget Sound AVA a WineRegion?",Yes,Puget Sound AVA is a WineRegion.,True
40,Puget Sound AVA wineProduced Varietal.,wineProduced has domain WineRegion.,"Given the previous statements, is Puget Sound AVA a WineRegion?",Yes,Puget Sound AVA is a WineRegion.,True
41,Cercle Brugge K.S.V. clubsRecordGoalscorer Marcel Pertry.,clubsRecordGoalscorer has domain SoccerClub.,"Given the previous statements, is Cercle Brugge K.S.V. a SoccerClub?",Yes,Cercle Brugge K.S.V. is a SoccerClub.,True
42,Al-Baqa'a SC clubsRecordGoalscorer Mohammad Abdel-Haleem.,clubsRecordGoalscorer has domain SoccerClub.,"Given the previous statements, is Al-Baqa'a SC a SoccerClub?",Yes,Al-Baqa'a SC is a SoccerClub.,True
43,Keila JK clubsRecordGoalscorer Timo Pikpoom.,clubsRecordGoalscorer has domain SoccerClub.,"Given the previous statements, is Keila JK a SoccerClub?",Yes,Keila JK is a SoccerClub.,True
44,Carlos Pace firstWin 1975 Brazilian Grand Prix.,firstWin has domain FormulaOneRacer.,"Given the previous statements, is Carlos Pace a FormulaOneRacer?",Yes,Carlos Pace is a FormulaOneRacer.,True
45,Carlos Sainz Jr. firstWin 2022 British Grand Prix.,firstWin has domain FormulaOneRacer.,"Given the previous statements, is Carlos Sainz Jr. a FormulaOneRacer?",Yes,Carlos Sainz Jr. is a FormulaOneRacer.,True
46,Rodger Ward firstWin 1959 Indianapolis 500.,firstWin has domain FormulaOneRacer.,"Given the previous statements, is Rodger Ward a FormulaOneRacer?",Yes,Rodger Ward is a FormulaOneRacer.,True
47,Cape Town Cycle Tour firstWinner Lawrence Whittaker.,firstWinner has domain Race.,"Given the previous statements, is Cape Town Cycle Tour a Race?",Yes,Cape Town Cycle Tour is a Race.,True
48,Presbyterian Hospital Invitational Criterium firstWinner Ivan Dominguez.,firstWinner has domain Race.,"Given the previous statements, is Presbyterian Hospital Invitational Criterium a Race?",Yes,Presbyterian Hospital Invitational Criterium is a Race.,True
49,Presbyterian Hospital Invitational Criterium firstWinner Ina Tuentenburg.,firstWinner has domain Race.,"Given the previous statements, is Presbyterian Hospital Invitational Criterium a Race?",Yes,Presbyterian Hospital Invitational Criterium is a Race.,True
50,Rousay largestSettlement Brinian.,largestSettlement has domain PopulatedPlace.,"Given the previous statements, is Rousay a PopulatedPlace?",Yes,Rousay is a PopulatedPlace.,True
51,"Sanday, Orkney largestSettlement Kettletoft.",largestSettlement has domain PopulatedPlace.,"Given the previous statements, is Sanday, Orkney a PopulatedPlace?",Yes,"Sanday, Orkney is a PopulatedPlace.",True
52,Barra largestSettlement Castlebay.,largestSettlement has domain PopulatedPlace.,"Given the previous statements, is Barra a PopulatedPlace?",Yes,Barra is a PopulatedPlace.,True
53,Carlos Pace lastWin 1975 Brazilian Grand Prix.,lastWin has domain FormulaOneRacer.,"Given the previous statements, is Carlos Pace a FormulaOneRacer?",Yes,Carlos Pace is a FormulaOneRacer.,True
54,Carlos Sainz Jr. lastWin 2022 British Grand Prix.,lastWin has domain FormulaOneRacer.,"Given the previous statements, is Carlos Sainz Jr. a FormulaOneRacer?",Yes,Carlos Sainz Jr. is a FormulaOneRacer.,True
55,Rodger Ward lastWin 1959 Indianapolis 500.,lastWin has domain FormulaOneRacer.,"Given the previous statements, is Rodger Ward a FormulaOneRacer?",Yes,Rodger Ward is a FormulaOneRacer.,True
56,Calgary Sun managingEditor Martin Hudson.,managingEditor has domain Newspaper.,"Given the previous statements, is Calgary Sun a Newspaper?",Yes,Calgary Sun is a Newspaper.,True
57,Umanità Nova managingEditor Giorgio Sacchetti.,managingEditor has domain Newspaper.,"Given the previous statements, is Umanità Nova a Newspaper?",Yes,Umanità Nova is a Newspaper.,True
58,Uthayan managingEditor E. Saravanapavan.,managingEditor has domain Newspaper.,"Given the previous statements, is Uthayan a Newspaper?",Yes,Uthayan is a Newspaper.,True
59,Cape Town Cycle Tour mostWins Willie Engelbrecht.,mostWins has domain Race.,"Given the previous statements, is Cape Town Cycle Tour a Race?",Yes,Cape Town Cycle Tour is a Race.,True
60,Presbyterian Hospital Invitational Criterium mostWins Tina Pic.,mostWins has domain Race.,"Given the previous statements, is Presbyterian Hospital Invitational Criterium a Race?",Yes,Presbyterian Hospital Invitational Criterium is a Race.,True
61,Belarusian National Road Race Championships mostWins Yauhen Sobal.,mostWins has domain Race.,"Given the previous statements, is Belarusian National Road Race Championships a Race?",Yes,Belarusian National Road Race Championships is a Race.,True
62,Cape Town Cycle Tour recentWinner Marc Pritzen.,recentWinner has domain Race.,"Given the previous statements, is Cape Town Cycle Tour a Race?",Yes,Cape Town Cycle Tour is a Race.,True
63,Presbyterian Hospital Invitational Criterium recentWinner Theresa Cliff-Ryan.,recentWinner has domain Race.,"Given the previous statements, is Presbyterian Hospital Invitational Criterium a Race?",Yes,Presbyterian Hospital Invitational Criterium is a Race.,True
64,Presbyterian Hospital Invitational Criterium recentWinner Jake Keough.,recentWinner has domain Race.,"Given the previous statements, is Presbyterian Hospital Invitational Criterium a Race?",Yes,Presbyterian Hospital Invitational Criterium is a Race.,True
65,"Saskatchewan Highway 1 ruralMunicipality Pense No. 160, Saskatchewan.",ruralMunicipality has domain Road.,"Given the previous statements, is Saskatchewan Highway 1 a Road?",Yes,Saskatchewan Highway 1 is a Road.,True
66,"Saskatchewan Highway 1 ruralMunicipality Silverwood No. 123, Saskatchewan.",ruralMunicipality has domain Road.,"Given the previous statements, is Saskatchewan Highway 1 a Road?",Yes,Saskatchewan Highway 1 is a Road.,True
67,"Saskatchewan Highway 1 ruralMunicipality Swift Current No. 137, Saskatchewan.",ruralMunicipality has domain Road.,"Given the previous statements, is Saskatchewan Highway 1 a Road?",Yes,Saskatchewan Highway 1 is a Road.,True
68,Quebec Route 335 subsequentInfrastructure Quebec Route 337.,subsequentInfrastructure has domain Infrastructure.,"Given the previous statements, is Quebec Route 335 an Infrastructure?",Yes,Quebec Route 335 is an Infrastructure.,True
69,Saskatchewan Highway 155 subsequentInfrastructure Saskatchewan Highway 165.,subsequentInfrastructure has domain Infrastructure.,"Given the previous statements, is Saskatchewan Highway 155 an Infrastructure?",Yes,Saskatchewan Highway 155 is an Infrastructure.,True
70,Saskatchewan Highway 2 subsequentInfrastructure Saskatchewan Highway 3.,subsequentInfrastructure has domain Infrastructure.,"Given the previous statements, is Saskatchewan Highway 2 an Infrastructure?",Yes,Saskatchewan Highway 2 is an Infrastructure.,True
71,Savar Cantonment Public School and College superintendent Bangladesh Army.,superintendent has domain Organisation.,"Given the previous statements, is Savar Cantonment Public School and College an Organisation?",Yes,Savar Cantonment Public School and College is an Organisation.,True
72,Brashier Middle College Charter High School superintendent .,superintendent has domain Organisation.,"Given the previous statements, is Brashier Middle College Charter High School an Organisation?",Yes,Brashier Middle College Charter High School is an Organisation.,True
73,Bridgeprep Academy of Arts and Minds superintendent Alberto M. Carvalho.,superintendent has domain Organisation.,"Given the previous statements, is Bridgeprep Academy of Arts and Minds an Organisation?",Yes,Bridgeprep Academy of Arts and Minds is an Organisation.,True
74,Cal Sandbeck whaDraftTeam Calgary Cowboys.,whaDraftTeam has domain IceHockeyPlayer.,"Given the previous statements, is Cal Sandbeck an IceHockeyPlayer?",Yes,Cal Sandbeck is an IceHockeyPlayer.,True
75,Cam Botting whaDraftTeam Edmonton Oilers.,whaDraftTeam has domain IceHockeyPlayer.,"Given the previous statements, is Cam Botting an IceHockeyPlayer?",Yes,Cam Botting is an IceHockeyPlayer.,True
76,Cam Connor whaDraftTeam Phoenix Roadrunners.,whaDraftTeam has domain IceHockeyPlayer.,"Given the previous statements, is Cam Connor an IceHockeyPlayer?",Yes,Cam Connor is an IceHockeyPlayer.,True
77,"Ethyl iodoacetate inchi h2-3H2,1H3.",inchi has domain ChemicalCompound.,"Given the previous statements, is Ethyl iodoacetate a ChemicalCompound?",Yes,Ethyl iodoacetate is a ChemicalCompound.,True
78,"Caballero, Coclé areaLand 4.15e+07.",areaLand has domain Place.,"Given the previous statements, is Caballero, Coclé a Place?",Yes,"Caballero, Coclé is a Place.",True
79,"Caballo, New Mexico areaLand 2.53819e+06.",areaLand has domain Place.,"Given the previous statements, is Caballo, New Mexico a Place?",Yes,"Caballo, New Mexico is a Place.",True
80,"Caballo, New Mexico areaLand 2.54e+06.",areaLand has domain Place.,"Given the previous statements, is Caballo, New Mexico a Place?",Yes,"Caballo, New Mexico is a Place.",True
81,Callistus Caravario beatifiedDate 1983-05-15.,beatifiedDate has domain Saint.,"Given the previous statements, is Callistus Caravario a Saint?",Yes,Callistus Caravario is a Saint.,True
82,Camilla Battista da Varano beatifiedDate 1843-04-07.,beatifiedDate has domain Saint.,"Given the previous statements, is Camilla Battista da Varano a Saint?",Yes,Camilla Battista da Varano is a Saint.,True
83,Candelaria of San José beatifiedDate 2008-04-27.,beatifiedDate has domain Saint.,"Given the previous statements, is Candelaria of San José a Saint?",Yes,Candelaria of San José is a Saint.,True
84,Caffeine bioavailability 99.0.,bioavailability has domain Drug.,"Given the previous statements, is Caffeine a Drug?",Yes,Caffeine is a Drug.,True
85,Calcipotriol bioavailability 5.0.,bioavailability has domain Drug.,"Given the previous statements, is Calcipotriol a Drug?",Yes,Calcipotriol is a Drug.,True
86,Camazepam bioavailability 90.0.,bioavailability has domain Drug.,"Given the previous statements, is Camazepam a Drug?",Yes,Camazepam is a Drug.,True
87,Roccy FM broadcastTranslator 104.1 MHzTemora.,broadcastTranslator has domain Broadcaster.,"Given the previous statements, is Roccy FM a Broadcaster?",Yes,Roccy FM is a Broadcaster.,True
88,Roccy FM broadcastTranslator 107.7 MHzCootamundra.,broadcastTranslator has domain Broadcaster.,"Given the previous statements, is Roccy FM a Broadcaster?",Yes,Roccy FM is a Broadcaster.,True
89,Roccy FM broadcastTranslator 99.5 MHzCowra.,broadcastTranslator has domain Broadcaster.,"Given the previous statements, is Roccy FM a Broadcaster?",Yes,Roccy FM is a Broadcaster.,True
90,Caledonian cylinderCount 2.,cylinderCount has domain Locomotive.,"Given the previous statements, is Caledonian a Locomotive?",Yes,Caledonian is a Locomotive.,True
91,Canadian National 7470 cylinderCount 2.,cylinderCount has domain Locomotive.,"Given the previous statements, is Canadian National 7470 a Locomotive?",Yes,Canadian National 7470 is a Locomotive.,True
92,Progress Rail PR30C cylinderCount 16.,cylinderCount has domain Locomotive.,"Given the previous statements, is Progress Rail PR30C a Locomotive?",Yes,Progress Rail PR30C is a Locomotive.,True
93,Cafe La Haye dressCode Casual.,dressCode has domain Restaurant.,"Given the previous statements, is Cafe La Haye a Restaurant?",Yes,Cafe La Haye is a Restaurant.,True
94,Cafe Mondegar dressCode None.,dressCode has domain Restaurant.,"Given the previous statements, is Cafe Mondegar a Restaurant?",Yes,Cafe Mondegar is a Restaurant.,True
95,Café du Monde dressCode Casual.,dressCode has domain Restaurant.,"Given the previous statements, is Café du Monde a Restaurant?",Yes,Café du Monde is a Restaurant.,True
96,Cab Calloway School of the Arts facultySize 48.,facultySize has domain EducationalInstitution.,"Given the previous statements, is Cab Calloway School of the Arts an EducationalInstitution?",Yes,Cab Calloway School of the Arts is an EducationalInstitution.,True
97,Cabot High School facultySize 125.,facultySize has domain EducationalInstitution.,"Given the previous statements, is Cabot High School an EducationalInstitution?",Yes,Cabot High School is an EducationalInstitution.,True
98,Cabramatta High School facultySize 122.,facultySize has domain EducationalInstitution.,"Given the previous statements, is Cabramatta High School an EducationalInstitution?",Yes,Cabramatta High School is an EducationalInstitution.,True
99,American Academy of Political and Social Science finalPublicationYear 1890.,finalPublicationYear has domain PeriodicalLiterature.,"Given the previous statements, is American Academy of Political and Social Science a PeriodicalLiterature?",Yes,American Academy of Political and Social Science is a PeriodicalLiterature.,True
100,American Bankruptcy Law Journal finalPublicationYear 1993.,finalPublicationYear has domain PeriodicalLiterature.,"Given the previous statements, is American Bankruptcy Law Journal a PeriodicalLiterature?",Yes,American Bankruptcy Law Journal is a PeriodicalLiterature.,True
101,American Ecclesiastical Review finalPublicationYear 1975.,finalPublicationYear has domain PeriodicalLiterature.,"Given the previous statements, is American Ecclesiastical Review a PeriodicalLiterature?",Yes,American Ecclesiastical Review is a PeriodicalLiterature.,True
102,Catecholaminergic polymorphic ventricular tachycardia geneReviewsId NBK1289.,geneReviewsId has domain Disease.,"Given the previous statements, is Catecholaminergic polymorphic ventricular tachycardia a Disease?",Yes,Catecholaminergic polymorphic ventricular tachycardia is a Disease.,True
103,Beckwith–Wiedemann syndrome geneReviewsId NBK1394.,geneReviewsId has domain Disease.,"Given the previous statements, is Beckwith–Wiedemann syndrome a Disease?",Yes,Beckwith–Wiedemann syndrome is a Disease.,True
104,Benign hereditary chorea geneReviewsId NBK185066.,geneReviewsId has domain Disease.,"Given the previous statements, is Benign hereditary chorea a Disease?",Yes,Benign hereditary chorea is a Disease.,True
105,Beckwith–Wiedemann syndrome geneReviewsName Beckwith–Wiedemann Syndrome.,geneReviewsName has domain Disease.,"Given the previous statements, is Beckwith–Wiedemann syndrome a Disease?",Yes,Beckwith–Wiedemann syndrome is a Disease.,True
106,Benign hereditary chorea geneReviewsName NKX2-1-Related Disorders.,geneReviewsName has domain Disease.,"Given the previous statements, is Benign hereditary chorea a Disease?",Yes,Benign hereditary chorea is a Disease.,True
107,Prader–Willi syndrome geneReviewsName Prader-Willi syndrome.,geneReviewsName has domain Disease.,"Given the previous statements, is Prader–Willi syndrome a Disease?",Yes,Prader–Willi syndrome is a Disease.,True
108,Caballococha Airport icaoLocationIdentifier SPBC.,icaoLocationIdentifier has domain Airport.,"Given the previous statements, is Caballococha Airport an Airport?",Yes,Caballococha Airport is an Airport.,True
109,Cabana Airstrip icaoLocationIdentifier SMCB.,icaoLocationIdentifier has domain Airport.,"Given the previous statements, is Cabana Airstrip an Airport?",Yes,Cabana Airstrip is an Airport.,True
110,Cabezas Airport icaoLocationIdentifier SLCE.,icaoLocationIdentifier has domain Airport.,"Given the previous statements, is Cabezas Airport an Airport?",Yes,Cabezas Airport is an Airport.,True
111,Canadian Journal of Earth Sciences impactFactor 1.369.,impactFactor has domain AcademicJournal.,"Given the previous statements, is Canadian Journal of Earth Sciences an AcademicJournal?",Yes,Canadian Journal of Earth Sciences is an AcademicJournal.,True
112,Canadian Journal of Fisheries and Aquatic Sciences impactFactor 2.595.,impactFactor has domain AcademicJournal.,"Given the previous statements, is Canadian Journal of Fisheries and Aquatic Sciences an AcademicJournal?",Yes,Canadian Journal of Fisheries and Aquatic Sciences is an AcademicJournal.,True
113,Cannabis and Cannabinoid Research impactFactor 5.764.,impactFactor has domain AcademicJournal.,"Given the previous statements, is Cannabis and Cannabinoid Research an AcademicJournal?",Yes,Cannabis and Cannabinoid Research is an AcademicJournal.,True
114,Canadian Journal of Earth Sciences impactFactorAsOf 2020.,impactFactorAsOf has domain AcademicJournal.,"Given the previous statements, is Canadian Journal of Earth Sciences an AcademicJournal?",Yes,Canadian Journal of Earth Sciences is an AcademicJournal.,True
115,Canadian Journal of Fisheries and Aquatic Sciences impactFactorAsOf 2020.,impactFactorAsOf has domain AcademicJournal.,"Given the previous statements, is Canadian Journal of Fisheries and Aquatic Sciences an AcademicJournal?",Yes,Canadian Journal of Fisheries and Aquatic Sciences is an AcademicJournal.,True
116,American Academy of Political and Social Science impactFactorAsOf 2017.,impactFactorAsOf has domain AcademicJournal.,"Given the previous statements, is American Academy of Political and Social Science an AcademicJournal?",Yes,American Academy of Political and Social Science is an AcademicJournal.,True
117,Rotuaari lengthReference .,lengthReference has domain RouteOfTransportation.,"Given the previous statements, is Rotuaari a RouteOfTransportation?",Yes,Rotuaari is a RouteOfTransportation.,True
118,Connaught Square lengthReference .,lengthReference has domain RouteOfTransportation.,"Given the previous statements, is Connaught Square a RouteOfTransportation?",Yes,Connaught Square is a RouteOfTransportation.,True
119,Garbary Street lengthReference Google maps.,lengthReference has domain RouteOfTransportation.,"Given the previous statements, is Garbary Street a RouteOfTransportation?",Yes,Garbary Street is a RouteOfTransportation.,True
120,Caboolture railway line lineLength 49570.0.,lineLength has domain RouteOfTransportation.,"Given the previous statements, is Caboolture railway line a RouteOfTransportation?",Yes,Caboolture railway line is a RouteOfTransportation.,True
121,Cadia Mine railway line lineLength 18507.5.,lineLength has domain RouteOfTransportation.,"Given the previous statements, is Cadia Mine railway line a RouteOfTransportation?",Yes,Cadia Mine railway line is a RouteOfTransportation.,True
122,Cairngorm Mountain Railway lineLength 1970.0.,lineLength has domain RouteOfTransportation.,"Given the previous statements, is Cairngorm Mountain Railway a RouteOfTransportation?",Yes,Cairngorm Mountain Railway is a RouteOfTransportation.,True
123,Cannabinoid receptor locusSupplementaryData -q15.,locusSupplementaryData has domain Protein.,"Given the previous statements, is Cannabinoid receptor a Protein?",Yes,Cannabinoid receptor is a Protein.,True
124,Amelogenin locusSupplementaryData -p22.1.,locusSupplementaryData has domain Protein.,"Given the previous statements, is Amelogenin a Protein?",Yes,Amelogenin is a Protein.,True
125,Presenilin locusSupplementaryData -q42.,locusSupplementaryData has domain Protein.,"Given the previous statements, is Presenilin a Protein?",Yes,Presenilin is a Protein.,True
126,Cabot Strait maximumDepth 550.0.,maximumDepth has domain Place.,"Given the previous statements, is Cabot Strait a Place?",Yes,Cabot Strait is a Place.,True
127,Caddy Lake maximumDepth 5.7.,maximumDepth has domain Place.,"Given the previous statements, is Caddy Lake a Place?",Yes,Caddy Lake is a Place.,True
128,Cage Lake maximumDepth 7.62.,maximumDepth has domain Place.,"Given the previous statements, is Cage Lake a Place?",Yes,Cage Lake is a Place.,True
129,"Cadwalader, Wickersham & Taft numberOfLawyers 400.",numberOfLawyers has domain LawFirm.,"Given the previous statements, is Cadwalader, Wickersham & Taft a LawFirm?",Yes,"Cadwalader, Wickersham & Taft is a LawFirm.",True
130,Cahill Gordon & Reindel numberOfLawyers 350.,numberOfLawyers has domain LawFirm.,"Given the previous statements, is Cahill Gordon & Reindel a LawFirm?",Yes,Cahill Gordon & Reindel is a LawFirm.,True
131,Carter Ledyard & Milburn numberOfLawyers 114.,numberOfLawyers has domain LawFirm.,"Given the previous statements, is Carter Ledyard & Milburn a LawFirm?",Yes,Carter Ledyard & Milburn is a LawFirm.,True
132,Cablebús numberOfStations 13.,numberOfStations has domain RouteOfTransportation.,"Given the previous statements, is Cablebús a RouteOfTransportation?",Yes,Cablebús is a RouteOfTransportation.,True
133,Cabletren Bolivariano numberOfStations 5.,numberOfStations has domain RouteOfTransportation.,"Given the previous statements, is Cabletren Bolivariano a RouteOfTransportation?",Yes,Cabletren Bolivariano is a RouteOfTransportation.,True
134,Caboolture railway line numberOfStations 13.,numberOfStations has domain RouteOfTransportation.,"Given the previous statements, is Caboolture railway line a RouteOfTransportation?",Yes,Caboolture railway line is a RouteOfTransportation.,True
135,Ca' Foscari University of Venice numberOfStudents 21000.,numberOfStudents has domain EducationalInstitution.,"Given the previous statements, is Ca' Foscari University of Venice an EducationalInstitution?",Yes,Ca' Foscari University of Venice is an EducationalInstitution.,True
136,Cab Calloway School of the Arts numberOfStudents 937.,numberOfStudents has domain EducationalInstitution.,"Given the previous statements, is Cab Calloway School of the Arts an EducationalInstitution?",Yes,Cab Calloway School of the Arts is an EducationalInstitution.,True
137,Cabell Midland High School numberOfStudents 1857.,numberOfStudents has domain EducationalInstitution.,"Given the previous statements, is Cabell Midland High School an EducationalInstitution?",Yes,Cabell Midland High School is an EducationalInstitution.,True
138,Canadian Blood Services numberOfVolunteers 17000.,numberOfVolunteers has domain Organisation.,"Given the previous statements, is Canadian Blood Services an Organisation?",Yes,Canadian Blood Services is an Organisation.,True
139,Canadian Journalists for Free Expression numberOfVolunteers 100.,numberOfVolunteers has domain Organisation.,"Given the previous statements, is Canadian Journalists for Free Expression an Organisation?",Yes,Canadian Journalists for Free Expression is an Organisation.,True
140,Canadian Medical Assistance Team numberOfVolunteers 1000.,numberOfVolunteers has domain Organisation.,"Given the previous statements, is Canadian Medical Assistance Team an Organisation?",Yes,Canadian Medical Assistance Team is an Organisation.,True
141,Cannabis and Cannabinoid Research openAccessContent Delayed.,openAccessContent has domain PeriodicalLiterature.,"Given the previous statements, is Cannabis and Cannabinoid Research a PeriodicalLiterature?",Yes,Cannabis and Cannabinoid Research is a PeriodicalLiterature.,True
142,American Anthropologist openAccessContent No.,openAccessContent has domain PeriodicalLiterature.,"Given the previous statements, is American Anthropologist a PeriodicalLiterature?",Yes,American Anthropologist is a PeriodicalLiterature.,True
143,American Book Review openAccessContent No.,openAccessContent has domain PeriodicalLiterature.,"Given the previous statements, is American Book Review a PeriodicalLiterature?",Yes,American Book Review is a PeriodicalLiterature.,True
